"","max(0, phyloP)","K562 activity","HepG2 activity","SKNSH activity"
"max(0, phyloP)",1,0.057338867778796,0.0588129723978123,0.0650362871704383
"K562 activity",0.057338867778796,1,0.830647360326322,0.768326518287542
"HepG2 activity",0.0588129723978123,0.830647360326322,1,0.875365591569131
"SKNSH activity",0.0650362871704383,0.768326518287542,0.875365591569131,1
