"","max(0, phyloP)","K562 activity","HepG2 activity","SKNSH activity"
"max(0, phyloP)",1,0.0375345816834831,0.0397054663378388,0.0441606295749069
"K562 activity",0.0375345816834831,1,0.796620779386803,0.727028720719294
"HepG2 activity",0.0397054663378388,0.796620779386803,1,0.851787384062122
"SKNSH activity",0.0441606295749069,0.727028720719294,0.851787384062122,1
