"","max(0, phyloP)","K562 |allelic skew|","HepG2 |allelic skew|","SKNSH |allelic skew|"
"max(0, phyloP)",1,0.0408947227631823,0.0430660379564335,0.0396898089770706
"K562 |allelic skew|",0.0408947227631823,1,0.723692850766716,0.635873342510039
"HepG2 |allelic skew|",0.0430660379564335,0.723692850766716,1,0.767687762670043
"SKNSH |allelic skew|",0.0396898089770706,0.635873342510039,0.767687762670043,1
