"","max(0, phyloP)","K562 |allelic skew|","HepG2 |allelic skew|","SKNSH |allelic skew|"
"max(0, phyloP)",1,0.0248623377951538,0.0294347786303762,0.0268774421074473
"K562 |allelic skew|",0.0248623377951538,1,0.707239225156911,0.616055241886837
"HepG2 |allelic skew|",0.0294347786303762,0.707239225156911,1,0.756486353624947
"SKNSH |allelic skew|",0.0268774421074473,0.616055241886837,0.756486353624947,1
