"","max(0, phyloP)","K562 |allelic skew|","HepG2 |allelic skew|","SKNSH |allelic skew|"
"max(0, phyloP)",1,0.0710162088812766,0.0714136612391229,0.0662582737648348
"K562 |allelic skew|",0.0710162088812766,1,0.754734254378353,0.674947352228389
"HepG2 |allelic skew|",0.0714136612391229,0.754734254378353,1,0.789839371443282
"SKNSH |allelic skew|",0.0662582737648348,0.674947352228389,0.789839371443282,1
