"","max(0, phyloP)","K562 |allelic skew|","HepG2 |allelic skew|","SKNSH |allelic skew|"
"max(0, phyloP)",1,0.106188787729302,0.10457036559732,0.0988745336466639
"K562 |allelic skew|",0.106188787729302,1,0.760741507614986,0.690282227369352
"HepG2 |allelic skew|",0.10457036559732,0.760741507614986,1,0.797326034859861
"SKNSH |allelic skew|",0.0988745336466639,0.690282227369352,0.797326034859861,1
