"","max(0, phyloP)","K562 activity","HepG2 activity","SKNSH activity"
"max(0, phyloP)",1,0.0739059534835112,0.0739285609794617,0.0772748252082244
"K562 activity",0.0739059534835112,1,0.900148614429392,0.856579576441861
"HepG2 activity",0.0739285609794617,0.900148614429392,1,0.921254149174829
"SKNSH activity",0.0772748252082244,0.856579576441861,0.921254149174829,1
