"","max(0, phyloP)","K562 activity","HepG2 activity","SKNSH activity"
"max(0, phyloP)",1,0.0755820853779725,0.072882970386968,0.0632001056126543
"K562 activity",0.0755820853779725,1,0.962807879713867,0.939843424958725
"HepG2 activity",0.072882970386968,0.962807879713867,1,0.970215255460239
"SKNSH activity",0.0632001056126543,0.939843424958725,0.970215255460239,1
