"","max(0, phyloP)","K562 activity","HepG2 activity","SKNSH activity"
"max(0, phyloP)",1,0.104469787706284,0.10654684365066,0.106605555205448
"K562 activity",0.104469787706284,1,0.904540060674581,0.868430936294369
"HepG2 activity",0.10654684365066,0.904540060674581,1,0.92662813662002
"SKNSH activity",0.106605555205448,0.868430936294369,0.92662813662002,1
