"","max(0, phyloP)","K562 |allelic skew|","HepG2 |allelic skew|","SKNSH |allelic skew|"
"max(0, phyloP)",1,0.20414364305314,0.20076146309309,0.182907450955198
"K562 |allelic skew|",0.20414364305314,1,0.806952667389144,0.749179102099009
"HepG2 |allelic skew|",0.20076146309309,0.806952667389144,1,0.831971462524071
"SKNSH |allelic skew|",0.182907450955198,0.749179102099009,0.831971462524071,1
