skew_type	skew_bin	ccre_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	frac_conserved	frac_conserved_se	frac_conserved_lci	frac_conserved_uci
HepG2_skew	[-1.5,-1.0)	dELS	115633	115626	78394.638	164403.703694	115438	7485.477988370454	421534.4915281907	8882	11375	45888	0.07694173495729309	7.843703133072472e-4	0.07540436914321089	0.078479100771375293
HepG2_skew	[-1.5,-1.0)	non-cCRE	196483	196409	182303.25	418704.821222	194869	-71677.06684605747	320880.3789169809	1945	8970	4083	0.009981064202105004	2.2518465726884885e-4	0.00953970227385806	0.010422426130351948
HepG2_skew	[-1.5,-1.0)	pELS	17814	17805	9429.464	17129.093593999998	17791	11886.3620190227	118719.3849749082	2948	4770	8103	0.16570175931650835	0.002787558843382243	0.16023814398347916	0.17116537464953754
HepG2_skew	[0.05,0.2)	Other cCREs	4263211	4259804	845875.591	853715.143595	4241014	-467398.3634650633	6901308.528366686	107036	141902	188588	0.025238303858464036	7.616307270775599e-5	0.025089024235956835	0.025387583480971237
HepG2_skew	[0.05,0.2)	PLS	314062	313005	53372.794	35291.992652	313824	86611.98394107062	1641324.653220586	40252	108391	114779	0.12826297542571632	5.968982756684166e-4	0.12709305480540622	0.12943289604602642
HepG2_skew	[0.05,0.2)	dELS	11414484	11411880	2291858.632	2295891.87277	11398594	-619164.1525724578	27137024.708709385	520968	883119	1343508	0.04570458426714733	6.185796916015479e-5	0.04558334264759343	0.045825825886701234
HepG2_skew	[0.05,0.2)	non-cCRE	47328095	47304594	8853903.960999988	8415987.702578986	46768889	-6985421.927460616	58240695.2197366	607753	1279122	267820	0.012994813710456111	1.6560224486437154e-5	0.012962355670462694	0.013027271750449529
HepG2_skew	[0.05,0.2)	pELS	1735803	1734318	314966.984	263972.602156	1733949	34988.06602674548	4606757.220046044	99242	403070	285857	0.0572346706852393	1.7640595258923127e-4	0.056888915018164406	0.05758042635231419
HepG2_skew	[0.2,0.5)	Other cCREs	690805	690291	162766.611	208748.877027	686221	-103630.97989992936	1091892.6818380884	14811	26635	37722	0.021583425747681868	1.754244352608382e-4	0.021239593854570624	0.02192725764079311
HepG2_skew	[0.2,0.5)	PLS	81441	81276	13919.354	9714.089278	81388	44472.41396624665	502121.661818374	13470	29184	32832	0.16550351403155256	0.0013026737971973108	0.16295027338904583	0.16805675467405928
