skew_type	skew_bin	ccre_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	frac_conserved	frac_conserved_se	frac_conserved_lci	frac_conserved_uci
SKNSH_skew	[-0.2,-0.05)	dELS	13577090	13573527	7316479.5	13805802.877354007	13554609	-772981.7994184522	34924983.988534115	678302	1102412	1960126	0.05004216646898483	5.9221133920508825e-5	0.049926093046500634	0.050158239891469024
SKNSH_skew	[-0.2,-0.05)	non-cCRE	53541340	53504032	27722423.72999999	55450851.77569992	52789122	-9423160.390443616	74187208.31979115	819597	1506152	394688	0.015525869136448225	1.7016016403724154e-5	0.015492517744296925	0.015559220528599526
SKNSH_skew	[-0.2,-0.05)	pELS	2112016	2110033	911757.125	1475733.3646190001	2109525	97893.2821047623	6051818.226945067	135149	502984	424964	0.06406608122681647	1.6859486194560532e-4	0.06373563529740307	0.06439652715622986
SKNSH_skew	[-0.5,-0.2)	Other cCREs	886950	886025	504017.746	992093.682566	880414	-181296.76282331877	1584344.6437636742	20394	34986	77449	0.023164102342761474	1.6031533729852503e-4	0.022849884281656366	0.023478320403866583
SKNSH_skew	[-0.5,-0.2)	PLS	154178	154039	40488.704	42998.532688	154073	155420.31997924455	1219024.615427454	35733	57115	79256	0.23192253022917708	0.001075253125872225	0.2298150341024675	0.23403002635588666
SKNSH_skew	[-0.5,-0.2)	dELS	2676537	2675486	1486100.287	2806141.939057	2670783	-159658.3581583878	7525635.851169992	146136	246464	604766	0.05471653818374612	1.3916211948007405e-4	0.05444378042956517	0.05498929593792706
SKNSH_skew	[-0.5,-0.2)	non-cCRE	6578404	6566660	4330229.148	8756771.892154003	6487333	-2003378.07642365	10194804.959266284	79541	241083	91853	0.01226097072556627	4.320663454415098e-5	0.012176285721859734	0.012345655729272806
SKNSH_skew	[-0.5,-0.2)	pELS	453282	452836	191730.057	303378.008657	452674	101208.3120392927	1716289.2910263487	43060	118077	137255	0.0951236430632199	4.360598311902904e-4	0.09426896579408693	0.09597832033235286
SKNSH_skew	[-1.0,-0.5)	Other cCREs	228365	228220	150813.556	307953.986292	226825	-53634.97493350938	435331.9108939395	5200	9101	27796	0.02292516257026342	3.1424955169447093e-4	0.022309233448942256	0.02354109169158458
SKNSH_skew	[-1.0,-0.5)	PLS	52740	52722	14571.654	16417.455232	52700	93984.5869779447	642031.0212096518	18090	20106	30253	0.3432637571157495	0.002068255368375626	0.3392099765937333	0.34731753763776574
SKNSH_skew	[-1.0,-0.5)	dELS	701840	701697	443091.079	865115.228165	700413	-20363.732088073524	2290659.3849299094	45148	67741	214121	0.06445911198107403	2.9342454957086926e-4	0.06388399986391512	0.06503422409823294
SKNSH_skew	[-1.0,-0.5)	non-cCRE	1222286	1220503	965227.591	2052359.711795	1207474	-442305.6943390965	2052872.577895856	13744	51829	24614	0.011382439704705857	9.653681036337349e-5	0.011193227556393645	0.01157165185301807
SKNSH_skew	[-1.0,-0.5)	pELS	115061	114956	54750.084	90563.35383	114875	46757.190002118245	584561.0222397493	14697	30962	43252	0.12793906420021764	9.855127311276671e-4	0.1260074592472074	0.12987066915322787
SKNSH_skew	[-1.5,-1.0)	Other cCREs	47338	47326	33452.624	70780.052786	46928	-12617.245989823246	80903.08424932408	824	1945	6445	0.017558813501534265	6.062961921895083e-4	0.016370472964842828	0.018747154038225702
SKNSH_skew	[-1.5,-1.0)	PLS	14368	14363	4314.099	5264.051503	14358	35272.107987335294	235013.3393452744	6278	5697	8966	0.4372475275107954	0.004139762370401043	0.4291335932648093	0.44536146175678143
SKNSH_skew	[-1.5,-1.0)	dELS	144976	144955	99602.846	203180.881726	144699	-1684.1789887470673	475810.0999878272	9738	14334	53513	0.06729832272510522	6.5862882569059e-4	0.06600741022675166	0.06858923522345878
SKNSH_skew	[-1.5,-1.0)	non-cCRE	231877	231750	209694.167	465601.516569	229539	-84996.34983586486	380575.59789972333	2310	10435	5084	0.010063649314495576	2.0833063645272609e-4	0.009655321267048234	0.010471977361942919
SKNSH_skew	[-1.5,-1.0)	pELS	22546	22517	11855.726	20800.551152	22509	14086.015014072653	145243.7878393627	3671	6117	9749	0.16309031942778443	0.0024624945998347083	0.1582638300121084	0.16791680884346047
SKNSH_skew	[0.05,0.2)	Other cCREs	4916008	4912197	855537.828	678241.460208	4890493	-538552.0855906137	8101020.489913989	127164	156610	214873	0.026002286477048428	7.196286036400381e-5	0.02586123927073498	0.026143333683361875
SKNSH_skew	[0.05,0.2)	PLS	340789	339627	54856.489	30234.991509	340557	93275.33295681304	1776686.0660611624	43668	117323	127779	0.128225231018596	5.729200050791846e-4	0.12710230780864082	0.1293481542285512
SKNSH_skew	[0.05,0.2)	dELS	12848625	12845957	2223308.695	1728535.9279810004	12830947	-760119.67792059	30981369.84470363	590186	964350	1483321	0.04599707254655482	5.8480434977568066e-5	0.04588245089399879	0.046111694199110854
SKNSH_skew	[0.05,0.2)	non-cCRE	59221030	59192793	9809476.543999985	7061976.270537979	58465408	-9095061.130920842	72851508.39471434	753225	1487219	306376	0.012883259105965703	1.4748492679573372e-5	0.01285435206031374	0.012912166151617666
SKNSH_skew	[0.05,0.2)	pELS	1925303	1923601	312682.627	206494.236811	1923386	17584.137951118602	5161833.28600391	109299	439718	313437	0.05682634686953113	1.669311840913711e-4	0.05649916174871204	0.05715353199035021
SKNSH_skew	[0.2,0.5)	Other cCREs	757967	757182	160717.263	186939.938031	752368	-101707.3338691582	1198101.7328572082	16958	28791	40781	0.022539501945856282	1.7112229946062354e-4	0.02220410223891346	0.022874901652799106
SKNSH_skew	[0.2,0.5)	PLS	98146	97966	16014.694	9290.467076	98081	55077.480981676614	611782.6934566017	16601	35997	41507	0.16925806221388445	0.001197333978471989	0.16691128761607935	0.17160483681168956
SKNSH_skew	[0.2,0.5)	dELS	2178374	2177729	442521.479	478716.152371	2174478	-101165.10396342946	5262775.612010089	102646	187042	330441	0.04720489239256502	1.4381883159633144e-4	0.04692300748263621	0.04748677730249383
SKNSH_skew	[0.2,0.5)	non-cCRE	6763308	6756065	1315407.609	1431204.601783	6684153	-1068605.6812593325	8426674.723340318	84831	226574	59592	0.012691361194155789	4.3296957515766694e-5	0.012606499157424886	0.012776223230886691
SKNSH_skew	[0.2,0.5)	pELS	371639	371326	66770.339	56061.556467	371158	52324.15304861663	1154356.0743708797	28232	94682	80751	0.0760646409345885	4.3514379076314353e-4	0.07521175910469274	0.07691752276448427
SKNSH_skew	[0.5,1.0)	Other cCREs	172165	171984	39763.256	51786.71211	170800	-28879.40094884276	271165.5590048664	3420	6721	10223	0.020023419203747072	3.389479684767739e-4	0.019359081185532596	0.020687757221961547
SKNSH_skew	[0.5,1.0)	PLS	25812	25775	4416.023	2902.087743	25798	18839.093996377534	184230.66242564493	4980	9457	10808	0.1930382200170556	0.002457282658978739	0.18822194600545727	0.1978544940286539
SKNSH_skew	[0.5,1.0)	dELS	524062	523910	118825.16	146623.672808	523178	-34868.47797545873	1296490.362082764	24854	47309	89333	0.04750582019886157	2.940897166949002e-4	0.046929404354139566	0.048082236043583575
SKNSH_skew	[0.5,1.0)	non-cCRE	1296258	1294511	271943.64	330770.003258	1282179	-230563.44457727345	1649695.998983668	15342	49616	14416	0.011965567990116825	9.602368522282753e-5	0.011777361567080083	0.012153774413153568
SKNSH_skew	[0.5,1.0)	pELS	91916	91825	17298.227	15736.109927	91806	19325.112008672317	322264.2532399529	8075	24217	21823	0.08795721412543843	9.347765438805131e-4	0.08612505209943262	0.08978937615144424
SKNSH_skew	[1.0,1.5)	Other cCREs	31328	31292	7554.66	10474.303164	31100	-6122.085999486618	48398.74332561733	544	1211	2035	0.017491961414790997	7.433735715655169e-4	0.016034949214522583	0.01894897361505941
SKNSH_skew	[1.0,1.5)	PLS	5377	5370	876.3679999999999	487.383434	5375	4716.702001552678	43480.50017969252	1140	1971	2176	0.21209302325581394	0.0055758544697905536	0.20116434849502446	0.22302169801660343
SKNSH_skew	[1.0,1.5)	dELS	99580	99559	23616.795	30941.526719	99401	-7059.930983916274	246874.43841303457	4752	9168	18099	0.047806360096980915	6.767216963537814e-4	0.046479985572127507	0.049132734621834324
SKNSH_skew	[1.0,1.5)	non-cCRE	209357	209212	45018.399	55928.860521	207447	-44414.11794058093	282986.3270714508	2352	8558	2745	0.011337835688151672	2.324531614651348e-4	0.010882227491680007	0.011793443884623337
SKNSH_skew	[1.0,1.5)	pELS	18146	18127	3441.434	3211.722374	18124	4534.000994647503	68017.09510627923	1731	4993	4724	0.0955087177223571	0.002183215837407093	0.0912296146810392	0.099787820763675
SKNSH_skew	[1.5,Inf)	Other cCREs	10329	10327	2103.696	2466.96017	10275	-2153.040997465724	15520.944260593938	156	379	681	0.015182481751824817	0.0012063083980919172	0.01281811729156466	0.017546846212084976
SKNSH_skew	[1.5,Inf)	PLS	1630	1628	272.988	154.080336	1630	1535.6710024651843	14199.753650491491	368	603	635	0.22576687116564417	0.01035552640015793	0.20547003942133463	0.24606370290995372
SKNSH_skew	[1.5,Inf)	dELS	33024	33013	7114.088	8545.842228	32973	-3064.803995774359	79766.76128905674	1507	3056	5994	0.045704060898310736	0.0011501108523645023	0.04344984362767631	0.04795827816894516
SKNSH_skew	[1.5,Inf)	non-cCRE	67008	66971	11576.155	11397.990271	66330	-15073.42797759792	88578.85303786071	643	2577	896	0.009693954470073873	3.804347714913246e-4	0.008948302317950877	0.01043960662219687
SKNSH_skew	[1.5,Inf)	pELS	5997	5991	1077.343	932.818783	5992	1064.2479989884885	19974.96032123208	539	1628	1604	0.08995327102803738	0.0036961911632633604	0.0827087363480412	0.09719780570803356
mean_skew	(-Inf,-1.5)	Other cCREs	13800	13799	12349.991	27056.601001	13708	-5564.988994104321	27139.501238684257	181	569	2101	0.01320396848555588	9.749422443215753e-4	0.011293081686685592	0.015114855284426168
mean_skew	(-Inf,-1.5)	PLS	4082	4082	1472.867	1990.296065	4079	13255.30400350865	93013.81926846816	2143	1552	2810	0.5253738661436627	0.00781867577248443	0.5100492616295932	0.5406984706577321
mean_skew	(-Inf,-1.5)	dELS	38651	38649	32402.074	69593.091282	38573	-2023.4070012718444	136764.84714195837	2617	3901	16974	0.06784538407694501	0.0012804494009952048	0.06533570325099441	0.07035506490289561
mean_skew	(-Inf,-1.5)	non-cCRE	73105	73072	78766.375	178300.267705	72451	-34751.47294242855	131579.95150642018	473	3249	1609	0.0065285503305682465	2.992015793527087e-4	0.005942115235036937	0.007114985426099556
mean_skew	(-Inf,-1.5)	pELS	5941	5941	3732.898	7149.402922	5938	5155.873997278048	47855.4968745778	1125	1594	3202	0.18945772987537893	0.005085385754935243	0.17949037379570584	0.199425085955052
mean_skew	[-0.05,0.05)	Other cCREs	19253756	19239780	4667995.067999997	6235899.643675992	19169835	-354505.73551226984	30171411.943622947	588080	563508	691032	0.03067736368101238	3.9385286361534654e-5	0.030600168519743773	0.03075455884228099
mean_skew	[-0.05,0.05)	PLS	781434	776399	161500.537	146345.360561	780785	175674.34789312675	3565243.960793976	85050	248942	249971	0.10892883444226004	3.5258342554855756e-4	0.10823777092818486	0.10961989795633521
mean_skew	[-0.05,0.05)	dELS	44819964	44808536	11215260.910999987	14898848.858437045	44761226	2711511.2516023624	101146987.13927723	2272309	3052904	4197465	0.05076511979363568	3.281093187981416e-5	0.050700810367151246	0.05082942922012012
mean_skew	[-0.05,0.05)	non-cCRE	300276644	300125299	69129009.32099964	89533144.2239522	296738718	-28551962.123907413	336980404.80875725	4248978	6385630	1006962	0.014318920121505681	6.896619016557161e-6	0.014305402748233229	0.014332437494778133
mean_skew	[-0.05,0.05)	pELS	6263870	6257649	1423632.525	1628391.138129	6257937	379565.7980156528	14647973.521846903	325676	1308218	785102	0.05204207073353407	8.878839854169886e-5	0.05186804547239234	0.0522160959946758
mean_skew	[-0.2,-0.05)	Other cCREs	4255063	4251281	2098108.723	4056990.916029	4228409	-635800.1861391333	7216805.810878036	105496	151532	230612	0.024949336736346934	7.584982778794032e-5	0.02480067107388257	0.025098002398811298
mean_skew	[-0.2,-0.05)	PLS	416240	415314	115861.465	130657.994247	415866	199504.20497920184	2330956.257092432	63299	146053	179539	0.15221008690299279	5.570435269291297e-4	0.15111828159021168	0.1533018922157739
mean_skew	[-0.2,-0.05)	dELS	12036621	12032884	5990088.542	11137597.217528004	12016417	-602183.289455111	30699900.05560243	600117	994181	1824098	0.049941425967490974	6.283739385005109e-5	0.04981826467554487	0.05006458725943708
mean_skew	[-0.2,-0.05)	non-cCRE	43081688	43048644	21153993.456999995	41709995.77638897	42528544	-8231279.698026931	59172960.31490241	612380	1279466	357094	0.014399270287738982	1.8267557913546203e-5	0.014363465874228432	0.014435074701249533
mean_skew	[-0.2,-0.05)	pELS	1900109	1898261	762262.329	1204663.754689	1897808	125413.6210439668	5539558.101923968	125848	458154	402012	0.06631229291898864	1.8062244069425943e-4	0.0659582729352279	0.0666663129027494
mean_skew	[-0.5,-0.2)	Other cCREs	805541	804859	460422.323	916458.223371	800188	-175676.79075352487	1435819.4441845398	17738	32766	75206	0.02216729068668863	1.645858790651631e-4	0.021844702363720908	0.02248987900965635
mean_skew	[-0.5,-0.2)	PLS	154255	154097	40628.936	42898.657418	154158	169009.89595559266	1253718.5213320043	37558	57187	81874	0.24363315559361176	0.0010933303478621495	0.24149022811180196	0.24577608307542156
mean_skew	[-0.5,-0.2)	dELS	2449358	2448537	1366019.904	2609049.365108	2444992	-175907.00913036492	6925578.240593849	132386	231387	591056	0.054145780436091404	1.4472904303335874e-4	0.05386211151174602	0.05442944936043679
mean_skew	[-0.5,-0.2)	non-cCRE	5383911	5379211	3520804.888	7159648.814744	5330181	-1671147.209556833	8426497.557637658	64992	208949	87573	0.012193206947381336	4.753614927138002e-5	0.012100036094809431	0.012286377799953242
mean_skew	[-0.5,-0.2)	pELS	427926	427421	179838.229	285013.803037	427303	102303.23599986744	1661649.771738611	42214	114081	139039	0.09879172390551903	4.5646228153327053e-4	0.09789705783371382	0.09968638997732425
mean_skew	[-1.0,-0.5)	Other cCREs	201190	201098	128908.802	263296.8298	199944	-39538.4009736717	424587.0289559355	5729	8358	31716	0.02865302284639699	3.730939712619248e-4	0.027921758662723617	0.029384287030070365
mean_skew	[-1.0,-0.5)	PLS	53007	52994	14880.256	16471.118376	52977	102774.3559716857	677338.2470084938	19402	20257	32731	0.3662344036091134	0.0020931493583612403	0.3621318308667254	0.3703369763515014
mean_skew	[-1.0,-0.5)	dELS	615734	615611	380846.462	745203.94851	614635	5062.622893198966	2146066.768785348	43293	61958	215794	0.07043692598045995	3.263855966788855e-4	0.06979721021096934	0.07107664174995056
mean_skew	[-1.0,-0.5)	non-cCRE	915473	914992	702962.434	1510588.37472	907472	-318128.3105041496	1562767.0047608542	11188	41104	23240	0.012328755046987676	1.1583750639961772e-4	0.012101713534444426	0.012555796559530926
mean_skew	[-1.0,-0.5)	pELS	106887	106801	48339.677	78691.864137	106711	56482.23901360098	594276.9656291849	15441	29816	46167	0.14469923438071053	0.0010769311825280107	0.14258844926295564	0.14681001949846542
mean_skew	[-1.5,-1.0)	Other cCREs	41531	41519	28017.886	58924.936298	41156	-8177.02798378037	81782.47384873174	1056	1790	7099	0.02565847021090485	7.793892432603784e-4	0.024130867294114507	0.02718607312769519
mean_skew	[-1.5,-1.0)	PLS	12488	12484	3734.4	4474.651794	12471	34667.54797589255	229699.88482884175	5986	5002	8467	0.47999358511747253	0.004473747076783416	0.47122504084697703	0.48876212938796804
mean_skew	[-1.5,-1.0)	dELS	123550	123532	81675.89	166782.881494	123277	10906.66699808242	464089.6376422137	9652	12780	52160	0.07829522133082407	7.651076055627223e-4	0.07679561042392113	0.07979483223772701
mean_skew	[-1.5,-1.0)	non-cCRE	194394	194316	168252.253	377884.552397	192343	-67118.15683932623	308199.29107094585	1844	9057	4682	0.009587039819489142	2.2218371814184583e-4	0.009151559731931123	0.01002251990704716
mean_skew	[-1.5,-1.0)	pELS	20503	20485	10170.348	17591.603004	20470	15736.004017203477	145111.3701435394	3673	5733	10109	0.17943331704934048	0.002681943110174883	0.1741767085533977	0.18468992554528327
mean_skew	[0.05,0.2)	Other cCREs	4175553	4172266	779122.926	707585.695018	4153187	-472633.8465766834	6779121.265738587	104552	138047	189512	0.025173920654186773	7.686847340960066e-5	0.025023258446303955	0.02532458286206959
mean_skew	[0.05,0.2)	PLS	313963	313022	51076.427	30089.251579	313720	86324.60595887485	1640181.6259570287	40148	109027	116234	0.12797398954481704	5.964231209120631e-4	0.1268050002278294	0.12914297886180467
mean_skew	[0.05,0.2)	dELS	11150681	11148116	2075569.804	1840973.8854980003	11134829	-625822.7076987294	26637324.95422929	509217	860464	1341812	0.04573191020715271	6.2604146039011e-5	0.04560920608091625	0.04585461433338917
mean_skew	[0.05,0.2)	non-cCRE	46523755	46499324	8207783.258999991	6971771.180948983	45962942	-7068293.57159667	57314339.16248618	591546	1247765	268865	0.012870063887555327	1.6625457424569062e-5	0.012837477991003172	0.012902649784107482
mean_skew	[0.05,0.2)	pELS	1700743	1699282	289315.886	213072.229398	1698953	41004.2370044001	4556654.496905348	98582	395931	286391	0.058025148429650494	1.7936475220044023e-4	0.05767359351533763	0.05837670334396336
mean_skew	[0.2,0.5)	Other cCREs	667583	666974	144814.014	171977.746984	662930	-99780.71989298672	1044299.4915694668	14037	25934	38311	0.02117418128610864	1.7681625391981657e-4	0.0208276214284258	0.02152074114379148
mean_skew	[0.2,0.5)	PLS	90126	89984	14702.7	9000.873186	90065	49253.06397302752	556200.0747032574	15079	32706	37790	0.1674235274523955	0.001244062743686666	0.16498516447476963	0.16986189043002137
mean_skew	[0.2,0.5)	dELS	1965695	1965104	410725.89	456709.371276	1962468	-120462.2980002238	4755142.694265989	91144	173052	313389	0.046443559844033123	1.5022238755280009e-4	0.046149123964429634	0.04673799572363661
mean_skew	[0.2,0.5)	non-cCRE	5469817	5465663	1097316.176	1242129.829532	5413034	-927647.2686759564	6956406.747256499	67586	191483	54242	0.012485788930939655	4.772646784009427e-5	0.01239224505397307	0.012579332807906239
mean_skew	[0.2,0.5)	pELS	341338	341026	62004.751	53277.346503	340898	46903.91304374405	1072494.9119457202	26040	88786	78155	0.07638648510698215	4.5492643768227966e-4	0.07549482928912488	0.07727814092483942
mean_skew	[0.5,1.0)	Other cCREs	138054	137923	32564.364	43028.278932	136967	-26907.176962325335	219236.9332939707	2535	5535	8905	0.018508107792387946	3.6418025573962644e-4	0.017794314491138278	0.019221901093637615
mean_skew	[0.5,1.0)	PLS	22121	22082	3744.936	2420.061784	22112	15838.655993747749	153735.72575786046	4216	8118	9445	0.19066570188133142	0.002641716739223309	0.18548793707245373	0.1958434666902091
mean_skew	[0.5,1.0)	dELS	430682	430562	100076.533	125478.202031	430015	-45979.97994193973	1053573.761858926	19199	40128	78481	0.04464727974605537	3.149470693162538e-4	0.04402998349019551	0.045264576001915226
mean_skew	[0.5,1.0)	non-cCRE	980225	979565	205153.035	246698.509443	971731	-188892.2386758631	1270950.02350537	11061	39341	12659	0.011382779802229218	1.0761312022830374e-4	0.011171858086581743	0.011593701517876693
mean_skew	[0.5,1.0)	pELS	79046	78971	14929.523	13674.780841	78929	14842.88599718642	274456.0389814463	6890	21373	20243	0.0872936436544236	0.0010047049639895194	0.08532442192500414	0.08926286538384307
mean_skew	[1.0,1.5)	Other cCREs	23107	23092	5278.003	7047.858627	22927	-5384.609001244767	35178.06356517144	336	923	1566	0.014655210014393509	7.936271562025965e-4	0.01309970078823642	0.0162107192405506
mean_skew	[1.0,1.5)	PLS	3727	3724	594.125	325.030951	3724	3048.672004914376	27979.369480083056	753	1352	1497	0.20220193340494091	0.006581642755169223	0.18930191360480925	0.21510195320507258
mean_skew	[1.0,1.5)	dELS	75500	75485	17670.426	23087.171904	75365	-8887.001986477291	183639.34996868137	3317	7135	14191	0.04401247263318517	7.471867215721656e-4	0.042547986658903726	0.04547695860746661
mean_skew	[1.0,1.5)	non-cCRE	152273	152195	27095.078	27905.057914	150883	-36441.56995941722	206713.93752476756	1517	6824	2222	0.010054147915934864	2.568373616465138e-4	0.009550746687107696	0.010557549144762032
mean_skew	[1.0,1.5)	pELS	14644	14615	2638.653	2330.116897	14627	2320.8770037000063	48006.28471395328	1222	4119	4030	0.08354413071716689	0.00228789516243185	0.07905985619880046	0.08802840523553332
mean_skew	[1.5,Inf)	Other cCREs	6592	6590	1126.614	1044.569308	6550	-1630.276994159213	10402.583409095732	96	255	342	0.01465648854961832	0.001484869022574211	0.011746145265372867	0.017566831833863775
mean_skew	[1.5,Inf)	PLS	821	817	130.861	74.659995	821	532.96800020081	4874.291246969352	138	277	332	0.16808769792935443	0.01305074065287129	0.14250824624972672	0.19366714960898215
mean_skew	[1.5,Inf)	dELS	20982	20976	3825.131	3813.753021	20949	-3189.432994213538	48660.98806490829	810	2045	3633	0.038665330087355	0.0013320376957729418	0.036054536203640034	0.04127612397106997
mean_skew	[1.5,Inf)	non-cCRE	42349	42330	5854.89	3372.235668	41947	-12649.381987916076	61633.57712050998	371	1785	594	0.00884449424273488	4.571481300567546e-4	0.007948483907823642	0.009740504577646119
mean_skew	[1.5,Inf)	pELS	4265	4251	675.9159999999999	458.024594	4260	775.1930023320024	13229.274346676284	368	1201	1159	0.0863849765258216	0.0043042345225903856	0.07794867686154444	0.09482127619009875
