skew_type	skew_bin	ccre_class	mut_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	mutrate_mean	mutrate_var	mutrate_se	mutrate_lci	mutrate_uci
HepG2_skew	(-Inf,-1.5)	Other cCREs	CpG ti (non-CGI)	4702	4702	10442.112	24810.177972	4691	-4505.911999617356	13889.381358963195	19	172	570	2.22078094427903	0.3447212559822618	0.008562344932353031	2.203998748211618	2.237563140346442
HepG2_skew	(-Inf,-1.5)	Other cCREs	non-CpG ti	3258	3258	480.069	85.293783	3239	486.1010002166733	3356.2439263793303	86	129	630	0.14735082872928176	0.00446890328607996	0.0011711834803535906	0.14505530910778872	0.1496463483507748
HepG2_skew	(-Inf,-1.5)	Other cCREs	non-CpG tv	3562	3562	248.877	29.237043	3533	-1000.1860001989412	7298.820053317425	79	119	557	0.0698700168444694	0.0033271560847511904	9.664727867870866e-4	0.06797573018236672	0.07176430350657209
HepG2_skew	(-Inf,-1.5)	PLS	CpG ti (CGI)	339	339	182.785	180.296399	339	1295.887000453193	9299.26351561263	198	142	224	0.539188790560472	0.24183661514024896	0.02670921836270124	0.48683872256957755	0.5915388585513665
HepG2_skew	(-Inf,-1.5)	PLS	CpG ti (non-CGI)	406	406	639.273	1276.726955	406	263.5959999728948	4005.3327887610026	77	109	202	1.5745640394088671	0.6670387107036431	0.04053335033546869	1.4951186727513486	1.6540094060663857
HepG2_skew	(-Inf,-1.5)	PLS	non-CpG ti	679	679	96.819	16.573147	676	2271.9640045268466	14983.504629438992	355	248	451	0.14259057437407954	0.004082109409551611	0.0024519264193202947	0.13778479859221177	0.14739635015594732
HepG2_skew	(-Inf,-1.5)	PLS	non-CpG tv	978	978	70.886	8.134954	977	3085.6210017494177	22138.99635831363	495	354	671	0.07248057259713701	0.0030676521298662707	0.0017710614386562552	0.06900929217737076	0.07595185301690327
HepG2_skew	(-Inf,-1.5)	dELS	CpG ti (CGI)	178	178	220.366	421.297678	178	45.38199931650884	1197.934367630578	25	50	84	1.2380112359550564	0.8388818868786896	0.06864997879974997	1.1034572775075464	1.3725651944025663
HepG2_skew	(-Inf,-1.5)	dELS	CpG ti (non-CGI)	13048	13048	28257.377	66271.596965	13038	-10271.808999389645	45745.17935824718	320	1294	4331	2.165648145309626	0.3890596208810541	0.005460546448004119	2.154945474271538	2.176350816347714
HepG2_skew	(-Inf,-1.5)	dELS	non-CpG ti	11518	11518	1579.999	265.198997	11508	7349.822994963615	44251.935861547565	1346	1082	5711	0.1371765063379059	0.004207715044075285	6.044141502461892e-4	0.13599185460342336	0.13836115807238844
HepG2_skew	(-Inf,-1.5)	dELS	non-CpG tv	11091	11091	661.144	66.680212	11080	2052.6669986118804	38777.753386048375	917	1101	5039	0.05961085564872419	0.002458868571053191	4.7084970786289267e-4	0.05868799022131292	0.06053372107613546
HepG2_skew	(-Inf,-1.5)	non-cCRE	CpG ti (CGI)	109	109	142.44299999999998	281.503895	107	74.3310002749786	1079.1886064601526	19	31	35	1.3068165137614678	0.8829354660210674	0.09000180762818083	1.1304129708102333	1.4832200567127023
HepG2_skew	(-Inf,-1.5)	non-cCRE	CpG ti (non-CGI)	28786	28786	65547.144	158223.918216	28734	-28354.141968605712	82248.55256155733	75	1123	434	2.2770493990134093	0.3116148467519398	0.003290170545346355	2.2706006647445305	2.283498133282288
HepG2_skew	(-Inf,-1.5)	non-cCRE	non-CpG ti	16106	16106	2454.65	443.864196	15954	1530.2490145500046	11500.139186712957	205	675	426	0.15240593567614555	0.0043316340262371505	5.185994249957597e-4	0.15138948080315387	0.15342239054913723
HepG2_skew	(-Inf,-1.5)	non-cCRE	non-CpG tv	15694	15694	1052.025	115.665403	15581	-5546.755997052998	28037.16828568309	175	704	428	0.06703357971199185	0.002876722188459298	4.281363846814066e-4	0.0661944323980163	0.0678727270259674
HepG2_skew	(-Inf,-1.5)	pELS	CpG ti (CGI)	203	203	114.112	111.886408	203	460.4229982371907	3520.941314880735	78	78	126	0.562128078817734	0.2363408349997562	0.034120969600837284	0.4952509784000929	0.629005179235375
HepG2_skew	(-Inf,-1.5)	pELS	CpG ti (non-CGI)	1583	1583	2992.258	6623.884444	1583	-713.5380006583873	6290.34529390671	85	348	612	1.89024510423247	0.6117467818581281	0.019658274236620525	1.8517148867286937	1.9287753217362462
HepG2_skew	(-Inf,-1.5)	pELS	non-CpG ti	1582	1582	221.329	37.826557	1582	2089.238999491326	13362.51528116549	351	392	868	0.1399045512010114	0.004340052237337981	0.0016563199726102134	0.13665816405469539	0.1431509383473274
HepG2_skew	(-Inf,-1.5)	pELS	non-CpG tv	1654	1654	98.307	9.404547	1653	1612.950003315928	13166.701643716648	326	434	869	0.059435912938331316	0.0021546162775386954	0.0011413457228076863	0.05719887532162825	0.061672950555034384
HepG2_skew	[-0.05,0.05)	Other cCREs	CpG ti (CGI)	18634	18634	31269.095	62485.249689	18527	-12359.758994128562	61166.48440132568	462	2700	633	1.6780667060212515	0.5374133227115552	0.005370332415588493	1.667540854486698	1.688592557555805
