skew_type	skew_bin	ccre_class	pleio_bin	pleio_set	COMMON	SINGLETON	gw_SINGLETON	gw_COMMON	odds	lci	uci	pval	log2odds	log2lci	log2uci
HepG2_skew	(-Inf,-1.5)	Other cCREs	0	trained	297	4219	271223115	11777645	0.6149330151704255	0.5466257147114277	0.693909026986668	3.0277164983263285e-14	-0.7014988290609977	-0.8713747652603518	-0.5271815602079679
HepG2_skew	(-Inf,-1.5)	Other cCREs	1	trained	10	285	271223115	11777645	1.1290303023887098	0.6215502891984422	2.2873008271290654	0.8838942849065364	0.1750842075628581	-0.6860569714421701	1.1936461223153625
HepG2_skew	(-Inf,-1.5)	PLS	0	trained	11	261	271223115	11777645	0.948071376013151	0.5336082216945713	1.8585774841257157	0.7630249503240553	-0.07693241767954836	-0.9061471995293946	0.8941988354333031
HepG2_skew	(-Inf,-1.5)	PLS	1	trained	9	246	271223115	11777645	1.072578149874121	0.5734930516893304	2.2646351071165767	1.0000000000000002	0.10108276877684118	-0.8021520879035792	1.179278612495813
HepG2_skew	(-Inf,-1.5)	PLS	2	trained	4	166	271223115	11777645	1.4503757977342313	0.6092471608569963	4.52521144796498	0.5646940068074775	0.5364267562977664	-0.7149004720032942	2.1779852060750198
HepG2_skew	(-Inf,-1.5)	PLS	3	trained	3	632	271223115	11777645	6.873184637810085	2.6706996053000824	25.298675427331037	8.620537260960671e-8	2.7809787157256007	1.4172177137807023	4.66098994603437
HepG2_skew	(-Inf,-1.5)	dELS	0	trained	656	10316	271223115	11777645	0.6818977062500431	0.6301058217886523	0.7389476318808347	2.0109008124407033e-19	-0.5523727629027368	-0.6663339555618099	-0.43645596854416174
HepG2_skew	(-Inf,-1.5)	dELS	1	trained	162	3310	271223115	11777645	0.8820700091226176	0.7535416520436673	1.0387247951250635	0.11608434578177342	-0.18103492912078117	-0.40824083583660614	0.0548134701226949
HepG2_skew	(-Inf,-1.5)	dELS	2	trained	25	884	271223115	11777645	1.4781023905257131	1.0019470348490205	2.275538081630033	0.04632180994360528	0.5637462107474064	0.002806246476942178	1.1862077303267913
HepG2_skew	(-Inf,-1.5)	dELS	3	trained	6	282	271223115	11777645	1.7555932716776281	0.8409889819425593	4.406274036047022	0.18246424701041827	0.8119586461828752	-0.24984119547823488	2.1395592222634767
HepG2_skew	(-Inf,-1.5)	non-cCRE	0	trained	1890	21338	271223115	11777645	0.4899804385647775	0.46746954619668024	0.5138416327032279	2.0954599303384964e-160	-1.029203941065468	-1.0970557127365186	-0.9606043092395578
HepG2_skew	(-Inf,-1.5)	pELS	0	trained	67	1041	271223115	11777645	0.6654220450917316	0.5203803206483303	0.8634936820629531	0.001971477649121608	-0.5876584321266366	-0.9423616905562803	-0.21174247288277664
HepG2_skew	(-Inf,-1.5)	pELS	1	trained	20	550	271223115	11777645	1.1393696849790618	0.737924161772504	1.855478318990725	0.6745992058233387	0.18823592628329291	-0.43845554019622063	0.8917911434405545
HepG2_skew	(-Inf,-1.5)	pELS	2	trained	7	315	271223115	11777645	1.7152699589960876	0.8599236711070339	4.007660664690376	0.1616033840427305	0.778435653864502	-0.2177194864708148	2.0027603583101605
HepG2_skew	(-Inf,-1.5)	pELS	3	trained	6	373	271223115	11777645	2.320094819629894	1.1149337419439425	5.810974501001577	0.01999829075532509	1.2141837678590734	0.15695797650504778	2.5387801240205596
HepG2_skew	[-0.05,0.05)	Other cCREs	0	trained	413137	9774641	271223115	11777645	1.0284197008526361	1.025147763920952	1.0317006818087	8.481401280573129e-68	0.040429152439168246	0.03583187354689166	0.045024475116841454
HepG2_skew	[-0.05,0.05)	Other cCREs	1	trained	8291	193157	271223115	11777645	1.011553306503511	0.9895473359853074	1.034169766020165	0.3098321150273656	0.016572348568335102	-0.015159373205439955	0.048473033323650605
HepG2_skew	[-0.05,0.05)	Other cCREs	2	trained	1585	37432	271223115	11777645	1.0249077021768227	0.9746449026884549	1.0783957528937436	0.34179366844776304	0.035493994016241794	-0.037051404684571354	0.10888671979709752
HepG2_skew	[-0.05,0.05)	Other cCREs	3	trained	1280	29431	271223115	11777645	0.9977054421931336	0.9433860196604202	1.055928238328633	0.931687254603737	-0.003314150880139894	-0.08407987362132488	0.07851179139587167
HepG2_skew	[-0.05,0.05)	PLS	0	trained	6094	146963	271223115	11777645	1.047079671070832	1.0205593487861695	1.0744426763017803	4.1004867088709283e-4	0.06637121942804834	0.02936008213529557	0.10358851410936265
HepG2_skew	[-0.05,0.05)	PLS	1	trained	2461	71812	271223115	11777645	1.2666954225589349	1.216775596665439	1.3191450253006145	5.650763414174518e-33	0.3410696695552809	0.28306312414908014	0.3996031815572166
