skew_type	skew_bin	ccre_class	af_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	prop_conserved
mean_skew	[-0.05,0.05)	pELS	RARE	373150	372531	144149.94	228083.180678	372589	-28898.268015522262	956085.551604416	16992	77384	47582	0.04560521110392416
mean_skew	[-0.05,0.05)	pELS	SINGLETON	3347989	3346094	499844.03	326058.865952	3345446	441544.9258854584	7528685.858261446	185040	695977	415839	0.05531101084877771
mean_skew	[-0.05,0.05)	pELS	ULTRARARE	2272368	2268895	689917.406	942749.127448	2269997	11604.611099602584	5519408.375857963	113616	475788	288512	0.050051167468503265
mean_skew	[-0.2,-0.05)	PLS	COMMON	6917	6907	2529.386	3484.332968	6904	-1221.4529924193637	28056.68232209679	519	2675	2630	0.07517381228273465
mean_skew	[-0.2,-0.05)	PLS	LOW_FREQ	9620	9611	3976.717	5907.046721	9604	1440.9520117762731	49564.06936667088	1133	3330	3993	0.11797167846730529
mean_skew	[-0.2,-0.05)	PLS	RARE	26670	26462	11591.338	17696.732808	26624	7313.466999594237	144213.90927106826	3544	9323	11272	0.13311298076923078
mean_skew	[-0.2,-0.05)	PLS	SINGLETON	213568	213392	41876.333	30385.454925	213415	126865.7909916769	1206382.0645009954	34653	75327	92998	0.1623737787878078
mean_skew	[-0.2,-0.05)	PLS	ULTRARARE	159465	158942	55887.691	73184.426825	159319	65105.44796857377	902739.5316316022	23450	55398	68646	0.14718897306661477
mean_skew	[-0.2,-0.05)	dELS	COMMON	278394	278255	200195.509	396465.810935	277893	-115124.62499263734	731500.1694475929	8024	27702	40768	0.028874422889385482
mean_skew	[-0.2,-0.05)	dELS	LOW_FREQ	337834	337653	293003.367	620114.326063	337082	-103660.9800077706	919496.4420480886	12163	28237	52180	0.03608320824013148
mean_skew	[-0.2,-0.05)	dELS	RARE	892803	892284	854078.337	1834003.205259	890892	-280993.01795013127	2550630.8489884464	34438	75516	139951	0.038655639516349906
mean_skew	[-0.2,-0.05)	dELS	SINGLETON	5761379	5759965	1258390.195	1560286.611137	5752658	699841.893647804	13586777.71186468	329040	463008	856505	0.0571979074716418
