skew_type	skew_bin	ccre_class	cell_line	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	phyloP_mean	phyloP_var	phyloP_se	phyloP_lci	phyloP_uci	frac_conserved	frac_conserved_se	frac_conserved_lci	frac_conserved_uci
HepG2_skew	(-Inf,-1.5)	Inactive cCRE	H1	49351	49349	44132.979	96916.903161	49266	-6006.571003559279	163843.6483151144	2898	4643	17158	-0.12192122363413468	3.3108965762410465	0.008197834682966169	-0.13798897961274836	-0.10585346765552099	0.058823529411764705	0.0010600770165183815	0.05674577845938868	0.060901280364140734
HepG2_skew	(-Inf,-1.5)	Inactive cCRE	HCT116	47392	47391	43415.42	95410.545554	47301	-7620.998000485009	153832.50485815023	2553	4334	15668	-0.16111705884621907	3.226313574520913	0.008258822390669657	-0.1773043507319316	-0.14492976696050655	0.05397348893258071	0.0010389789257723627	0.05193709023806688	0.05600988762709454
HepG2_skew	(-Inf,-1.5)	Inactive cCRE	HepG2	46665	46664	43286.092	95374.038482	46577	-7745.196003582099	152948.66438562964	2490	4198	15310	-0.166287996298218	3.256199142503801	0.008361221383653708	-0.18267599021017927	-0.14990000238625673	0.05345986216372888	0.0010423118578838373	0.05141693092227656	0.0555027934051812
HepG2_skew	(-Inf,-1.5)	Inactive cCRE	K562	45979	45977	41598.719	91942.834965	45895	-6424.996009830271	150891.2267162845	2612	3982	15226	-0.13999337639896003	3.268221768238081	0.008438651895023495	-0.15653313411320607	-0.12345361868471398	0.056912517703453534	0.0010814269848725716	0.054792920813103295	0.059032114593803774
HepG2_skew	(-Inf,-1.5)	Inactive cCRE	MCF-7	49362	49360	43830.46	96038.907126	49280	-5375.514005263337	165053.48834619595	2918	4574	17344	-0.1090810471847268	3.337468732103851	0.008229496279350738	-0.12521085989225425	-0.09295123447719936	0.059212662337662335	0.0010632066305359801	0.057128777341811814	0.061296547333512856
HepG2_skew	(-Inf,-1.5)	Inactive cCRE	SK-N-SH	49639	49637	43886.635	96356.768959	49550	-5908.33600357885	161112.88459422986	2871	4505	17676	-0.11923987898241876	3.237368570993878	0.008083030986532262	-0.135082619716022	-0.10339713824881554	0.057941473259334006	0.0010495711385568208	0.055884313827762634	0.05999863269090538
HepG2_skew	(-Inf,-1.5)	Other cCREs	H1	2805	2805	1502.091	2664.999883	2798	2304.553995432683	20221.447021047148	529	483	1865	0.8236433150224028	6.551060610869091	0.04838736288921725	0.7288040837595371	0.9184825462852686	0.1890636168691923	0.0074024165259533176	0.1745548804783238	0.2035723532600608
HepG2_skew	(-Inf,-1.5)	Other cCREs	HCT116	2275	2274	1039.578	1979.889836	2273	1457.2519984300004	11517.713658486316	325	263	1576	0.6411139456357239	4.658208221825403	0.04526992040770484	0.5523849016366223	0.7298429896348254	0.14298284205895292	0.007342382464982019	0.12859177242758818	0.15737391169031767
HepG2_skew	(-Inf,-1.5)	Other cCREs	HepG2	3274	3273	1474.054	2683.117024	3270	2080.106996647199	17983.611831668906	486	445	2195	0.6361183475985318	5.096487490404878	0.039478587431254944	0.5587403162332721	0.7134963789637915	0.14862385321100918	0.006220583457588208	0.1364315096341363	0.16081619678788206
HepG2_skew	(-Inf,-1.5)	Other cCREs	K562	3584	3584	2374.578	4508.532396	3574	1362.774000875885	18191.421102522167	448	550	2146	0.3813021826737227	4.945925665126557	0.03720030651776709	0.3083895818988992	0.45421478344854616	0.12534974818130945	0.0055386213007170395	0.11449405043190405	0.13620544593071485
HepG2_skew	(-Inf,-1.5)	Other cCREs	MCF-7	1877	1877	1330.384	2656.213424	1867	586.8969998925456	10573.930082129138	252	256	1066	0.31435297262589484	5.567758448868005	0.05460947908199509	0.20731839362518448	0.42138755162660524	0.13497589716122121	0.007908061840369011	0.11947609595409796	0.15047569836834448
