skew_type	skew_bin	ccre_class	mut_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	total	prop
HepG2_skew	[-0.2,-0.05)	PLS	CpG ti (non-CGI)	35536	35536	51103.697	97284.610699	35474	-16981.494992225547	157624.70937488292	2116	10035	11565	430319	0.08258059718487913
HepG2_skew	[-0.2,-0.05)	PLS	non-CpG ti	171107	171107	26001.589	4878.573575	170999	134839.1409942531	1013480.6734469738	30783	58992	68576	430319	0.39762827111979715
HepG2_skew	[-0.2,-0.05)	PLS	non-CpG tv	175635	175635	14172.192	2059.466464	175471	94515.8259976993	1009632.2046977116	27857	62427	77606	430319	0.40815069750580385
HepG2_skew	[-0.2,-0.05)	dELS	CpG ti (CGI)	46160	46160	58190.207	108233.284093	46075	-25394.544010267004	187133.68342036917	2353	9905	12932	12589841	0.0036664482101084516
HepG2_skew	[-0.2,-0.05)	dELS	CpG ti (non-CGI)	2236564	2236564	4556035.738	10061701.42471	2232894	-1922116.8837831109	8106441.574512112	43602	207902	365861	12589841	0.17764831184126947
HepG2_skew	[-0.2,-0.05)	dELS	non-CpG ti	5844845	5844845	824312.064	148727.70256	5837138	1190852.9194384925	12857458.004128989	344510	465996	839303	12589841	0.4642508988000722
HepG2_skew	[-0.2,-0.05)	dELS	non-CpG tv	4462272	4462272	280025.843	37172.253911	4454580	440629.3187531148	10508712.30949216	246205	357825	662930	12589841	0.3544343411485498
HepG2_skew	[-0.2,-0.05)	non-cCRE	CpG ti (CGI)	43737	43737	45143.747	78943.74763299999	43593	-13363.345986908766	142655.39852045898	2347	12911	10863	44186224	9.898333924166047e-4
HepG2_skew	[-0.2,-0.05)	non-cCRE	CpG ti (non-CGI)	7334615	7334615	16245591.962	38104070.468668	7282907	-6605512.695442984	19590832.291342128	31499	279681	63819	44186224	0.1659932516523702
HepG2_skew	[-0.2,-0.05)	non-cCRE	non-CpG ti	20134030	20134030	2786883.857999996	521584.377074	19909725	-1834.3690599819856	21018700.499730416	348000	560716	157054	44186224	0.4556630591471224
HepG2_skew	[-0.2,-0.05)	non-cCRE	non-CpG tv	16673842	16673842	1030495.8640000008	147407.5606619999	16425802	-1105876.9490460318	19217423.397097524	269220	468451	136125	44186224	0.3773538558080908
HepG2_skew	[-0.2,-0.05)	pELS	CpG ti (CGI)	62332	62332	32138.682	30825.704794	62290	7432.349000156627	229909.27399888405	5862	24263	28588	1987274	0.031365579180324406
HepG2_skew	[-0.2,-0.05)	pELS	CpG ti (non-CGI)	310947	310947	526845.938	1065204.334122	310534	-236313.16993729761	1053884.0933433324	6933	68236	55269	1987274	0.1564691129658014
HepG2_skew	[-0.2,-0.05)	pELS	non-CpG ti	879090	879090	126444.618	22932.170856	878270	282754.4499710128	2370068.652280529	68403	205969	173562	1987274	0.44235973499376535
HepG2_skew	[-0.2,-0.05)	pELS	non-CpG tv	734905	734905	50674.23	7193.682576	733899	134771.28197255824	2097561.0060535604	53334	180115	159200	1987274	0.3698055728601089
HepG2_skew	[-0.5,-0.2)	PLS	CpG ti (CGI)	15555	15555	7265.147	6036.4287810000005	15548	18636.09298414912	139700.72601638062	4163	6383	9791	145336	0.10702785269995047
HepG2_skew	[-0.5,-0.2)	PLS	CpG ti (non-CGI)	11695	11695	16749.26	32313.306464	11683	-1244.4089955646782	65383.79917966561	1255	3511	5050	145336	0.0804687069962019
HepG2_skew	[-0.5,-0.2)	PLS	non-CpG ti	53705	53705	8826.979	1849.853609	53674	80288.74196349121	511787.7694340072	15625	19606	27299	145336	0.3695230362745638
HepG2_skew	[-0.5,-0.2)	PLS	non-CpG tv	64381	64381	5297.119	796.147299	64319	77367.7929747716	546926.4920883557	16506	24097	34861	145336	0.44298040402928385
HepG2_skew	[-0.5,-0.2)	dELS	CpG ti (CGI)	13189	13189	17572.575	34052.265553	13161	-6256.835998701516	53685.88843335821	748	3052	4120	2548981	0.0051742245234468204
HepG2_skew	[-0.5,-0.2)	dELS	CpG ti (non-CGI)	532070	532070	1100727.357	2478920.413353	531098	-463047.2710032128	1950067.2186836847	10797	54718	128150	2548981	0.20873831542879293
HepG2_skew	[-0.5,-0.2)	dELS	non-CpG ti	1053650	1053650	159575.077	32153.415909	1052168	261010.12581582656	2729013.3355690097	73545	94766	243945	2548981	0.41336126083325064
HepG2_skew	[-0.5,-0.2)	dELS	non-CpG tv	950072	950072	62033.144	8534.146342	948247	104371.07196348946	2535283.2225859263	58988	87730	223170	2548981	0.37272619921450967
HepG2_skew	[-0.5,-0.2)	non-cCRE	CpG ti (CGI)	10280	10280	11850.034	22106.035356	10240	-1499.8449873907978	39353.16143481056	770	3025	2562	5195580	0.0019786048910804955
HepG2_skew	[-0.5,-0.2)	non-cCRE	CpG ti (non-CGI)	1183088	1183088	2635755.597	6246835.399443	1175103	-1078715.9221014946	3179462.4118047166	4516	52026	16628	5195580	0.22771047698235808
HepG2_skew	[-0.5,-0.2)	non-cCRE	non-CpG ti	2020149	2020149	315725.079	68244.253759	2001294	-74277.91564078839	2332548.0413990594	35696	72224	32654	5195580	0.3888206898941023
HepG2_skew	[-0.5,-0.2)	non-cCRE	non-CpG tv	1982063	1982063	132291.328	19344.457202	1955306	-231597.84643759803	2521257.184414472	31445	71140	33888	5195580	0.38149022823245915
HepG2_skew	[-0.5,-0.2)	pELS	CpG ti (CGI)	16018	16018	8533.768	8739.900264	16007	7524.298005253426	82523.83115717964	2368	6271	8146	431976	0.037080763746134046
HepG2_skew	[-0.5,-0.2)	pELS	CpG ti (non-CGI)	73196	73196	125802.512	259853.239958	73102	-51355.92297849899	260717.86328415884	2165	16973	18897	431976	0.16944459877400597
HepG2_skew	[-0.5,-0.2)	pELS	non-CpG ti	171477	171477	26893.273	5487.853229	171288	93697.30198824972	682744.3071967318	20477	44306	53262	431976	0.3969595533085171
HepG2_skew	[-0.5,-0.2)	pELS	non-CpG tv	171285	171285	12597.937	1918.242757	170988	65458.75899821217	671491.7110905701	18545	46434	56503	431976	0.39651508417134285
HepG2_skew	[-1.0,-0.5)	PLS	CpG ti (CGI)	4891	4891	2276.87	1909.76664	4891	11787.540009920716	79389.70835812358	2127	2133	3288	42538	0.11497954769852838
HepG2_skew	[-1.0,-0.5)	PLS	CpG ti (non-CGI)	4108	4108	6077.7699999999995	11885.013794	4105	1784.052995547186	32905.25224844382	703	1283	2225	42538	0.09657247637406555
HepG2_skew	[-1.0,-0.5)	PLS	non-CpG ti	15135	15135	2594.721	601.187157	15129	37875.26899894222	235153.2238099765	6625	5656	9255	42538	0.3557995204287931
HepG2_skew	[-1.0,-0.5)	PLS	non-CpG tv	18404	18404	1390.604	172.763582	18392	37670.472976782825	241406.17859822657	6929	7136	11433	42538	0.432648455498613
HepG2_skew	[-1.0,-0.5)	dELS	CpG ti (CGI)	3279	3279	4323.605	8272.526509	3272	-511.46099824307015	17705.470608743268	323	784	1216	606978	0.005402172731136878
HepG2_skew	[-1.0,-0.5)	dELS	CpG ti (non-CGI)	148185	148185	310155.012	706898.722286	147944	-120511.0009935262	563381.5345586697	3897	15477	49447	606978	0.2441357017882032
HepG2_skew	[-1.0,-0.5)	dELS	non-CpG ti	239321	239321	37250.169	8027.201335	238948	101821.55688981258	868951.0966827724	23581	22684	81384	606978	0.3942828240891762
HepG2_skew	[-1.0,-0.5)	dELS	non-CpG tv	216193	216193	13560.567	1579.869901	215736	44126.883986490095	705930.4971491552	16966	21120	74188	606978	0.35617930139148374
HepG2_skew	[-1.0,-0.5)	non-cCRE	CpG ti (CGI)	2267	2267	2875.159	5597.048923	2249	-13.0460052989656	11674.131855877742	231	712	571	911429	0.0024873029056569408
HepG2_skew	[-1.0,-0.5)	non-cCRE	CpG ti (non-CGI)	259227	259227	592928.097	1440590.273833	257769	-238884.72679637617	716753.638589355	1029	11751	5088	911429	0.28441820481902597
HepG2_skew	[-1.0,-0.5)	non-cCRE	non-CpG ti	332542	332542	56254.966	13475.345272	329208	-10647.558912888282	397447.52127173386	5831	12947	7686	911429	0.3648578221671683
HepG2_skew	[-1.0,-0.5)	non-cCRE	non-CpG tv	317393	317393	20093.921	2300.351129	313638	-45632.98587289825	426439.81618279166	4787	13678	7768	911429	0.34823667010814885
HepG2_skew	[-1.0,-0.5)	pELS	CpG ti (CGI)	3798	3798	2057.985	2109.407365	3798	3856.908000429976	32753.89605637618	862	1556	2081	98305	0.03863486089212146
HepG2_skew	[-1.0,-0.5)	pELS	CpG ti (non-CGI)	19631	19631	34438.565	72186.767301	19607	-11526.233997603416	79577.6821657703	893	4610	7003	98305	0.19969482732312702
HepG2_skew	[-1.0,-0.5)	pELS	non-CpG ti	37061	37061	6000.97	1326.156826	37014	33612.77898899956	233504.3967091975	6622	9848	15416	98305	0.37700015258633846
HepG2_skew	[-1.0,-0.5)	pELS	non-CpG tv	37815	37815	2618.167	326.825361	37728	25592.882000824673	211738.73965055693	5819	10609	16254	98305	0.3846701591984131
HepG2_skew	[-1.5,-1.0)	PLS	CpG ti (CGI)	1039	1039	497.309	454.998693	1039	3828.31499951333	27015.537768106373	635	494	769	8531	0.12179111475794162
HepG2_skew	[-1.5,-1.0)	PLS	CpG ti (non-CGI)	1000	1000	1584.677	3205.691809	999	850.5239996444428	9525.637609430936	225	284	581	8531	0.11721955222131052
HepG2_skew	[-1.5,-1.0)	PLS	non-CpG ti	3034	3034	490.161	103.669335	3029	9832.138990485457	63638.60512938555	1623	1149	1986	8531	0.3556441214394561
HepG2_skew	[-1.5,-1.0)	PLS	non-CpG tv	3458	3458	247.572	27.846172	3455	9841.21698895155	65195.375537356165	1697	1347	2279	8531	0.4053452115812918
HepG2_skew	[-1.5,-1.0)	dELS	CpG ti (CGI)	577	577	772.712	1509.98183	577	-38.66900232108323	3915.4068207012056	75	142	238	115626	0.004990227111549305
HepG2_skew	[-1.5,-1.0)	dELS	CpG ti (non-CGI)	31542	31542	68576.078	161250.212814	31501	-23418.63699432905	115031.23246748504	953	3318	11069	115626	0.2727933163821286
HepG2_skew	[-1.5,-1.0)	dELS	non-CpG ti	44599	44599	6793.552	1425.142538	44521	22612.39297914761	171440.05205358827	4707	4189	18604	115626	0.3857177451438258
HepG2_skew	[-1.5,-1.0)	dELS	non-CpG tv	38908	38908	2252.296	218.366512	38832	8328.343005842762	131146.66943238364	3147	3726	15975	115626	0.3364987113624963
HepG2_skew	[-1.5,-1.0)	non-cCRE	CpG ti (CGI)	385	385	490.753	939.659059	382	198.23200092837223	3596.125377977231	75	125	103	196409	0.00196019530673238
HepG2_skew	[-1.5,-1.0)	non-cCRE	CpG ti (non-CGI)	71458	71458	167449.41	415036.102434	71183	-63363.99192484713	183649.26903020675	253	3373	1159	196409	0.36382243176229195
HepG2_skew	[-1.5,-1.0)	non-cCRE	non-CpG ti	64642	64642	10880.958	2390.9989020000003	63940	1135.7240338319675	58907.3065919874	888	2738	1420	196409	0.32911933770855717
HepG2_skew	[-1.5,-1.0)	non-cCRE	non-CpG tv	59924	59924	3482.129	338.060827	59294	-9621.453955661857	74638.72425638439	729	2726	1401	196409	0.3050980352224185
HepG2_skew	[-1.5,-1.0)	pELS	CpG ti (CGI)	645	645	342.578	330.092232	645	1229.1949994103063	9902.767912970949	225	270	382	17805	0.03622577927548441
HepG2_skew	[-1.5,-1.0)	pELS	CpG ti (non-CGI)	4161	4161	7657.403	16544.873233	4158	-2252.980991175515	16982.781053893552	213	939	1470	17805	0.233698399326032
HepG2_skew	[-1.5,-1.0)	pELS	non-CpG ti	6587	6587	1028.215	214.967907	6579	7453.477010156145	48744.81684770235	1356	1780	3116	17805	0.36995226060095476
HepG2_skew	[-1.5,-1.0)	pELS	non-CpG tv	6412	6412	401.268	39.160222	6400	5461.2150007321015	43079.96689783286	1154	1781	3135	17805	0.3601235607975288
HepG2_skew	[0.05,0.2)	PLS	CpG ti (CGI)	18156	18156	8721.053	7329.136469	18151	2750.069995115396	102376.43849119564	2407	7481	10419	313005	0.05800546317151483
HepG2_skew	[0.05,0.2)	PLS	CpG ti (non-CGI)	9415	9415	12564.416	22198.402278	9403	-4979.661989891318	45163.50433378289	588	2752	3173	313005	0.03007939170300794
HepG2_skew	[0.05,0.2)	PLS	non-CpG ti	146873	146873	21959.854	4487.091954	146779	45365.30197022484	763940.222960041	19015	48694	48060	313005	0.46923531572978067
HepG2_skew	[0.05,0.2)	PLS	non-CpG tv	138561	138561	10127.471	1277.361951	138434	43531.11896559399	726256.1322188275	18174	48910	53067	313005	0.44267982939569656
HepG2_skew	[0.05,0.2)	dELS	CpG ti (CGI)	17429	17429	21161.838	37319.27865	17396	-11006.609005427112	71898.29391061097	821	3801	4750	11411880	0.001527268075023572
HepG2_skew	[0.05,0.2)	dELS	CpG ti (non-CGI)	516494	516494	970695.924	1982680.616058	515657	-439217.8759276073	1873455.567995873	10113	50619	82446	11411880	0.04525932624598226
HepG2_skew	[0.05,0.2)	dELS	non-CpG ti	6560393	6560393	1056651.137	251541.129547	6552612	-545749.9383071959	15598185.872033045	288674	493150	740911	11411880	0.5748739909638027
HepG2_skew	[0.05,0.2)	dELS	non-CpG tv	4317564	4317564	243349.733	24350.848515	4310530	377605.0386695024	9590514.889811205	221351	335338	515117	11411880	0.37833941471519156
HepG2_skew	[0.05,0.2)	non-cCRE	CpG ti (CGI)	15975	15975	16348.379	27198.656275	15941	-6651.569001054276	51704.58306625563	722	4831	3898	47304594	3.377050440386403e-4
HepG2_skew	[0.05,0.2)	non-cCRE	CpG ti (non-CGI)	1570849	1570849	3264345.744	7200546.032378	1557376	-1292608.1631037972	3941824.2478771857	8372	61180	13378	47304594	0.033207113034306984
HepG2_skew	[0.05,0.2)	non-cCRE	non-CpG ti	26701674	26701674	4409550.552999989	1050721.0308650003	26430596	-4163585.4354501497	33518269.524043266	335485	705527	141607	47304594	0.5644625974382108
HepG2_skew	[0.05,0.2)	non-cCRE	non-CpG tv	19016096	19016096	1163659.285000001	137521.98306099986	18751049	-1518786.890914007	20714488.83151599	263131	506515	108455	47304594	0.4019925844834436
HepG2_skew	[0.05,0.2)	pELS	CpG ti (CGI)	23606	23606	12257.239	11443.437141	23593	-287.5730005989311	90590.0769283627	2091	9205	10776	1734318	0.013611113994088743
HepG2_skew	[0.05,0.2)	pELS	CpG ti (non-CGI)	72762	72762	114293.461	215254.162765	72661	-55928.6619916904	250599.65004633667	1600	16517	12874	1734318	0.041954243685414096
HepG2_skew	[0.05,0.2)	pELS	non-CpG ti	941328	941328	145899.157	32585.973903	940537	367.3109726258249	2481048.594038974	52167	209776	141054	1734318	0.5427655135909332
HepG2_skew	[0.05,0.2)	pELS	non-CpG tv	696622	696622	42517.127	4689.0283469999995	695763	91451.02604921302	1781725.3651704332	43371	166989	121002	1734318	0.401669128729564
HepG2_skew	[0.2,0.5)	PLS	CpG ti (CGI)	5128	5128	2393.085	1985.110557	5125	2703.674999074081	32145.94610835502	911	2123	2943	81276	0.06309365618386732
HepG2_skew	[0.2,0.5)	PLS	CpG ti (non-CGI)	2698	2698	3572.36	6404.824712	2692	-960.7560005951668	13957.190357564104	217	785	948	81276	0.03319553127614548
HepG2_skew	[0.2,0.5)	PLS	non-CpG ti	34956	34956	5082.483	947.578875	34937	21172.658987898052	216921.67748086675	5951	12114	13138	81276	0.43009006348737633
HepG2_skew	[0.2,0.5)	PLS	non-CpG tv	38494	38494	2871.426	376.575134	38469	21589.762980733656	238703.94204124855	6388	14078	15785	81276	0.47362074905261087
HepG2_skew	[0.2,0.5)	dELS	CpG ti (CGI)	5105	5105	6382.85	11519.11564	5102	-2710.7769910783973	20993.584426866797	264	1120	1406	2061767	0.002476031481733872
HepG2_skew	[0.2,0.5)	dELS	CpG ti (non-CGI)	131825	131825	250472.551	519038.099789	131526	-114312.92000119192	485958.7306834704	2565	13743	24451	2061767	0.06393787464829925
HepG2_skew	[0.2,0.5)	dELS	non-CpG ti	1091432	1091432	166465.895	35509.107037	1089953	-83359.373005484	2561725.557545686	48648	92453	162925	2061767	0.5293672854401104
HepG2_skew	[0.2,0.5)	dELS	non-CpG tv	833405	833405	47360.852	4592.917942	831959	65207.969962333824	1905426.6343671584	43746	73067	127396	2061767	0.4042188084298565
HepG2_skew	[0.2,0.5)	non-cCRE	CpG ti (CGI)	4421	4421	4630.144	7982.67871	4398	-970.9760025391588	16064.794730167792	312	1339	1113	5592748	7.904879676323696e-4
HepG2_skew	[0.2,0.5)	non-cCRE	CpG ti (non-CGI)	299826	299826	624554.814	1383776.825902	297250	-260171.09679345708	795597.5024489663	1492	13802	3346	5592748	0.05360978181030148
HepG2_skew	[0.2,0.5)	non-cCRE	non-CpG ti	2944662	2944662	454346.938	97396.540464	2919354	-493232.9983782113	3736793.920818042	35521	96764	25822	5592748	0.5265143360652045
HepG2_skew	[0.2,0.5)	non-cCRE	non-CpG tv	2343839	2343839	142727.174	15628.314006	2315516	-190121.2954326799	2663481.1931765904	34086	80609	22745	5592748	0.4190853941568617
