skew_type	skew_bin	ccre_class	af_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	phyloP_mean
mean_skew	(-Inf,-1.5)	non-cCRE	RARE	8081	8077	13785.595	33508.877868999996	8033	-6115.469991708524	19251.593040850465	30	344	142	-0.761293413632332
mean_skew	(-Inf,-1.5)	non-cCRE	SINGLETON	26299	26288	11760.333	21276.997981	26003	-5409.295984567028	33915.84257844594	250	1215	742	-0.20802584257843434
mean_skew	(-Inf,-1.5)	non-cCRE	ULTRARARE	33695	33679	45524.643	105168.079809	33417	-19571.613968515656	66933.97863081307	178	1477	644	-0.5856783663559163
mean_skew	(-Inf,-1.5)	pELS	COMMON	99	99	101.257	210.521523	99	-39.74200042709708	294.35186485656345	3	24	39	-0.4014343477484554
mean_skew	(-Inf,-1.5)	pELS	LOW_FREQ	144	144	142.335	306.747921	144	74.10199967771773	799.7737171954473	23	28	70	0.5145972199841509
mean_skew	(-Inf,-1.5)	pELS	RARE	458	458	472.013	1010.492583	458	119.3629995919764	2324.866703347221	51	120	221	0.2606179030392498
mean_skew	(-Inf,-1.5)	pELS	SINGLETON	2731	2731	886.278	1271.870876	2729	3346.723999000157	26225.340716436855	630	780	1559	1.2263554411873057
mean_skew	(-Inf,-1.5)	pELS	ULTRARARE	2509	2509	2131.015	4349.770019	2508	1655.4269994352946	18211.16387274172	418	642	1313	0.6600586122150298
mean_skew	[-0.05,0.05)	PLS	COMMON	14398	14373	3695.203	4282.883263	14374	-3368.7640061657853	59711.29288405781	916	5032	4237	-0.23436510408833905
mean_skew	[-0.05,0.05)	PLS	LOW_FREQ	17796	17715	5207.09	6637.59102	17769	-261.56100929540077	77885.475261778	1480	5587	5680	-0.014720074809803634
mean_skew	[-0.05,0.05)	PLS	RARE	47974	46320	14209.142	18262.80389	47907	1607.1070058539058	236117.36766955888	4534	15547	15022	0.03354639208996401
mean_skew	[-0.05,0.05)	PLS	SINGLETON	410874	410459	64281.244	36164.319818	410601	126643.11489157286	1821204.2884519496	46898	129768	130923	0.30843352766206816
mean_skew	[-0.05,0.05)	PLS	ULTRARARE	290392	287532	74107.85800000001	80997.76256999999	290134	51054.4510111612	1370325.536526631	31222	93008	94109	0.17596852148028566
mean_skew	[-0.05,0.05)	dELS	COMMON	938981	938586	330472.096	515974.981236	937525	-218549.5009614687	2098424.092600526	30578	79547	88180	-0.23311325133886424
mean_skew	[-0.05,0.05)	dELS	LOW_FREQ	1083914	1083355	458929.567	794406.621311	1082117	-100426.30905400576	2501366.4612244745	45436	74612	105628	-0.09280540741343658
mean_skew	[-0.05,0.05)	dELS	RARE	2732483	2731121	1288353.051	2309065.990995	2728028	-246960.4411281867	6615517.474588014	120021	189700	269307	-0.09052709177771881
