skew_type	skew_bin	ccre_class	af_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	phyloP_mean
mean_skew	[0.2,0.5)	pELS	SINGLETON	184344	184248	24930.797	11947.428975	184161	36418.69103063503	572315.6110044982	14697	47691	42063	0.1977546333405826
mean_skew	[0.2,0.5)	pELS	ULTRARARE	122854	122690	28073.887	30026.961877	122683	12894.47301292956	395443.8401990468	9306	32080	28291	0.10510399169346658
mean_skew	[0.5,1.0)	PLS	COMMON	350	349	59.331	47.036339	350	-60.553998860297845	1291.4912296725188	29	158	133	-0.1730114253151367
mean_skew	[0.5,1.0)	PLS	LOW_FREQ	437	437	88.919	77.923177	436	102.66300275526002	2141.767748716624	57	166	163	0.23546560264967895
mean_skew	[0.5,1.0)	PLS	RARE	1324	1319	295.85	297.997838	1322	485.9920012070801	8300.459035038835	204	474	566	0.3676187603684418
mean_skew	[0.5,1.0)	PLS	SINGLETON	11902	11891	1705.617	757.493377	11899	9976.90699544642	84533.966477215	2398	4325	5087	0.8384660051639986
mean_skew	[0.5,1.0)	PLS	ULTRARARE	8108	8086	1595.219	1239.611053	8105	5333.6479931992935	57468.041267217544	1528	2995	3496	0.6580688455520411
mean_skew	[0.5,1.0)	dELS	COMMON	10151	10145	3121.521	4628.197307	10133	-4958.60400226503	26431.4379255825	257	1180	2199	-0.48935201838202214
mean_skew	[0.5,1.0)	dELS	LOW_FREQ	10389	10385	4035.957	6802.951489	10373	-2615.791002280313	24030.445057974895	328	956	1912	-0.252173045626175
mean_skew	[0.5,1.0)	dELS	RARE	26134	26121	11645.072	20529.47018	26088	-6428.421997126073	67599.4161104551	992	2358	4843	-0.24641298670369796
mean_skew	[0.5,1.0)	dELS	SINGLETON	227454	227396	31393.435	19021.411225	227114	-6751.922968783175	537888.6032604321	10876	20908	40842	-0.029729223952654503
mean_skew	[0.5,1.0)	dELS	ULTRARARE	156554	156515	49880.548	74496.17183	156307	-25225.239971485094	397623.85950448154	6746	14726	28685	-0.1613826634218883
mean_skew	[0.5,1.0)	non-cCRE	COMMON	23406	23386	7088.964	11009.040476	23212	-13927.263991204083	48279.330215073445	167	1187	289	-0.6000027568156162
mean_skew	[0.5,1.0)	non-cCRE	LOW_FREQ	25600	25568	9618.125	16549.441371	25328	-8492.141993272702	38587.97855111976	205	1051	318	-0.3352867179908679
mean_skew	[0.5,1.0)	non-cCRE	RARE	62572	62513	26021.06	47945.127024	61816	-18962.22597314638	92799.28563830594	603	2603	818	-0.306752717308567
mean_skew	[0.5,1.0)	non-cCRE	SINGLETON	515326	515026	66732.553	34026.775317	511248	-68162.5248424091	611071.1456888177	6245	20291	6693	-0.13332575353333234
mean_skew	[0.5,1.0)	non-cCRE	ULTRARARE	353321	353072	95692.333	137168.125255	350127	-79348.0818758309	480212.28341205383	3841	14209	4541	-0.22662657228900057
mean_skew	[0.5,1.0)	pELS	COMMON	1540	1539	361.555	416.042051	1535	-641.9269997869851	4529.901921872066	62	469	399	-0.4181934852032476
mean_skew	[0.5,1.0)	pELS	LOW_FREQ	1769	1769	493.112	648.420874	1761	-86.52299995999762	5490.437976530731	106	437	434	-0.049132879023280875
mean_skew	[0.5,1.0)	pELS	RARE	4639	4634	1409.859	1967.512115	4625	49.062997250817915	14129.067271355398	314	1225	1215	0.010608215621798468
mean_skew	[0.5,1.0)	pELS	SINGLETON	42483	42456	5791.636	2833.96903	42434	11237.71399824496	149460.6548043248	3973	11492	10788	0.26482806236143097
mean_skew	[0.5,1.0)	pELS	ULTRARARE	28615	28573	6873.361	7808.836771	28574	4284.559001437619	100845.97700736333	2435	7750	7407	0.14994606990402531
mean_skew	[1.0,1.5)	PLS	COMMON	61	61	17.424	25.722794	61	-23.902999091893435	223.29462289352983	3	30	21	-0.39185244412940057
mean_skew	[1.0,1.5)	PLS	LOW_FREQ	65	65	12.903	11.748069	65	8.509999792557222	296.7905421445592	8	23	23	0.13092307373164958
mean_skew	[1.0,1.5)	PLS	RARE	217	217	44.684	43.531962	217	95.4230002439581	1414.632261704535	26	92	76	0.43973732831317097
mean_skew	[1.0,1.5)	PLS	SINGLETON	2006	2005	269.925	86.175527	2006	1783.3320013671184	15563.837594608847	433	715	825	0.8889990036725416
mean_skew	[1.0,1.5)	PLS	ULTRARARE	1378	1376	249.189	157.852599	1375	1185.3100026026384	10480.814458731567	283	492	552	0.8620436382564642
mean_skew	[1.0,1.5)	dELS	COMMON	1828	1827	617.479	1008.911301	1825	-903.7929998016916	4684.504817576171	47	220	446	-0.4952290409872283
mean_skew	[1.0,1.5)	dELS	LOW_FREQ	1798	1798	730.061	1300.520017	1795	-581.2119970627831	4381.238787908345	68	160	354	-0.32379498443609084
mean_skew	[1.0,1.5)	dELS	RARE	4654	4653	2049.935	3667.716811	4643	-1179.585000156891	12208.151478514696	166	458	934	-0.2540566444447321
mean_skew	[1.0,1.5)	dELS	SINGLETON	39852	39844	5406.381	3437.596195	39780	-1957.6080011943145	93961.35357236666	1824	3656	7314	-0.049210859758529776
mean_skew	[1.0,1.5)	dELS	ULTRARARE	27368	27363	8866.57	13672.42758	27322	-4264.803988261614	68404.1013123155	1212	2641	5143	-0.1560941361635903
mean_skew	[1.0,1.5)	non-cCRE	COMMON	4049	4043	859.39	1101.374926	4018	-2983.684006025665	9610.554796238108	19	228	55	-0.7425793942323706
mean_skew	[1.0,1.5)	non-cCRE	LOW_FREQ	3925	3922	1085.757	1650.657923	3884	-1575.0699990749129	6268.329607083289	31	179	52	-0.40552780614699097
mean_skew	[1.0,1.5)	non-cCRE	RARE	9751	9742	3157.069	5376.364871	9641	-3805.09200306388	15625.433160024037	77	485	141	-0.39467814573839644
mean_skew	[1.0,1.5)	non-cCRE	SINGLETON	79793	79770	9719.025	4155.442885	79122	-13257.043979481676	97901.89715277412	897	3402	1158	-0.16755193219940948
mean_skew	[1.0,1.5)	non-cCRE	ULTRARARE	54755	54718	12273.837	15621.217309	54218	-14820.679971771084	77307.722808648	493	2530	816	-0.2733534983173685
mean_skew	[1.0,1.5)	pELS	COMMON	288	288	71.59	90.03681	286	-65.1219991573598	860.4335176488872	16	100	85	-0.22769929775300626
mean_skew	[1.0,1.5)	pELS	LOW_FREQ	332	332	96.798	139.037644	330	-28.5700004105456	797.1893730823863	18	93	83	-0.08657575881983515
mean_skew	[1.0,1.5)	pELS	RARE	868	865	263.495	367.393613	867	76.68899989419154	2670.043366989671	65	245	256	0.08845328707519208
mean_skew	[1.0,1.5)	pELS	SINGLETON	7911	7898	1033.057	455.183707	7906	1637.9720032333869	25825.150046981333	679	2216	2169	0.20718087569357285
mean_skew	[1.0,1.5)	pELS	ULTRARARE	5245	5232	1173.713	1278.465123	5238	699.9080001403348	17853.46840925097	444	1465	1437	0.13362122950369126
mean_skew	[1.5,Inf)	PLS	COMMON	16	16	1.925	0.288453	16	-0.24799990281463452	43.92998442528132	2	6	5	NA
mean_skew	[1.5,Inf)	PLS	LOW_FREQ	16	16	4.648	6.207184	16	8.822999998927125	80.87810212638583	1	6	5	NA
mean_skew	[1.5,Inf)	PLS	RARE	41	41	6.938	4.903738	41	4.538999827578673	111.06714896954972	3	12	18	NA
mean_skew	[1.5,Inf)	PLS	SINGLETON	460	459	62.828	20.88304	460	373.41800199635327	2725.5941949299736	83	160	197	0.8117782652094636
mean_skew	[1.5,Inf)	PLS	ULTRARARE	288	285	54.522	42.37758	288	146.43599828076546	1912.821816518158	49	93	107	0.508458327363769
mean_skew	[1.5,Inf)	dELS	COMMON	564	564	129.374	158.077228	564	-375.6490004790248	1770.7883099048945	11	73	136	-0.6660443270904695
mean_skew	[1.5,Inf)	dELS	LOW_FREQ	477	477	139.047	210.311187	476	-156.58799921954056	928.1108188923504	9	52	82	-0.3289663849150012
mean_skew	[1.5,Inf)	dELS	RARE	1200	1200	371.463	570.349057	1199	-315.45300056668924	2956.441506982101	46	96	212	-0.2630967477620427
mean_skew	[1.5,Inf)	dELS	SINGLETON	11399	11396	1423.16	630.744588	11380	-1127.787994269747	25082.220809669292	458	1137	1920	-0.09910263570032926
mean_skew	[1.5,Inf)	dELS	ULTRARARE	7342	7339	1762.087	2244.270961	7330	-1213.9549996785356	17923.426619459624	286	687	1283	-0.16561459750048235
mean_skew	[1.5,Inf)	non-cCRE	COMMON	1329	1329	181.165	122.781197	1320	-1240.1490015641325	3728.893745636863	4	71	17	-0.939506819366767
mean_skew	[1.5,Inf)	non-cCRE	LOW_FREQ	1121	1121	200.341	208.656721	1110	-640.1079995399341	2277.1352215463394	5	47	13	-0.5766738734594001
mean_skew	[1.5,Inf)	non-cCRE	RARE	2891	2890	501.207	519.762681	2860	-1273.0359989127612	4819.273140625241	17	129	39	-0.4451174821373291
mean_skew	[1.5,Inf)	non-cCRE	SINGLETON	21931	21920	2580.641	674.280863	21732	-4792.752991423475	28382.822058672104	228	912	325	-0.22053897438907946
mean_skew	[1.5,Inf)	non-cCRE	ULTRARARE	15077	15070	2391.536	1846.754206	14925	-4703.33599647577	22425.45295402942	117	626	200	-0.31513139004862784
mean_skew	[1.5,Inf)	pELS	COMMON	82	82	17.433	19.916983	82	-49.929000835865736	354.50917994797396	5	26	22	-0.6088902540959236
mean_skew	[1.5,Inf)	pELS	LOW_FREQ	73	73	8.671	1.272767	73	-4.769999593496324	184.0286518803714	4	22	12	-0.06534246018488116
mean_skew	[1.5,Inf)	pELS	RARE	230	229	51.429	67.369317	230	37.29400061501656	705.4394349450364	17	66	50	0.16214782876094155
mean_skew	[1.5,Inf)	pELS	SINGLETON	2328	2323	308.555	124.246885	2325	502.27600275713496	7003.629336563182	192	640	644	0.2160326893579075
mean_skew	[1.5,Inf)	pELS	ULTRARARE	1552	1544	289.828	245.218642	1550	290.3219993892127	4981.667743339727	150	447	431	0.18730451573497592
