skew_type	skew_bin	ccre_class	mut_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	total	prop
HepG2_skew	[-0.2,-0.05)	pELS	CpG transition	373279	373279	558984.62	1096030.038916	372824	-228880.820937141	1283793.3673422164	12795	92499	83857	1987274	0.1878346921461258
HepG2_skew	[-0.2,-0.05)	pELS	non-CpG transition	879090	879090	126444.618	22932.170856	878270	282754.4499710128	2370068.652280529	68403	205969	173562	1987274	0.44235973499376535
HepG2_skew	[-0.2,-0.05)	pELS	non-CpG transversion	734905	734905	50674.23	7193.682576	733899	134771.28197255824	2097561.0060535604	53334	180115	159200	1987274	0.3698055728601089
HepG2_skew	[-0.5,-0.2)	PLS	CpG transition	27250	27250	24014.407	38349.735245	27231	17391.683988584442	205084.52519604622	5418	9894	14841	145336	0.18749655969615237
HepG2_skew	[-0.5,-0.2)	PLS	non-CpG transition	53705	53705	8826.979	1849.853609	53674	80288.74196349121	511787.7694340072	15625	19606	27299	145336	0.3695230362745638
HepG2_skew	[-0.5,-0.2)	PLS	non-CpG transversion	64381	64381	5297.119	796.147299	64319	77367.7929747716	546926.4920883557	16506	24097	34861	145336	0.44298040402928385
HepG2_skew	[-0.5,-0.2)	dELS	CpG transition	545259	545259	1118299.932	2512972.6789059998	544259	-469304.1070019143	2003753.1071170429	11545	57770	132270	2548981	0.21391253995223974
HepG2_skew	[-0.5,-0.2)	dELS	non-CpG transition	1053650	1053650	159575.077	32153.415909	1052168	261010.12581582656	2729013.3355690097	73545	94766	243945	2548981	0.41336126083325064
HepG2_skew	[-0.5,-0.2)	dELS	non-CpG transversion	950072	950072	62033.144	8534.146342	948247	104371.07196348946	2535283.2225859263	58988	87730	223170	2548981	0.37272619921450967
HepG2_skew	[-0.5,-0.2)	non-cCRE	CpG transition	1193368	1193368	2647605.631	6268941.434799	1185343	-1080215.7670888854	3218815.573239527	5286	55051	19190	5195580	0.2296890818734386
HepG2_skew	[-0.5,-0.2)	non-cCRE	non-CpG transition	2020149	2020149	315725.079	68244.253759	2001294	-74277.91564078839	2332548.0413990594	35696	72224	32654	5195580	0.3888206898941023
HepG2_skew	[-0.5,-0.2)	non-cCRE	non-CpG transversion	1982063	1982063	132291.328	19344.457202	1955306	-231597.84643759803	2521257.184414472	31445	71140	33888	5195580	0.38149022823245915
HepG2_skew	[-0.5,-0.2)	pELS	CpG transition	89214	89214	134336.28	268593.140222	89109	-43831.62497324556	343241.6944413385	4533	23244	27043	431976	0.20652536252014
HepG2_skew	[-0.5,-0.2)	pELS	non-CpG transition	171477	171477	26893.273	5487.853229	171288	93697.30198824972	682744.3071967318	20477	44306	53262	431976	0.3969595533085171
HepG2_skew	[-0.5,-0.2)	pELS	non-CpG transversion	171285	171285	12597.937	1918.242757	170988	65458.75899821217	671491.7110905701	18545	46434	56503	431976	0.39651508417134285
HepG2_skew	[-1.0,-0.5)	PLS	CpG transition	8999	8999	8354.64	13794.780434	8996	13571.593005467903	112294.9606065674	2830	3416	5513	42538	0.2115520240725939
HepG2_skew	[-1.0,-0.5)	PLS	non-CpG transition	15135	15135	2594.721	601.187157	15129	37875.26899894222	235153.2238099765	6625	5656	9255	42538	0.3557995204287931
HepG2_skew	[-1.0,-0.5)	PLS	non-CpG transversion	18404	18404	1390.604	172.763582	18392	37670.472976782825	241406.17859822657	6929	7136	11433	42538	0.432648455498613
HepG2_skew	[-1.0,-0.5)	dELS	CpG transition	151464	151464	314478.61699999997	715171.248795	151216	-121022.46199176928	581087.0051674129	4220	16261	50663	606978	0.24953787451934006
HepG2_skew	[-1.0,-0.5)	dELS	non-CpG transition	239321	239321	37250.169	8027.201335	238948	101821.55688981258	868951.0966827724	23581	22684	81384	606978	0.3942828240891762
HepG2_skew	[-1.0,-0.5)	dELS	non-CpG transversion	216193	216193	13560.567	1579.869901	215736	44126.883986490095	705930.4971491552	16966	21120	74188	606978	0.35617930139148374
HepG2_skew	[-1.0,-0.5)	non-cCRE	CpG transition	261494	261494	595803.2559999999	1446187.322756	260018	-238897.77280167514	728427.7704452327	1260	12463	5659	911429	0.2869055077246829
HepG2_skew	[-1.0,-0.5)	non-cCRE	non-CpG transition	332542	332542	56254.966	13475.345272	329208	-10647.558912888282	397447.52127173386	5831	12947	7686	911429	0.3648578221671683
HepG2_skew	[-1.0,-0.5)	non-cCRE	non-CpG transversion	317393	317393	20093.921	2300.351129	313638	-45632.98587289825	426439.81618279166	4787	13678	7768	911429	0.34823667010814885
HepG2_skew	[-1.0,-0.5)	pELS	CpG transition	23429	23429	36496.55	74296.174666	23405	-7669.325997173441	112331.57822214648	1755	6166	9084	98305	0.23832968821524847
HepG2_skew	[-1.0,-0.5)	pELS	non-CpG transition	37061	37061	6000.97	1326.156826	37014	33612.77898899956	233504.3967091975	6622	9848	15416	98305	0.37700015258633846
HepG2_skew	[-1.0,-0.5)	pELS	non-CpG transversion	37815	37815	2618.167	326.825361	37728	25592.882000824673	211738.73965055693	5819	10609	16254	98305	0.3846701591984131
HepG2_skew	[-1.5,-1.0)	PLS	CpG transition	2039	2039	2081.986	3660.690502	2038	4678.838999157772	36541.17537753731	860	778	1350	8531	0.23901066697925213
HepG2_skew	[-1.5,-1.0)	PLS	non-CpG transition	3034	3034	490.161	103.669335	3029	9832.138990485457	63638.60512938555	1623	1149	1986	8531	0.3556441214394561
HepG2_skew	[-1.5,-1.0)	PLS	non-CpG transversion	3458	3458	247.572	27.846172	3455	9841.21698895155	65195.375537356165	1697	1347	2279	8531	0.4053452115812918
HepG2_skew	[-1.5,-1.0)	dELS	CpG transition	32119	32119	69348.79	162760.194644	32078	-23457.30599665013	118946.63928818624	1028	3460	11307	115626	0.2777835434936779
HepG2_skew	[-1.5,-1.0)	dELS	non-CpG transition	44599	44599	6793.552	1425.142538	44521	22612.39297914761	171440.05205358827	4707	4189	18604	115626	0.3857177451438258
HepG2_skew	[-1.5,-1.0)	dELS	non-CpG transversion	38908	38908	2252.296	218.366512	38832	8328.343005842762	131146.66943238364	3147	3726	15975	115626	0.3364987113624963
HepG2_skew	[-1.5,-1.0)	non-cCRE	CpG transition	71843	71843	167940.163	415975.761493	71565	-63165.759923918755	187245.394408184	328	3498	1262	196409	0.3657826270690243
HepG2_skew	[-1.5,-1.0)	non-cCRE	non-CpG transition	64642	64642	10880.958	2390.9989020000003	63940	1135.7240338319675	58907.3065919874	888	2738	1420	196409	0.32911933770855717
HepG2_skew	[-1.5,-1.0)	non-cCRE	non-CpG transversion	59924	59924	3482.129	338.060827	59294	-9621.453955661857	74638.72425638439	729	2726	1401	196409	0.3050980352224185
HepG2_skew	[-1.5,-1.0)	pELS	CpG transition	4806	4806	7999.981	16874.965464999997	4803	-1023.7859917652088	26885.548966864502	438	1209	1852	17805	0.2699241786015164
HepG2_skew	[-1.5,-1.0)	pELS	non-CpG transition	6587	6587	1028.215	214.967907	6579	7453.477010156145	48744.81684770235	1356	1780	3116	17805	0.36995226060095476
HepG2_skew	[-1.5,-1.0)	pELS	non-CpG transversion	6412	6412	401.268	39.160222	6400	5461.2150007321015	43079.96689783286	1154	1781	3135	17805	0.3601235607975288
HepG2_skew	[0.05,0.2)	PLS	CpG transition	27571	27571	21285.468999999997	29527.538747000002	27554	-2229.5919947759216	147539.94282497853	2995	10233	13592	313005	0.08808485487452278
HepG2_skew	[0.05,0.2)	PLS	non-CpG transition	146873	146873	21959.854	4487.091954	146779	45365.30197022484	763940.222960041	19015	48694	48060	313005	0.46923531572978067
HepG2_skew	[0.05,0.2)	PLS	non-CpG transversion	138561	138561	10127.471	1277.361951	138434	43531.11896559399	726256.1322188275	18174	48910	53067	313005	0.44267982939569656
HepG2_skew	[0.05,0.2)	dELS	CpG transition	533923	533923	991857.762	2019999.894708	533053	-450224.4849330344	1945353.861906484	10934	54420	87196	11411880	0.04678659432100583
HepG2_skew	[0.05,0.2)	dELS	non-CpG transition	6560393	6560393	1056651.137	251541.129547	6552612	-545749.9383071959	15598185.872033045	288674	493150	740911	11411880	0.5748739909638027
HepG2_skew	[0.05,0.2)	dELS	non-CpG transversion	4317564	4317564	243349.733	24350.848515	4310530	377605.0386695024	9590514.889811205	221351	335338	515117	11411880	0.37833941471519156
HepG2_skew	[0.05,0.2)	non-cCRE	CpG transition	1586824	1586824	3280694.123	7227744.688653001	1573317	-1299259.7321048516	3993528.8309434415	9094	66011	17276	47304594	0.033544818078345626
HepG2_skew	[0.05,0.2)	non-cCRE	non-CpG transition	26701674	26701674	4409550.552999989	1050721.0308650003	26430596	-4163585.4354501497	33518269.524043266	335485	705527	141607	47304594	0.5644625974382108
HepG2_skew	[0.05,0.2)	non-cCRE	non-CpG transversion	19016096	19016096	1163659.285000001	137521.98306099986	18751049	-1518786.890914007	20714488.83151599	263131	506515	108455	47304594	0.4019925844834436
HepG2_skew	[0.05,0.2)	pELS	CpG transition	96368	96368	126550.7	226697.599906	96254	-56216.23499228933	341189.72697469936	3691	25722	23650	1734318	0.05556535767950284
