skew_type	skew_bin	ccre_class	cell_line	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	phyloP_mean	phyloP_var	phyloP_se	phyloP_lci	phyloP_uci	frac_conserved	frac_conserved_se	frac_conserved_lci	frac_conserved_uci	skew_cell	matched
HepG2_skew	(-Inf,-1.5)	Inactive cCRE	HepG2	46665	46664	43286.092	95374.038482	46577	-7745.196003582099	152948.66438562964	2490	4198	15310	-0.166287996298218	3.256199142503801	0.008361221383653708	-0.18267599021017927	-0.14990000238625673	0.05345986216372888	0.0010423118578838373	0.05141693092227656	0.0555027934051812	HepG2	Matched
HepG2_skew	(-Inf,-1.5)	Inactive cCRE	K562	45979	45977	41598.719	91942.834965	45895	-6424.996009830271	150891.2267162845	2612	3982	15226	-0.13999337639896003	3.268221768238081	0.008438651895023495	-0.15653313411320607	-0.12345361868471398	0.056912517703453534	0.0010814269848725716	0.054792920813103295	0.059032114593803774	HepG2	Mismatched
HepG2_skew	(-Inf,-1.5)	Inactive cCRE	SK-N-SH	49639	49637	43886.635	96356.768959	49550	-5908.33600357885	161112.88459422986	2871	4505	17676	-0.11923987898241876	3.237368570993878	0.008083030986532262	-0.135082619716022	-0.10339713824881554	0.057941473259334006	0.0010495711385568208	0.055884313827762634	0.05999863269090538	HepG2	Mismatched
HepG2_skew	(-Inf,-1.5)	Other cCREs	HepG2	3274	3273	1474.054	2683.117024	3270	2080.106996647199	17983.611831668906	486	445	2195	0.6361183475985318	5.096487490404878	0.039478587431254944	0.5587403162332721	0.7134963789637915	0.14862385321100918	0.006220583457588208	0.1364315096341363	0.16081619678788206	HepG2	Matched
HepG2_skew	(-Inf,-1.5)	Other cCREs	K562	3584	3584	2374.578	4508.532396	3574	1362.774000875885	18191.421102522167	448	550	2146	0.3813021826737227	4.945925665126557	0.03720030651776709	0.3083895818988992	0.45421478344854616	0.12534974818130945	0.0055386213007170395	0.11449405043190405	0.13620544593071485	HepG2	Mismatched
HepG2_skew	(-Inf,-1.5)	Other cCREs	SK-N-SH	2448	2448	1727.958	3252.037018	2443	1331.4570019737594	16332.270856570003	409	532	1303	0.5450090061292506	6.390915151195927	0.05114695605678518	0.4447609722579517	0.6452570400005496	0.16741711011051985	0.007553564253513258	0.15261212417363387	0.18222209604740583	HepG2	Mismatched
HepG2_skew	(-Inf,-1.5)	PLS	HepG2	1268	1268	273.982	187.919318	1267	5325.213008336724	36961.773275302374	822	569	945	4.203009477771684	11.516471192819955	0.09533917847612249	4.016144687958485	4.389874267584884	0.648776637726914	0.013410685936602685	0.6224916932911727	0.6750615821626552	HepG2	Matched
HepG2_skew	(-Inf,-1.5)	PLS	K562	1329	1329	314.389	234.131225	1328	5261.099003288081	36754.20230557704	820	569	978	3.961670936210904	11.990549579293512	0.09502119920134021	3.7754293857762775	4.147912486645531	0.6174698795180723	0.013336493873197202	0.5913303515266057	0.6436094075095389	HepG2	Mismatched
HepG2_skew	(-Inf,-1.5)	PLS	SK-N-SH	1294	1294	243.986	100.02601	1293	5711.628005678415	39736.17718108912	878	572	959	4.417345712048272	11.22750905680399	0.09318423508331151	4.2347046112849815	4.599986812811562	0.6790409899458624	0.012982954019217823	0.6535944000681955	0.7044875798235293	HepG2	Mismatched
HepG2_skew	(-Inf,-1.5)	dELS	HepG2	2496	2496	1030.68	1780.675364	2496	2635.4389969548206	18231.20871608076	562	414	1724	1.0558649827543352	6.191799985976335	0.04980651661123921	0.9582442101963063	1.153485755312364	0.22516025641025642	0.00836044744423156	0.20877377941956254	0.2415467334009503	HepG2	Matched
