skew_type	skew_bin	ccre_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	phyloP_mean	phyloP_var	phyloP_se	phyloP_lci	phyloP_uci
HepG2_skew	[-1.0,-0.5)	PLS	42560	42538	12339.965	14568.731173	42539	89107.824981277	589013.5641234501	16384	16224	26207	2.0947324803422034	9.458754734179339	0.014911569052570097	2.065505804999166	2.123959155685241
HepG2_skew	[-1.0,-0.5)	dELS	607068	606978	365289.353	724778.3200310001	605985	24884.189884230847	2156107.4523736625	44767	60079	206261	0.04106403604747782	3.5563407731940844	0.002422538832587842	0.03631585993560565	0.04581221215934999
HepG2_skew	[-1.0,-0.5)	non-cCRE	911804	911429	672152.143	1461963.019157	903155	-295266.67158789205	1552838.0391167442	11886	39111	21118	-0.32692801522207376	1.6124681861712253	0.0013361783545426744	-0.3295469247969774	-0.32430910564717014
HepG2_skew	[-1.0,-0.5)	pELS	98380	98305	45115.687	75949.156853	98220	51529.66399284254	557783.6095665351	14201	26646	40761	0.5246351455186575	5.403733868183576	0.007417319919009589	0.5100971984773988	0.5391730925599163
HepG2_skew	[-1.5,-1.0)	Other cCREs	36763	36759	26085.195	56710.232265	36489	-8964.862981725835	69128.18781115487	779	1519	5706	-0.24568672700610691	1.8341821959854319	0.007089902389072813	-0.2595829356886896	-0.2317905183235242
HepG2_skew	[-1.5,-1.0)	PLS	8533	8531	2819.719	3792.206009	8524	24357.590978622433	165390.86661443842	4181	3274	5615	2.857530616919572	11.23880143595223	0.03631100578025033	2.786361045590281	2.928700188248863
HepG2_skew	[-1.5,-1.0)	dELS	115633	115626	78394.638	164403.703694	115438	7485.477988370454	421534.4915281907	8882	11375	45888	0.06484414134314917	3.647436282435369	0.005621076035990082	0.05382683231260861	0.07586145037368973
HepG2_skew	[-1.5,-1.0)	non-cCRE	196483	196409	182303.25	418704.821222	194869	-71677.06684605747	320880.3789169809	1945	8970	4083	-0.3678218025753581	1.5113614907852988	0.002784920473230724	-0.37328024670289034	-0.3623633584478259
HepG2_skew	[-1.5,-1.0)	pELS	17814	17805	9429.464	17129.093593999998	17791	11886.3620190227	118719.3849749082	2948	4770	8103	0.6681109560464673	6.226980117058153	0.018708482398233098	0.6314423305459305	0.7047795815470042
HepG2_skew	[0.05,0.2)	Other cCREs	4263211	4259804	845875.591	853715.143595	4241014	-467398.3634650633	6901308.528366686	107036	141902	188588	-0.11020910646959979	1.6151322743796939	6.171193934980271e-4	-0.11141866048085593	-0.10899955245834365
