Term	Rank	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Neutrophil Degranulation	321	0.602169902902225	0.619053171207895	0	0	1.10268948655257	0.559301356684608	PSMD12
Cell Cycle, Mitotic	322	0.626756103657426	0.642327683872518	0	0	1.03025680142385	0.48133371457066	PSMD12
Signaling by Receptor Tyrosine Kinases	323	0.64095528482482	0.654845956632169	0	0	0.990638766519824	0.440631747655298	STAM2
GPCR Downstream Signalling	324	0.716395311656691	0.729661891502185	0	0	0.802313983642529	0.267590289621917	GNG4
Metabolism of RNA	325	0.74012988851513	0.751516502184594	0	0	0.749299719887955	0.225486452372425	PSMD12
Immune System	326	0.745484633457383	0.754631684174652	0	0	0.772653610095855	0.226944403555663	PSMD12;KIF26A;PELI2
Metabolism of Proteins	327	0.761452908349486	0.768438714848105	0	0	0.751008403361345	0.204670028994089	PSMD12;GNG4;STAM2
Cellular Responses to Stress	328	0.765743886968001	0.770413057010489	0	0	0.694661458333333	0.185410364558992	PSMD12
Post-translational Protein Modification	329	0.776759000121627	0.77911996972686	0	0	0.704380647375043	0.17794426238934	PSMD12;STAM2
Viral Infection Pathways	330	0.780423257432296	0.780423257432296	0	0	0.664379574184963	0.164712232445502	PSMD12
