Term	Rank	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
cGMP Metabolic Process (GO:0046068)	45	0.0219652360171865	0.127232593533514	0	0	51.3456790123457	196.052911267065	NPPB
Positive Regulation of Hemostasis (GO:1900048)	46	0.0219652360171865	0.127232593533514	0	0	51.3456790123457	196.052911267065	EMILIN2
Regulation of Short-Term Neuronal Synaptic Plasticity (GO:0048172)	47	0.0219652360171865	0.127232593533514	0	0	51.3456790123457	196.052911267065	SHISA6
Positive Regulation of Lipid Localization (GO:1905954)	48	0.0219652360171865	0.127232593533514	0	0	51.3456790123457	196.052911267065	PLA2G10
Fatty Acid Transmembrane Transport (GO:1902001)	49	0.0219652360171865	0.127232593533514	0	0	51.3456790123457	196.052911267065	CPT1A
Actin Crosslink Formation (GO:0051764)	50	0.0219652360171865	0.127232593533514	0	0	51.3456790123457	196.052911267065	BAIAP2L1
Motor Neuron Axon Guidance (GO:0008045)	51	0.0219652360171865	0.127232593533514	0	0	51.3456790123457	196.052911267065	SEMA3A
Myelination in Peripheral Nervous System (GO:0022011)	52	0.0219652360171865	0.127232593533514	0	0	51.3456790123457	196.052911267065	NCMAP
Negative Regulation of Systemic Arterial Blood Pressure (GO:0003085)	53	0.0219652360171865	0.127232593533514	0	0	51.3456790123457	196.052911267065	NPPB
Negative Regulation of Cell Growth (GO:0030308)	54	0.02345832828452	0.128168200887119	0	0	9.00136054421769	33.7778727503164	NPPB;GNG4
Regulation of Tube Diameter (GO:0035296)	55	0.0241357702351562	0.128168200887119	0	0	46.2083333333333	172.082619546188	NPPB
N-terminal Protein Amino Acid Modification (GO:0031365)	56	0.0241357702351562	0.128168200887119	0	0	46.2083333333333	172.082619546188	NTMT2
Vascular Process in Circulatory System (GO:0003018)	57	0.0241357702351562	0.128168200887119	0	0	46.2083333333333	172.082619546188	NPPB
Positive Regulation of Defense Response (GO:0031349)	58	0.0246961263169161	0.128168200887119	0	0	8.74973544973545	32.3837235437337	CPT1A;EMILIN2
Low-Density Lipoprotein Particle Remodeling (GO:0034374)	59	0.0263016177716238	0.128168200887119	0	0	42.0050505050505	152.819617205195	PLA2G10
Mitotic intra-S DNA Damage Checkpoint Signaling (GO:0031573)	60	0.0263016177716238	0.128168200887119	0	0	42.0050505050505	152.819617205195	TIPIN
Regulation of Acrosome Reaction (GO:0060046)	61	0.0263016177716238	0.128168200887119	0	0	42.0050505050505	152.819617205195	PLA2G10
Positive Regulation of Coagulation (GO:0050820)	62	0.0263016177716238	0.128168200887119	0	0	42.0050505050505	152.819617205195	EMILIN2
Body Fluid Secretion (GO:0007589)	63	0.0263016177716238	0.128168200887119	0	0	42.0050505050505	152.819617205195	NPPB
Neuron Projection Guidance (GO:0097485)	64	0.0281246547614768	0.130419045378781	0	0	8.1423645320197	29.0772687674104	SEMA3A;PLA2G10
Positive Regulation of Homotypic Cell-Cell Adhesion (GO:0034112)	65	0.0284627884051411	0.130419045378781	0	0	38.5023148148148	137.035810812051	EMILIN2
Positive Regulation of Myelination (GO:0031643)	66	0.0284627884051411	0.130419045378781	0	0	38.5023148148148	137.035810812051	NCMAP
Positive Regulation of Dendrite Morphogenesis (GO:0050775)	67	0.0284627884051411	0.130419045378781	0	0	38.5023148148148	137.035810812051	SS18L1
Sympathetic Nervous System Development (GO:0048485)	68	0.0306192919188774	0.130557258598547	0	0	35.5384615384615	123.891519721616	SEMA3A
Regulation of Leukocyte Activation (GO:0002694)	69	0.0306192919188774	0.130557258598547	0	0	35.5384615384615	123.891519721616	PLA2G10
Regulation of DNA-templated DNA Replication (GO:0090329)	70	0.0306192919188774	0.130557258598547	0	0	35.5384615384615	123.891519721616	TIPIN
Positive Regulation of Secretion (GO:0051047)	71	0.0306192919188774	0.130557258598547	0	0	35.5384615384615	123.891519721616	NPPB
Secretion (GO:0046903)	72	0.0306192919188774	0.130557258598547	0	0	35.5384615384615	123.891519721616	NPPB
Carbohydrate Derivative Transport (GO:1901264)	73	0.0327711380685418	0.130658953078472	0	0	32.9980158730159	112.79405174373	PLA2G10
DNA Replication Checkpoint Signaling (GO:0000076)	74	0.0327711380685418	0.130658953078472	0	0	32.9980158730159	112.79405174373	TIPIN
Positive Regulation of Lipid Storage (GO:0010884)	75	0.0327711380685418	0.130658953078472	0	0	32.9980158730159	112.79405174373	PLA2G10
Prot Transport to Vacuole Inv in Ub-dep Prot Cat Proc via Multivsiclr Bdy Sorting Pway (GO:0043328)	76	0.0327711380685418	0.130658953078472	0	0	32.9980158730159	112.79405174373	STAM2
Negative Regulation of Blood Pressure (GO:0045776)	77	0.0327711380685418	0.130658953078472	0	0	32.9980158730159	112.79405174373	NPPB
Intracellular Lipid Transport (GO:0032365)	78	0.0349183366004553	0.134439242300976	0	0	30.7962962962963	103.313665083994	CPT1A
