Term	Rank	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Wnt Signaling Pathway (GO:0016055)	37	0.0131877993675954	0.385654024749683	0	0	4.64496957690675	20.1055797261416	NR4A2;WNT9B;WNT1;WNT4
Ureteric Bud Development (GO:0001657)	38	0.0146469497504694	0.406179247925813	0	0	12.1931902294597	51.4982214912666	TCF21;BMP7
Epithelial to Mesenchymal Transition (GO:0001837)	39	0.0155715111669919	0.406179247925813	0	0	6.11793154761905	25.464741373437	TASOR;BMP7;WNT4
Actin Nucleation (GO:0045010)	40	0.0164735162879191	0.406179247925813	0	0	11.3796200345423	46.7247342120492	MAGEL2;JMY
Pharyngeal System Development (GO:0060037)	41	0.0164735162879191	0.406179247925813	0	0	11.3796200345423	46.7247342120492	FOXI3;BMP7
poly(A)+ mRNA Export From Nucleus (GO:0016973)	42	0.0164735162879191	0.406179247925813	0	0	11.3796200345423	46.7247342120492	ZC3H11C;ZC3H11B
Positive Regulation of mRNA Processing (GO:0050685)	43	0.0164735162879191	0.406179247925813	0	0	11.3796200345423	46.7247342120492	DAZAP1;TRA2B
Negative Regulation of Small GTPase Mediated Signal Transduction (GO:0051058)	44	0.0165174555533602	0.406179247925813	0	0	5.97529069767442	24.5186346617318	SYNGAP1;SPRY1;SCAI
Positive Regulation of miRNA Metabolic Process (GO:2000630)	45	0.0174949839621911	0.415246432947362	0	0	5.83913352272727	23.6242062187108	EGR1;MYCN;MYB
Adrenergic Receptor Signaling Pathway (GO:0071875)	46	0.0183917679610058	0.415246432947362	0	0	10.6677461139896	42.6267357961392	ADRA1D;DRD1
Myeloid Cell Differentiation (GO:0030099)	47	0.0195450873197366	0.415246432947362	0	0	5.58457880434783	21.9754924601209	MYB;HCLS1;KLF1
Positive Regulation of Embryonic Development (GO:0040019)	48	0.020399334744755	0.415246432947362	0	0	10.0396220664432	39.0767489987015	WNT1;WNT4
Positive Regulation of Cell Junction Assembly (GO:1901890)	49	0.0206177678534193	0.415246432947362	0	0	5.46542553191489	21.2146069913488	CLSTN2;SLITRK6;DSG3
Multicellular Organismal-Level Water Homeostasis (GO:0050891)	50	0.022493888985327	0.415246432947362	0	0	9.48128957973518	35.9768633626107	AQP4;PRKACB
Regulation of Actin Polymerization or Depolymerization (GO:0008064)	51	0.022493888985327	0.415246432947362	0	0	9.48128957973518	35.9768633626107	SYNGAP1;HCLS1
Nervous System Development (GO:0007399)	52	0.0226204656533766	0.415246432947362	0	0	2.17391891891892	8.23676187578877	ZEB1;SLITRK6;SPOCK1;NRTN;NPTX1;JRKL;DRD1;SLC25A23;RAPGEF5;DCLK1
Regulation of Primary Metabolic Process (GO:0080090)	53	0.0227976951916698	0.415246432947362	0	0	3.9026653974298	14.7563518843666	TAF12;ESRP2;TRA2B;ADGRF5
Antigen Receptor-Mediated Signaling Pathway (GO:0050851)	54	0.0244422315319169	0.415246432947362	0	0	3.81547411285631	14.1609140861556	CD79B;NFATC2;SLA2;LAX1
Renal System Development (GO:0072001)	55	0.0252265111816061	0.415246432947362	0	0	5.03553921568627	18.5300783635838	GREB1L;TCF21;WNT4
Intracellular Signaling Cassette (GO:0141124)	56	0.0258847763843656	0.415246432947362	0	0	2.35628796973335	8.61011250045556	CEBPD;PDE4C;CCR9;DEFB124;NRTN;NYAP2;RAPGEF5;PIK3CG
Endocrine System Development (GO:0035270)	57	0.0269348572335764	0.415246432947362	0	0	8.53212435233161	30.8379473373962	FOXI3;WNT4
Hepaticobiliary System Development (GO:0061008)	58	0.0269348572335764	0.415246432947362	0	0	8.53212435233161	30.8379473373962	PHF2;WNT4
Positive Regulation of GTPase Activity (GO:0043547)	59	0.0327163579998424	0.415246432947362	0	0	3.46670897456238	11.8557289705189	ARHGAP11A;RGS8;SLC25A23;RGS6
Negative Regulation of Mitotic Cell Cycle (GO:0045930)	60	0.0341928889547761	0.415246432947362	0	0	7.41788691146655	25.0408396248172	BTG3;BMP7
Cellular Response to Hexose Stimulus (GO:0071331)	61	0.0341928889547761	0.415246432947362	0	0	7.41788691146655	25.0408396248172	LIN28A;TRA2B
Positive Regulation of RNA Splicing (GO:0033120)	62	0.0341928889547761	0.415246432947362	0	0	7.41788691146655	25.0408396248172	DAZAP1;TRA2B
Positive Regulation of Interleukin-12 Production (GO:0032735)	63	0.0341928889547761	0.415246432947362	0	0	7.41788691146655	25.0408396248172	DEFB124;LTB
Regulation of Cell Morphogenesis (GO:0022604)	64	0.0341928889547761	0.415246432947362	0	0	7.41788691146655	25.0408396248172	MACF1;ZMYM4
Fat Cell Differentiation (GO:0045444)	65	0.0345117093761601	0.415246432947362	0	0	4.42591594827586	14.8996540007992	NR4A2;AKT2;ADGRF5
Cellular Response to Histamine (GO:0071420)	66	0.0346612751312726	0.415246432947362	0	0	42.4871134020619	142.847292294753	DIAPH1
Sphingomyelin Biosynthetic Process (GO:0006686)	67	0.0346612751312726	0.415246432947362	0	0	42.4871134020619	142.847292294753	SGMS1
Thrombopoietin-Mediated Signaling Pathway (GO:0038163)	68	0.0346612751312726	0.415246432947362	0	0	42.4871134020619	142.847292294753	MPL
Positive Regulation of DNA-templated Transcription (GO:0045893)	69	0.0348438790167642	0.415246432947362	0	0	1.61913523459062	5.43523911637659	KCNH2;EGR1;TAF12;TCF21;NFATC2;ESRRG;PRDM11;BMP7;KLF1;NR4A2;MYCN;KLF5;TLX2;TFEC;MYB;HCLS1;TASP1;EPC2;WNT1;WNT4
B Cell Receptor Signaling Pathway (GO:0050853)	70	0.036762778913826	0.415246432947362	0	0	7.10837651122625	23.4808825294724	CD79B;NFATC2
Negative Regulation of Cell Adhesion (GO:0007162)	71	0.0389609373960336	0.415246432947362	0	0	4.20747950819672	13.6540945762387	SYNGAP1;SPOCK1;WNT1
Negative Regulation of Smooth Muscle Cell Proliferation (GO:0048662)	72	0.0394044953298167	0.415246432947362	0	0	6.82362694300518	22.0667591359035	EFEMP2;PTGIR
Positive Regulation of Synapse Assembly (GO:0051965)	73	0.0394044953298167	0.415246432947362	0	0	6.82362694300518	22.0667591359035	CLSTN2;SLITRK6
Generation of Neurons (GO:0048699)	74	0.0417495419866544	0.415246432947362	0	0	2.73717733825008	8.69345806459621	NR4A2;WNT9B;SPOCK1;WNT1;WNT4
Negative Regulation of Developmental Growth (GO:0048640)	75	0.0421160266679941	0.415246432947362	0	0	6.56078118772419	20.7801389363019	MAG;MYOZ1
Skeletal Muscle Organ Development (GO:0060538)	76	0.0421160266679941	0.415246432947362	0	0	6.56078118772419	20.7801389363019	TCF21;MYOZ1
Regulation of Ras Protein Signal Transduction (GO:0046578)	77	0.0421160266679941	0.415246432947362	0	0	6.56078118772419	20.7801389363019	SYNGAP1;SPRY1
Neuron Differentiation (GO:0030182)	78	0.0426793489008083	0.415246432947362	0	0	2.71968687541639	8.57800148635955	NR4A2;WNT9B;SPOCK1;WNT1;WNT4
Regulation of Rho Protein Signal Transduction (GO:0035023)	79	0.0453233630287788	0.415246432947362	0	0	3.94759615384615	12.2135965871272	DOCK6;EPS8L1;SCAI
Regulation of Transcription by RNA Polymerase II (GO:0006357)	80	0.045596658496369	0.415246432947362	0	0	1.43751272977239	4.43892552139886	PHF2;MAGEL2;CEBPD;FOXI3;CTNND1;TCF21;SLA2;PRDM11;PPP1R13L;MYB;EPC2;MYOZ1;HOXC6;EGR1;TAF12;NFATC2;ESRRG;HIC1;KLF16;KLF1;NR4A2;TBX15;MYCN;ZEB1;KLF5;TLX2;TFEC;JMY;HCLS1;VGLL2;CC2D1A
Negative Regulation of Lens Fiber Cell Differentiation (GO:1902747)	81	0.0459473556322406	0.415246432947362	0	0	28.3230240549828	87.2422492043889	SPRY1
Negative Regulation of Sterol Biosynthetic Process (GO:0106119)	82	0.0459473556322406	0.415246432947362	0	0	28.3230240549828	87.2422492043889	SCAP
