Term	Rank	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Metabolism of RNA	1	3.55949969506704e-16	7.321890872752899e-13	0	0	1.99538071160008	70.9791668432001	RPL4;POP5;RPL5;RPL30;NUP107;POP7;RPL32;POP4;GPATCH1;HNRNPU;HNRNPR;PHAX;ADARB1;RPL6;ALKBH8;RPL7;RRP9;LSM10;PSMD6;LSM11;PSMD7;CLP1;PSMD2;PSMD3;AKT1;RPL37;NUP214;NUP210;RPL23;RPL22;PRKCA;GTPBP3;WDR77;NUP93;DDX39A;SARNP;RPL24;RPL29;RPL28;SLBP;NUP205;POM121;C9ORF78;RRP7A;POM121C;WDR70;GAR1;RPL41;PRPF38A;PNO1;SNUPN;HNRNPK;HNRNPF;HNRNPC;TRMU;SMG1;RPLP1;RPLP0;SMG9;SMG7;WDR46;SMG5;WDR43;SMG6;TRMT112;FASTK;RPLP2;TNKS1BP1;RIOK1;UPF1;CNOT6L;HSBP1;TEX10;NSUN6;WDR33;PSMA5;PSMA6;PSMA3;PSMA4;PSMA2;SF3B4;SF3B5;SF3B2;SF3B3;RNMT;RPL12;SF3B6;URM1;SRRT;RPS27L;PSMB7;PSMB4;PSMB5;RPS15A;PSMB2;PPP1R8;RPL14;RPS3;RPL13;RPS27A;RPL17;SF3B1;SRSF11;PAIP1;RPL19;SRSF12;SF3A3;TRMT10A;UTP6;SF3A2;TRMT10C;RIOK3;UTP3;WDR18;GTF2H4;GTF2H5;LRPPRC;ADAT2;NUDT21;XAB2;PSMC5;PHF5A;PSMC6;PSMC3;PSMC4;TRMT5;TRMT6;TSR1;RPL22L1;PDCD7;PRORP;CASC3;RPL10A;TSEN2;EDC3;THG1L;EDC4;PAPOLA;IK;SNRPN;RPS8;RPS6;THOC1;PRPF4B;RPSA;THOC5;THOC7;FTSJ3;LENG1;MAPKAPK2;SNRPG;SRSF2;SRSF3;SNRPF;SNRNP200;SNRPC;SRSF6;SNRPA;SRSF9;THADA;CHTOP;NOP14;FUS;YJU2;LSM3;LSM2;CNOT4;LSM6;CNOT1;CNOT3;EIF4G1;ISY1;NXT1;WDR3;WDR4;PPWD1;RPL7A;SART1;METTL14;NOB1;SNRNP70;BCAS2;CTNNBL1;ELAC2;PLRG1;PATL1;QTRT1;QTRT2;SKIC2;SKIC3;SYF2;RPL37A;ETF1;DNAJC8;PRCC;SRSF1;WBP4;U2AF1;FIP1L1;POLR2A;IGF2BP1;POLR2F;POLR2G;IGF2BP2;POLR2H;POLR2I;EIF4E;POLR2J;EIF4B;HNRNPA3;NOP58;PPIL1;PPIL2;RNGTT;TPRKB;CDC5L;RPL35A;RPL23A;PNRC2;SNRNP40;SNRNP48;TRMT61A;EIF4A2;LTV1;TCERG1;CCNH;RTCB;FCF1;RPS15;PNN;RPS14;RPS16;RPL18A;RPS19;PPP2R1A;RPL36AL;RPS18;SNRPD1;MAGOH;SNRPD3;RPS11;RPS10;RPS13;RPS12;SRRM2;AQR;IMP3;METTL1;METTL3;CSNK1D;CSNK1E;SRRM1;XRN2;ANP32A;DHX8;DHX9;CSTF3;CWF19L2;GSPT1;PDCD11;DHX35;PCBP2;DHX38;SYMPK;RPL39L;APOBEC3H;IGF2;SMU1;RPS25;RPS28;RPS27;SNW1;EPRS1;RPL27A;TRMT12;TRMT13;RPS20;NOL11;DCP1A;RPS21;RPS24;SUGP1;ZBTB8OS;PRPF19;TFB1M;DHX16;APOBEC1;PRMT5;APOBEC4;CTU1;PRPF18;SDE2;SLU7;DCP2;FYTTD1;HEATR1;NOL6;PPP2CA;EXOSC5;EXOSC4;EXOSC9;PES1;LCMT2;EXOSC3;DCPS;EXOSC2;RAE1;EXOSC1;RTRAF;BOP1;XPOT;FAU;NUP188;GEMIN2;RPP30;CWC25;FBL;KHSRP;CWC22;ENPP2;SNIP1;DIMT1;WBP11;PRPF4;PRPF6;PRPF3;RPP21;GEMIN7;RPP25;DDX6;DDX5;PSMD11;PSMD14;RBM8A;PSMD13;PRPF8;EMG1;ZMAT2;ZMAT5;CPSF7;CPSF6;PNPT1;CPSF1;NUP155;ALYREF;CPSF3;NUP153;CWC15;PAN2;RCL1;SEM1;RBM25;DDX49;DDX46;C2ORF49;DDX41;ELAVL1;RBM5;UTP15;NCBP1;UTP11;RPS3A;SENP3;UTP18;NUP50;LUC7L3;NUP54;TSEN34;DDX23;PARN;CSTF2T;U2AF1L4;PABPN1;NUP42;TYW1;NUP43;RPP14;SMNDC1;RBM39;MAPK14;ERCC3;NUP35;BUD13;FAM98B;RAN;NUP37
Cellular Responses to Stress	2	3.1967815363114e-15	3.2878898100962797e-12	0	0	1.9011128887619	63.4527450146624	RB1;RPL4;ATF2;RPL5;RPL30;NUP107;RPL32;EHMT2;PHB2;RPL6;RPL7;PSMD6;PSMD7;CREB3L4;PSMD2;AKT3;PSMD3;CREB3L2;AKT1;RPL37;NUP214;MED1;PRKCI;CSNK2A1;NUP210;RPL23;CSNK2A2;RPL22;NUP93;DYNC1LI1;TXNIP;RPL24;ATF5;RPL29;CLOCK;RPL28;ATF3;ASF1A;NUP205;POM121;ANAPC15;ANAPC16;MRPL18;NPRL2;NPRL3;HSPA4L;DEDD2;POM121C;PRDX1;HMOX1;SSR1;PPARGC1A;SULT1A3;CREBBP;PHC2;RPL41;WDR59;ST13;EDEM1;EIF2AK3;H1-1;H1-0;PHC3;H1-3;H1-2;H1-5;H1-4;AGO1;H2AC20;HYOU1;CDKN1A;RPLP1;RPLP0;HIF3A;AREG;RPLP2;ELOB;ELOC;RING1;MIOS;HSBP1;DYNLL1;TERF1;SIRT1;TERF2;PSMA5;NCOR2;PSMA6;PSMA3;TUBB2B;PSMA4;TUBB2A;PSMA2;RPL12;RPS27L;HSPA14;HSPA13;PSMB7;PSMB4;EXTL1;PSMB5;TUBA3C;RPS15A;PSMB2;UBN1;RPL14;RPS3;RPL13;RPS27A;EXTL3;MEF2D;RPL17;RPL19;CDKN2D;EGLN3;CDKN2B;EGLN2;SYVN1;WTIP;TUBB4A;FABP1;PSMC5;PSMC6;PSMC3;PSMC4;RPL22L1;LAMTOR2;LAMTOR1;LAMTOR4;LAMTOR3;HSPA1B;NCF1;UBE2D2;NCF4;UBE2D1;HIKESHI;RPL10A;SESN1;SCMH1;TUBB1;GRB10;NBN;MAP2K3;MAP2K4;RPS8;RPS6;UBE2E1;MUL1;RPSA;PGD;TUBA4A;MAPKAPK3;MAPKAPK2;ERF;PGR;TNIK;FKBP4;AJUBA;SQSTM1;ANAPC1;SHC1;CUL3;LY96;NRF1;NPAS2;STIP1;BAG1;SLC38A9;IGFBP7;MAP2K7;MAP2K6;ZBTB17;GFPT1;PALB2;NFKB1;CDK6;MAFG;ALB;CDK2;MDM4;MAFK;TPP1;NFE2L2;COX4I1;COX4I2;RPL7A;SIN3B;ME1;HIF1AN;HSP90AA1;GPX2;GPX3;GPX8;ARNT;GPX7;ARFGAP1;DNAJC3;CTDSP2;RPL37A;TNFRSF21;CEBPB;CEBPG;DNAJB1;FZR1;DNAJB6;RBBP4;CCL2;E2F2;DNAJB9;FNIP1;FBXL17;RPL35A;RPL23A;MTOR;DNAJA1;TNRC6C;RAD50;DNAJA4;DNAJA2;TNRC6A;TNRC6B;SLC46A1;KEAP1;NUDT2;CCAR2;RPS15;RPS14;RPS16;RPL18A;RPS19;RPL36AL;RPS18;CDC26;RPS6KA2;CDC27;RPS6KA1;ATP6V1E1;RPS11;ATP6V1E2;TRIM21;RPS10;RPS13;RPS12;ATP6V1G1;ATP6V0E1;TINF2;TALDO1;RRAGA;RRAGC;CSNK2B;RRAGD;PREB;KDELR3;TLN1;TP53;OMA1;HELZ2;APOB;ATP6V1C1;ATP6V1C2;RPL39L;XBP1;DELE1;PTK6;HSPA12A;RPS25;RPS28;RPS27;RPL27A;CDC16;ID1;CREBRF;ATM;RPS20;RPS21;RPS24;ATR;BRCA1;COX7C;HERPUD1;ACTR1A;H3-3A;COX8A;NCOA1;NCOA2;COX8C;ATP6V0B;NCOA6;MINK1;ITFG2;H2AJ;KPTN;ATP6V0C;DCP2;COX5B;EXOSC5;EXOSC4;EXOSC9;HSF1;LMNA;EXOSC3;EXOSC2;RAE1;EXOSC1;H2BC9;DYNC1H1;NFYA;IFNB1;H2BC3;NFYC;H2BC4;H2BC1;RPA1;YIF1A;CAPZA1;CAPZA2;FAU;CRTC2;CRTC3;NUP188;CRTC1;COX6A1;COX6A2;ETS1;KHSRP;SZT2;H2AC7;H2AC4;PDIA6;PDIA5;COX6B1;CCNE2;CCNE1;ATP6V1A;VCP;PSMD11;PSMD14;RPS19BP1;PSMD13;HTRA2;HIGD1A;RAI1;NLRP3;ATP6V1D;GCN1;ATP6V1F;CBX8;CBX6;NUP155;CBX4;HSPA5;CBX2;IDH1;NUP153;HSPA2;EIF2S2;EIF2S1;SEM1;IL6;UBE2S;SRPRA;GCLM;YWHAE;GSK3B;GSK3A;CXCL8;CHD9;HSPB8;LMNB1;H2BC26;H2BC21;CA9;KDM6B;ABCC1;PPP2R5B;RPS3A;H2BC12;CREB3;H2BC13;NUP50;ATP6V1B2;NUP54;ATP6V1B1;DCTN5;DCTN2;TUBAL3;ATF6B;DCTN4;DCTN3;PARN;ADD1;MAPK9;MAPK8;NUP42;NRIP1;MAPK1;NUP43;VHL;CAMK2G;MAPK3;EGF;KICS2;MAPK14;SOD2;SOD1;BMT2;NUP35;NUP37
Cell Cycle	3	1.80106588203224e-14	1.2349308397801098e-11	0	0	1.9693465938728	62.3255120568017	RB1;MDC1;NUP107;CCNH;CCP110;SMC3;SMC4;CDC20;PSMD6;PSMD7;HERC2;PPP2R1A;PSMD2;CDC26;CHEK2;AKT3;PSMD3;CDC27;AKT1;RCC1;PRKACA;GTSE1;NUP214;DAXX;CSNK2A1;NUP210;ESCO1;PRKCB;CSNK2A2;TINF2;PRKCA;CSNK1D;CSNK1E;ESCO2;EML4;NUP93;DYNC1LI1;ZW10;AKAP9;CSNK2B;KIF20A;TP53;RHNO1;PIF1;NUP205;POM121;ANAPC15;ANAPC16;CDCA5;CDCA8;NCAPG;NCAPH;SKA2;BRIP1;DSN1;CHTF8;SPAST;POM121C;PRKAR2B;FIGNL1;RAD21;CEP70;GAR1;CEP72;SFN;CEP192;ATRIP;CEP78;LYN;PLK4;CDT1;PLK1;SMARCA5;PTK6;CDC6;WAPL;ZWINT;POLA2;STAG1;RPS27;H2AC20;CDC16;ATM;FBXL7;ATR;CC2D1B;CEP57;TOP2A;LIN54;CDKN1A;AHCTF1;FEN1;PHF20;NCAPG2;RSF1;BRCA1;BRCA2;BABAM1;NIPBL;ACTR1A;ENSA;JAK2;NINL;H3-3A;RAB8A;LIN52;NDEL1;NUDC;RMI1;TUBB;TOP3A;TEX12;TUBG2;DYNLL1;TERF1;TUBG1;TERF2;PSMA5;RNF168;PSMA6;PSMA3;TUBB2B;H2AJ;PSMA4;TUBB2A;RAD51C;KIF2A;INCENP;PSMA2;KIF2C;MAPRE1;PAFAH1B1;SDCCAG8;PRIM2;LIN37;PRIM1;USO1;CENPC;PPP2CA;PSMB7;PPP2CB;PSMB4;WRN;PSMB5;TUBA3C;PSMB2;NSD2;LMNA;RPS27A;PCNT;LCMT1;RAE1;CDKN2D;H2BC9;DYNC1H1;CDKN2B;NPM1;CENPW;H2BC3;GINS4;H2BC4;H2BC1;RPA1;TUBB4A;MZT1;NEDD1;PSMC5;PSMC6;MIS18A;PSMC3;PSMC4;TAOK1;CENPK;NCAPD2;B9D2;CENPP;CENPQ;SPC24;MAD2L1;SPC25;NUP188;DSCC1;GMNN;UBE2D1;BUB1B;CDC14A;CCND3;CCND2;PTTG1;PPME1;RUVBL1;TUBB1;NEK2;OIP5;KNTC1;KMT5A;NBN;PHLDA1;PIAS4;CEP135;FKBPL;IST1;H2AC7;H2AC4;CEP131;UBE2E1;VRK1;CDC25C;LEMD3;LEMD2;CDC25A;TUBA4A;SGO1;MAU2;SHQ1;CCNE2;CCNE1;MSH4;MSH5;CHMP4C;UBE2V2;CHMP4B;AJUBA;ANAPC1;BLM;PSMD11;PSMD14;PSMD13;PKMYT1;PDS5A;PMF1;SYCE3;ORC4;CCNB2;SYCE2;CCNB1;ORC6;ORC1;ORC2;ABL1;CLSPN;NEK9;NUP155;ODF2;NEK6;NEK7;NUP153;HSPA2;SEM1;KIF18A;CDK6;UBE2S;CDK2;CHMP2B;TUBGCP5;CHMP2A;UBE2N;TUBGCP6;MDM4;TUBGCP3;TUBGCP4;RAD9A;YWHAE;GSK3B;SYCP2;MCM8;CEP164;MCM10;SYNE2;SYNE1;CKS1B;LMNB1;H2BC26;YWHAQ;EXO1;PPP2R5E;H2BC21;PPP6R3;SPDL1;CEP290;YWHAG;ZNF385A;YWHAH;SUN2;HSP90AA1;PPP1R12A;RFC4;RFC1;HAUS4;PPP2R5B;HAUS3;PPP2R5A;HAUS6;PPP2R5D;CKAP5;HAUS2;HAUS1;H2BC12;RBL2;H2BC13;DBF4;ESPL1;GORASP2;NUP50;BIRC5;CHMP3;MCM5;NUP54;PPP1R12B;MCM2;RAB1A;DCTN2;TUBAL3;HDAC1;SRC;RAB1B;DCTN3;NSL1;AURKB;FZR1;CDC45;POLR2A;RBBP4;NUP42;POLD1;E2F2;POLR2F;MAPK1;POLR2G;NUP43;POLR2H;BUB3;E2F5;POLR2I;E2F6;POLR2J;BUB1;MAPK3;CABLES1;FBXL18;MND1;CDK11B;POLE4;RAD50;TEN1;POLE3;PPP2R2D;NUP35;SYCP3;RAN;NUP37
Cellular Responses to Stimuli	4	3.04132757992381e-14	1.56400270797582e-11	0	0	1.77988647907855	55.3970037631817	RB1;RPL4;ATF2;RPL5;RPL30;NUP107;RPL32;EHMT2;PHB2;RPL6;RPL7;PSMD6;PSMD7;CREB3L4;PSMD2;AKT3;PSMD3;CREB3L2;AKT1;RPL37;PRKACA;NUP214;MED1;PRKCI;CSNK2A1;NUP210;RPL23;CSNK2A2;RPL22;NUP93;DYNC1LI1;ADCY9;TXNIP;RPL24;ATF5;RPL29;CLOCK;RPL28;ATF3;ASF1A;NUP205;POM121;ANAPC15;ANAPC16;MRPL18;NPRL2;MAPKAP1;NPRL3;HSPA4L;DEDD2;POM121C;PRKAR2B;PRKAR2A;PRDX1;HMOX1;SSR1;PPARGC1A;SULT1A3;CREBBP;PHC2;RPL41;WDR59;ST13;EDEM1;EIF2AK3;FN1;H1-1;H1-0;PHC3;H1-3;H1-2;H1-5;H1-4;AGO1;H2AC20;HYOU1;CDKN1A;RPLP1;RPLP0;HIF3A;AREG;PANX1;RPLP2;ELOB;ELOC;RING1;ANXA2;MIOS;HSBP1;DYNLL1;TERF1;SIRT1;TERF2;PSMA5;NCOR2;PSMA6;PSMA3;TUBB2B;PSMA4;TUBB2A;PSMA2;MTF1;RPL12;ADCY4;RPS27L;ADCY1;ADCY8;HSPA14;HSPA13;ADCY5;PSMB7;PSMB4;EXTL1;PSMB5;TUBA3C;RPS15A;PSMB2;UBN1;RPL14;RPS3;RPL13;RICTOR;RPS27A;EXTL3;MEF2D;RPL17;RPL19;CDKN2D;EGLN3;CDKN2B;EGLN2;SYVN1;WTIP;TUBB4A;FABP1;PSMC5;PSMC6;PSMC3;PSMC4;RPL22L1;LAMTOR2;LAMTOR1;LAMTOR4;LAMTOR3;HSPA1B;NCF1;UBE2D2;NCF4;UBE2D1;HIKESHI;RPL10A;CDH5;SESN1;SCMH1;TUBB1;GRB10;NBN;MAP2K3;MAP2K4;RPS8;RPS6;UBE2E1;MUL1;RPSA;PGD;TUBA4A;MAPKAPK3;MAPKAPK2;ERF;PGR;TNIK;FKBP4;AJUBA;SQSTM1;ANAPC1;SHC1;CUL3;LY96;NRF1;NPAS2;STIP1;BAG1;ABL1;SLC38A9;IGFBP7;MAP2K7;MAP2K6;ZBTB17;GFPT1;PALB2;NFKB1;CDK6;MAFG;ALB;CDK2;MDM4;MAFK;TPP1;NFE2L2;ITGB1;COX4I1;ITGB3;COX4I2;PIK3CD;PIK3CB;RPL7A;SIN3B;ME1;ITGAV;HIF1AN;HSP90AA1;GPX2;CHUK;GPX3;GPX8;ARNT;GPX7;ARFGAP1;DNAJC3;PIK3CA;CTDSP2;RPL37A;PECAM1;ITGA5;TNFRSF21;CEBPB;CEBPG;DNAJB1;FZR1;DNAJB6;RBBP4;CCL2;E2F2;DNAJB9;FYN;FNIP1;FBXL17;RPL35A;RPL23A;MTOR;DNAJA1;TNRC6C;RAD50;DNAJA4;DNAJA2;TNRC6A;TNRC6B;SLC46A1;KEAP1;NUDT2;CCAR2;RPS15;RPS14;RPS16;RPL18A;RPS19;PPP2R1A;RPL36AL;RPS18;CDC26;RPS6KA2;CDC27;RPS6KA1;KDR;PIEZO1;ATP6V1E1;RPS11;ATP6V1E2;TRIM21;RPS10;RPS13;RPS12;ATP6V1G1;ATP6V0E1;TINF2;TALDO1;RRAGA;RRAGC;CSNK2B;RRAGD;PREB;KDELR3;MT1B;TLN1;TP53;PIK3R2;OMA1;HELZ2;GNG10;APOB;ATP6V1C1;ATP6V1C2;RPL39L;XBP1;DELE1;PTK6;HSPA12A;GNG12;GNG11;PTK2;GNG13;RPS25;RPS28;RPS27;RPL27A;CDC16;ID1;CREBRF;ATM;RPS20;RPS21;RPS24;ATR;BRCA1;COX7C;HERPUD1;ACTR1A;H3-3A;COX8A;NCOA1;NCOA2;COX8C;ATP6V0B;NCOA6;MINK1;ITFG2;H2AJ;KPTN;ATP6V0C;DCP2;YAP1;RAMP2;COX5B;PPP2CA;EXOSC5;EXOSC4;EXOSC9;HSF1;LMNA;EXOSC3;EXOSC2;RAE1;EXOSC1;H2BC9;DYNC1H1;NFYA;IFNB1;H2BC3;NFYC;H2BC4;H2BC1;RPA1;YIF1A;CAPZA1;CAPZA2;FAU;CRTC2;CRTC3;NUP188;CRTC1;COX6A1;COX6A2;ETS1;KHSRP;CAPN2;SZT2;H2AC7;H2AC4;PDIA6;PDIA5;COX6B1;CCNE2;CCNE1;VCL;ATP6V1A;VCP;PSMD11;PSMD14;RPS19BP1;PSMD13;HTRA2;HIGD1A;RAI1;NLRP3;ATP6V1D;GCN1;ATP6V1F;CBX8;CBX6;NUP155;CBX4;HSPA5;CBX2;IDH1;NUP153;HSPA2;MT4;EIF2S2;EIF2S1;NFKBIA;SEM1;IL6;UBE2S;GNB2;GNB1;GNB4;SRPRA;GCLM;YWHAE;GSK3B;GSK3A;CXCL8;CHD9;HSPB8;LMNB1;H2BC26;H2BC21;CA9;KDM6B;ABCC1;PDE4D;PPP2R5B;RPS3A;H2BC12;CREB3;H2BC13;NUP50;ATP6V1B2;NUP54;ATP6V1B1;DCTN5;DCTN2;TUBAL3;ATF6B;DCTN4;DCTN3;PARN;ADD1;MAPK9;MAPK8;NUP42;GNA11;NRIP1;GNG8;MAPK1;NUP43;VHL;CAMK2G;MAPK3;EGF;KICS2;MAPK14;SOD2;SOD1;BMT2;NUP35;NUP37
