skew_type	skew_bin	ccre_class	mut_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint
HepG2_skew	[-0.05,0.05)	non-cCRE	non-CpG-tv	111202806	111202806	6833417.852999997	1129100.7375210056	109608125	-5426857.182517866	117281421.67084387	1684084	2288334	374053
HepG2_skew	[-0.05,0.05)	non-cCRE	unknown	162461	0	0	0	92741	-26254.587986198596	96836.75862315665	311	5352	3066
HepG2_skew	[-0.05,0.05)	pELS	CpG-CGI	89969	89969	47079.026	44354.799526	89919	-12250.058988706787	301598.62614940375	6184	34934	37691
HepG2_skew	[-0.05,0.05)	pELS	CpG-nonCGI	461596	461596	765266.977	1500285.687629	461073	-350124.0788919409	1498084.2726105002	8854	95897	63187
HepG2_skew	[-0.05,0.05)	pELS	non-CpG-ti	3316664	3316664	475898.374	91458.76156	3314142	444783.0128972807	7341659.1550667165	179130	668665	382213
HepG2_skew	[-0.05,0.05)	pELS	non-CpG-tv	2273647	2273647	140435.27	19295.179772	2271159	254089.93801053544	5317012.917812408	124917	484894	303543
HepG2_skew	[-0.05,0.05)	pELS	unknown	6229	0	0	0	5996	-1588.6399953448001	11462.556379467122	115	2566	535
HepG2_skew	[-0.2,-0.05)	Other cCREs	CpG-CGI	12199	12199	20411.168	41489.296136	12092	-8249.010996917032	41792.89052633012	308	1807	492
HepG2_skew	[-0.2,-0.05)	Other cCREs	CpG-nonCGI	731948	731948	1583216.4510000001	3659313.778511	726324	-629447.3936654318	2100931.554394952	6355	33054	39490
HepG2_skew	[-0.2,-0.05)	Other cCREs	non-CpG-ti	2035369	2035369	289668.414	53316.981322	2027006	105977.17127081088	2784962.3780737915	59748	66602	108628
HepG2_skew	[-0.2,-0.05)	Other cCREs	non-CpG-tv	1619484	1619484	103495.97	14122.313488	1609031	-46598.90777532069	2453448.211911303	45236	54939	87716
HepG2_skew	[-0.2,-0.05)	Other cCREs	unknown	3635	0	0	0	2381	-565.1139984995824	1543.9872141180688	1	238	89
HepG2_skew	[-0.2,-0.05)	PLS	CpG-CGI	48041	48041	22769.304	18878.585262	48022	17722.118009693233	264964.8272755497	7240	19268	28160
HepG2_skew	[-0.2,-0.05)	PLS	CpG-nonCGI	35536	35536	51103.697	97284.610699	35474	-16981.494992225547	157624.70937488292	2116	10035	11565
HepG2_skew	[-0.2,-0.05)	PLS	non-CpG-ti	171107	171107	26001.589	4878.573575	170999	134839.1409942531	1013480.6734469738	30783	58992	68576
HepG2_skew	[-0.2,-0.05)	PLS	non-CpG-tv	175635	175635	14172.192000000001	2059.466464	175471	94515.8259976993	1009632.2046977115	27857	62427	77606
HepG2_skew	[-0.2,-0.05)	PLS	unknown	1150	0	0	0	1148	-153.4710023425284	3433.295956324043	61	601	115
HepG2_skew	[-0.2,-0.05)	dELS	CpG-CGI	46160	46160	58190.207	108233.284093	46075	-25394.544010267004	187133.68342036917	2353	9905	12932
HepG2_skew	[-0.2,-0.05)	dELS	CpG-nonCGI	2236564	2236564	4556035.738	10061701.42471	2232894	-1922116.8837831107	8106441.574512112	43602	207902	365861
HepG2_skew	[-0.2,-0.05)	dELS	non-CpG-ti	5844845	5844845	824312.064	148727.70256	5837138	1190852.9194384925	12857458.004128989	344510	465996	839303
HepG2_skew	[-0.2,-0.05)	dELS	non-CpG-tv	4462272	4462272	280025.843	37172.253911	4454580	440629.3187531148	10508712.309492161	246205	357825	662930
HepG2_skew	[-0.2,-0.05)	dELS	unknown	3499	0	0	0	3210	-910.1980012343265	3491.203360218815	17	291	551
HepG2_skew	[-0.2,-0.05)	non-cCRE	CpG-CGI	43737	43737	45143.747	78943.74763299999	43593	-13363.345986908766	142655.39852045898	2347	12911	10863
HepG2_skew	[-0.2,-0.05)	non-cCRE	CpG-nonCGI	7334615	7334615	16245591.962	38104070.468668	7282907	-6605512.695442984	19590832.291342128	31499	279681	63819
HepG2_skew	[-0.2,-0.05)	non-cCRE	non-CpG-ti	20134030	20134030	2786883.857999996	521584.377074	19909725	-1834.3690599819854	21018700.499730416	348000	560716	157054
HepG2_skew	[-0.2,-0.05)	non-cCRE	non-CpG-tv	16673842	16673842	1030495.8640000009	147407.5606619999	16425802	-1105876.9490460318	19217423.397097524	269220	468451	136125
HepG2_skew	[-0.2,-0.05)	non-cCRE	unknown	26050	0	0	0	15480	-4756.251000424033	16868.58996398182	55	1104	611
HepG2_skew	[-0.2,-0.05)	pELS	CpG-CGI	62332	62332	32138.682	30825.704794	62290	7432.349000156627	229909.27399888405	5862	24263	28588
HepG2_skew	[-0.2,-0.05)	pELS	CpG-nonCGI	310947	310947	526845.938	1065204.334122	310534	-236313.16993729759	1053884.0933433324	6933	68236	55269
HepG2_skew	[-0.2,-0.05)	pELS	non-CpG-ti	879090	879090	126444.618	22932.170856	878270	282754.4499710128	2370068.652280529	68403	205969	173562
HepG2_skew	[-0.2,-0.05)	pELS	non-CpG-tv	734905	734905	50674.229999999996	7193.682576	733899	134771.28197255824	2097561.0060535604	53334	180115	159200
HepG2_skew	[-0.2,-0.05)	pELS	unknown	1970	0	0	0	1860	-571.1350002009427	3259.078974231676	15	770	333
HepG2_skew	[-0.5,-0.2)	Other cCREs	CpG-CGI	3392	3392	6008.286	12680.319	3348	-2130.457994131722	12724.79376777043	111	593	149
HepG2_skew	[-0.5,-0.2)	Other cCREs	CpG-nonCGI	164946	164946	361753.985	851677.359777	163720	-145010.64692647202	468678.1803900697	1208	8052	14417
HepG2_skew	[-0.5,-0.2)	Other cCREs	non-CpG-ti	335322	335322	51992.468	10727.096373999999	333825	11001.066060258068	490918.0579579901	9792	11937	32146
HepG2_skew	[-0.5,-0.2)	Other cCREs	non-CpG-tv	312346	312346	20920.149	2934.040539	310022	-21487.727943909376	493804.8643514444	8245	11675	29336
HepG2_skew	[-0.5,-0.2)	Other cCREs	unknown	546	0	0	0	427	-122.76700070500372	355.8626020186019	0	39	19
HepG2_skew	[-0.5,-0.2)	PLS	CpG-CGI	15555	15555	7265.147	6036.4287810000005	15548	18636.09298414912	139700.72601638062	4163	6383	9791
HepG2_skew	[-0.5,-0.2)	PLS	CpG-nonCGI	11695	11695	16749.26	32313.306464	11683	-1244.4089955646782	65383.79917966561	1255	3511	5050
HepG2_skew	[-0.5,-0.2)	PLS	non-CpG-ti	53705	53705	8826.979	1849.853609	53674	80288.74196349121	511787.76943400723	15625	19606	27299
HepG2_skew	[-0.5,-0.2)	PLS	non-CpG-tv	64381	64381	5297.119	796.147299	64319	77367.7929747716	546926.4920883557	16506	24097	34861
HepG2_skew	[-0.5,-0.2)	PLS	unknown	158	0	0	0	158	-16.387999701313735	449.8510539801416	9	77	33
HepG2_skew	[-0.5,-0.2)	dELS	CpG-CGI	13189	13189	17572.575	34052.265553	13161	-6256.835998701516	53685.88843335821	748	3052	4120
HepG2_skew	[-0.5,-0.2)	dELS	CpG-nonCGI	532070	532070	1100727.357	2478920.413353	531098	-463047.27100321284	1950067.2186836847	10797	54718	128150
HepG2_skew	[-0.5,-0.2)	dELS	non-CpG-ti	1053650	1053650	159575.077	32153.415909	1052168	261010.12581582658	2729013.3355690097	73545	94766	243945
HepG2_skew	[-0.5,-0.2)	dELS	non-CpG-tv	950072	950072	62033.144	8534.146342	948247	104371.07196348946	2535283.2225859263	58988	87730	223170
HepG2_skew	[-0.5,-0.2)	dELS	unknown	581	0	0	0	550	-185.5110010737554	711.2194496894533	2	58	137
HepG2_skew	[-0.5,-0.2)	non-cCRE	CpG-CGI	10280	10280	11850.034	22106.035356	10240	-1499.8449873907978	39353.16143481056	770	3025	2562
HepG2_skew	[-0.5,-0.2)	non-cCRE	CpG-nonCGI	1183088	1183088	2635755.597	6246835.399443	1175103	-1078715.9221014946	3179462.4118047166	4516	52026	16628
HepG2_skew	[-0.5,-0.2)	non-cCRE	non-CpG-ti	2020149	2020149	315725.079	68244.253759	2001294	-74277.91564078839	2332548.0413990594	35696	72224	32654
HepG2_skew	[-0.5,-0.2)	non-cCRE	non-CpG-tv	1982063	1982063	132291.328	19344.457202	1955306	-231597.84643759803	2521257.184414472	31445	71140	33888
HepG2_skew	[-0.5,-0.2)	non-cCRE	unknown	2870	0	0	0	2047	-682.2849996715088	2060.9623539690315	1	147	58
HepG2_skew	[-0.5,-0.2)	pELS	CpG-CGI	16018	16018	8533.768	8739.900264	16007	7524.298005253426	82523.83115717964	2368	6271	8146
HepG2_skew	[-0.5,-0.2)	pELS	CpG-nonCGI	73196	73196	125802.512	259853.239958	73102	-51355.92297849899	260717.86328415884	2165	16973	18897
HepG2_skew	[-0.5,-0.2)	pELS	non-CpG-ti	171477	171477	26893.273	5487.853229	171288	93697.30198824972	682744.3071967318	20477	44306	53262
HepG2_skew	[-0.5,-0.2)	pELS	non-CpG-tv	171285	171285	12597.937	1918.242757	170988	65458.75899821217	671491.7110905701	18545	46434	56503
HepG2_skew	[-0.5,-0.2)	pELS	unknown	387	0	0	0	364	-111.15699810720977	650.0275914512263	7	173	64
HepG2_skew	[-1.0,-0.5)	Other cCREs	CpG-CGI	851	851	1499.956	3139.76136	848	-489.48100092448294	2862.7101383004274	31	201	65
HepG2_skew	[-1.0,-0.5)	Other cCREs	CpG-nonCGI	47084	47084	104368.5	248271.860376	46799	-41400.22198594969	137481.05417678918	424	2093	6382
HepG2_skew	[-1.0,-0.5)	Other cCREs	non-CpG-ti	78081	78081	12765.449	2872.754189	77681	9723.548004171227	148987.63654468054	3199	2922	12846
HepG2_skew	[-1.0,-0.5)	Other cCREs	non-CpG-tv	72325	72325	4768.392	561.930428	71814	-3394.6519786214917	129542.40659030066	2158	2884	11480
HepG2_skew	[-1.0,-0.5)	Other cCREs	unknown	75	0	0	0	66	-21.680000141263015	112.8546365623995	0	7	17
HepG2_skew	[-1.0,-0.5)	PLS	CpG-CGI	4891	4891	2276.87	1909.76664	4891	11787.540009920716	79389.70835812358	2127	2133	3288
HepG2_skew	[-1.0,-0.5)	PLS	CpG-nonCGI	4108	4108	6077.7699999999995	11885.013794	4105	1784.0529955471861	32905.25224844382	703	1283	2225
HepG2_skew	[-1.0,-0.5)	PLS	non-CpG-ti	15135	15135	2594.721	601.187157	15129	37875.26899894222	235153.2238099765	6625	5656	9255
HepG2_skew	[-1.0,-0.5)	PLS	non-CpG-tv	18404	18404	1390.604	172.76358199999999	18392	37670.472976782825	241406.17859822654	6929	7136	11433
HepG2_skew	[-1.0,-0.5)	PLS	unknown	22	0	0	0	22	-9.509999915957458	159.20110867976464	0	16	6
HepG2_skew	[-1.0,-0.5)	dELS	CpG-CGI	3279	3279	4323.605	8272.526509	3272	-511.46099824307015	17705.470608743268	323	784	1216
HepG2_skew	[-1.0,-0.5)	dELS	CpG-nonCGI	148185	148185	310155.012	706898.722286	147944	-120511.0009935262	563381.5345586697	3897	15477	49447
HepG2_skew	[-1.0,-0.5)	dELS	non-CpG-ti	239321	239321	37250.169	8027.201335	238948	101821.55688981258	868951.0966827724	23581	22684	81384
HepG2_skew	[-1.0,-0.5)	dELS	non-CpG-tv	216193	216193	13560.567000000001	1579.869901	215736	44126.883986490095	705930.4971491552	16966	21120	74188
HepG2_skew	[-1.0,-0.5)	dELS	unknown	90	0	0	0	85	-41.789000302553184	138.85337432024295	0	14	26
HepG2_skew	[-1.0,-0.5)	non-cCRE	CpG-CGI	2267	2267	2875.159	5597.048923	2249	-13.0460052989656	11674.131855877742	231	712	571
HepG2_skew	[-1.0,-0.5)	non-cCRE	CpG-nonCGI	259227	259227	592928.097	1440590.273833	257769	-238884.72679637617	716753.638589355	1029	11751	5088
HepG2_skew	[-1.0,-0.5)	non-cCRE	non-CpG-ti	332542	332542	56254.966	13475.345272	329208	-10647.558912888282	397447.52127173386	5831	12947	7686
HepG2_skew	[-1.0,-0.5)	non-cCRE	non-CpG-tv	317393	317393	20093.921	2300.351129	313638	-45632.98587289825	426439.81618279166	4787	13678	7768
HepG2_skew	[-1.0,-0.5)	non-cCRE	unknown	375	0	0	0	291	-88.35400043055415	522.9312169848545	8	23	5
HepG2_skew	[-1.0,-0.5)	pELS	CpG-CGI	3798	3798	2057.985	2109.407365	3798	3856.908000429976	32753.89605637618	862	1556	2081
HepG2_skew	[-1.0,-0.5)	pELS	CpG-nonCGI	19631	19631	34438.565	72186.767301	19607	-11526.233997603416	79577.6821657703	893	4610	7003
HepG2_skew	[-1.0,-0.5)	pELS	non-CpG-ti	37061	37061	6000.97	1326.156826	37014	33612.77898899956	233504.3967091975	6622	9848	15416
HepG2_skew	[-1.0,-0.5)	pELS	non-CpG-tv	37815	37815	2618.167	326.825361	37728	25592.882000824673	211738.73965055693	5819	10609	16254
HepG2_skew	[-1.0,-0.5)	pELS	unknown	75	0	0	0	73	-6.670999808236921	208.89498463413756	5	23	7
HepG2_skew	[-1.5,-1.0)	Other cCREs	CpG-CGI	111	111	199.798	432.08619	102	-34.82099963724619	600.893502087628	8	18	15
HepG2_skew	[-1.5,-1.0)	Other cCREs	CpG-nonCGI	9979	9979	22814.243	55688.185189	9919	-8325.572990655784	27078.956174972842	82	442	1227
HepG2_skew	[-1.5,-1.0)	Other cCREs	non-CpG-ti	13877	13877	2274.651	506.466085	13789	968.7910069543868	20504.441143635064	408	536	2352
HepG2_skew	[-1.5,-1.0)	Other cCREs	non-CpG-tv	12792	12792	796.5029999999999	83.494801	12675	-1568.1019983948208	20934.959448473768	281	523	2111
HepG2_skew	[-1.5,-1.0)	Other cCREs	unknown	4	0	0	0	4	-5.15799999237061	8.9375419855671	0	0	1
HepG2_skew	[-1.5,-1.0)	PLS	CpG-CGI	1039	1039	497.309	454.998693	1039	3828.31499951333	27015.537768106373	635	494	769
HepG2_skew	[-1.5,-1.0)	PLS	CpG-nonCGI	1000	1000	1584.6770000000001	3205.691809	999	850.5239996444428	9525.637609430936	225	284	581
HepG2_skew	[-1.5,-1.0)	PLS	non-CpG-ti	3034	3034	490.161	103.669335	3029	9832.138990485455	63638.60512938555	1623	1149	1986
HepG2_skew	[-1.5,-1.0)	PLS	non-CpG-tv	3458	3458	247.572	27.846172	3455	9841.21698895155	65195.375537356165	1697	1347	2279
HepG2_skew	[-1.5,-1.0)	PLS	unknown	2	0	0	0	2	5.39600002765656	15.7105701593685	1	0	0
HepG2_skew	[-1.5,-1.0)	dELS	CpG-CGI	577	577	772.712	1509.98183	577	-38.66900232108323	3915.4068207012056	75	142	238
HepG2_skew	[-1.5,-1.0)	dELS	CpG-nonCGI	31542	31542	68576.078	161250.212814	31501	-23418.63699432905	115031.23246748505	953	3318	11069
HepG2_skew	[-1.5,-1.0)	dELS	non-CpG-ti	44599	44599	6793.552	1425.142538	44521	22612.39297914761	171440.05205358827	4707	4189	18604
HepG2_skew	[-1.5,-1.0)	dELS	non-CpG-tv	38908	38908	2252.296	218.366512	38832	8328.343005842762	131146.66943238364	3147	3726	15975
HepG2_skew	[-1.5,-1.0)	dELS	unknown	7	0	0	0	7	2.048000030219555	1.1307540324113374	0	0	2
HepG2_skew	[-1.5,-1.0)	non-cCRE	CpG-CGI	385	385	490.753	939.659059	382	198.23200092837223	3596.1253779772314	75	125	103
HepG2_skew	[-1.5,-1.0)	non-cCRE	CpG-nonCGI	71458	71458	167449.41	415036.102434	71183	-63363.99192484713	183649.26903020675	253	3373	1159
HepG2_skew	[-1.5,-1.0)	non-cCRE	non-CpG-ti	64642	64642	10880.958	2390.9989020000003	63940	1135.7240338319675	58907.3065919874	888	2738	1420
HepG2_skew	[-1.5,-1.0)	non-cCRE	non-CpG-tv	59924	59924	3482.129	338.060827	59294	-9621.453955661857	74638.72425638439	729	2726	1401
HepG2_skew	[-1.5,-1.0)	non-cCRE	unknown	74	0	0	0	70	-25.57700030878187	88.95366042531063	0	8	0
HepG2_skew	[-1.5,-1.0)	pELS	CpG-CGI	645	645	342.578	330.092232	645	1229.1949994103063	9902.767912970949	225	270	382
HepG2_skew	[-1.5,-1.0)	pELS	CpG-nonCGI	4161	4161	7657.403	16544.873233	4158	-2252.980991175515	16982.781053893552	213	939	1470
HepG2_skew	[-1.5,-1.0)	pELS	non-CpG-ti	6587	6587	1028.215	214.967907	6579	7453.477010156145	48744.81684770235	1356	1780	3116
HepG2_skew	[-1.5,-1.0)	pELS	non-CpG-tv	6412	6412	401.268	39.160222	6400	5461.2150007321015	43079.96689783286	1154	1781	3135
HepG2_skew	[-1.5,-1.0)	pELS	unknown	9	0	0	0	9	-4.54400010034442	9.05226250850607	0	0	0
HepG2_skew	[0.05,0.2)	Other cCREs	CpG-CGI	4600	4600	7548.64	14786.78242	4571	-3453.2010039300667	16329.910992148962	116	715	190
HepG2_skew	[0.05,0.2)	Other cCREs	CpG-nonCGI	170536	170536	342146.398	734085.393358	168644	-135840.71691409132	468612.0520899527	1628	8420	8330
HepG2_skew	[0.05,0.2)	Other cCREs	non-CpG-ti	2432787	2432787	398963.324	94558.03586	2423722	-298183.3726938032	3966015.556403638	59592	77298	106347
HepG2_skew	[0.05,0.2)	Other cCREs	non-CpG-tv	1651881	1651881	97217.22899999999	10284.931957	1642003	-29397.756853911673	2448688.4937894084	45698	55282	73655
HepG2_skew	[0.05,0.2)	Other cCREs	unknown	3407	0	0	0	2074	-523.3159993272275	1662.51509153948	2	187	66
HepG2_skew	[0.05,0.2)	PLS	CpG-CGI	18156	18156	8721.053	7329.136469	18151	2750.069995115396	102376.43849119564	2407	7481	10419
HepG2_skew	[0.05,0.2)	PLS	CpG-nonCGI	9415	9415	12564.416	22198.402278	9403	-4979.661989891318	45163.50433378289	588	2752	3173
HepG2_skew	[0.05,0.2)	PLS	non-CpG-ti	146873	146873	21959.854	4487.091954	146779	45365.30197022484	763940.222960041	19015	48694	48060
HepG2_skew	[0.05,0.2)	PLS	non-CpG-tv	138561	138561	10127.471	1277.361951	138434	43531.11896559399	726256.1322188275	18174	48910	53067
HepG2_skew	[0.05,0.2)	PLS	unknown	1057	0	0	0	1057	-54.84499997226498	3588.355216739787	68	554	60
HepG2_skew	[0.05,0.2)	dELS	CpG-CGI	17429	17429	21161.838	37319.27865	17396	-11006.609005427112	71898.29391061097	821	3801	4750
HepG2_skew	[0.05,0.2)	dELS	CpG-nonCGI	516494	516494	970695.924	1982680.616058	515657	-439217.8759276073	1873455.567995873	10113	50619	82446
HepG2_skew	[0.05,0.2)	dELS	non-CpG-ti	6560393	6560393	1056651.1369999999	251541.129547	6552612	-545749.9383071959	15598185.872033045	288674	493150	740911
HepG2_skew	[0.05,0.2)	dELS	non-CpG-tv	4317564	4317564	243349.733	24350.848515	4310530	377605.0386695024	9590514.889811205	221351	335338	515117
HepG2_skew	[0.05,0.2)	dELS	unknown	2604	0	0	0	2399	-794.7680017297389	2970.084958629823	9	211	284
HepG2_skew	[0.05,0.2)	non-cCRE	CpG-CGI	15975	15975	16348.378999999999	27198.656275	15941	-6651.569001054276	51704.58306625563	722	4831	3898
HepG2_skew	[0.05,0.2)	non-cCRE	CpG-nonCGI	1570849	1570849	3264345.744	7200546.032378	1557376	-1292608.1631037972	3941824.2478771857	8372	61180	13378
HepG2_skew	[0.05,0.2)	non-cCRE	non-CpG-ti	26701674	26701674	4409550.552999989	1050721.0308650003	26430596	-4163585.4354501497	33518269.524043266	335485	705527	141607
HepG2_skew	[0.05,0.2)	non-cCRE	non-CpG-tv	19016096	19016096	1163659.285000001	137521.98306099986	18751049	-1518786.8909140073	20714488.831515994	263131	506515	108455
HepG2_skew	[0.05,0.2)	non-cCRE	unknown	23501	0	0	0	13927	-3789.8689916082667	14408.033233804787	43	1069	482
HepG2_skew	[0.05,0.2)	pELS	CpG-CGI	23606	23606	12257.239	11443.437141	23593	-287.5730005989311	90590.0769283627	2091	9205	10776
HepG2_skew	[0.05,0.2)	pELS	CpG-nonCGI	72762	72762	114293.461	215254.162765	72661	-55928.6619916904	250599.65004633667	1600	16517	12874
HepG2_skew	[0.05,0.2)	pELS	non-CpG-ti	941328	941328	145899.157	32585.973903	940537	367.3109726258249	2481048.594038974	52167	209776	141054
HepG2_skew	[0.05,0.2)	pELS	non-CpG-tv	696622	696622	42517.127	4689.0283469999995	695763	91451.02604921302	1781725.3651704332	43371	166989	121002
HepG2_skew	[0.05,0.2)	pELS	unknown	1485	0	0	0	1395	-614.0360028040593	2793.5338619391346	13	583	151
HepG2_skew	[0.2,0.5)	Other cCREs	CpG-CGI	1491	1491	2511.96	5041.690674	1479	-1073.3680016256408	5704.318263748956	37	258	58
HepG2_skew	[0.2,0.5)	Other cCREs	CpG-nonCGI	42570	42570	86826.512	189814.737874	41849	-34244.69499221503	115817.09095962536	357	2305	2253
HepG2_skew	[0.2,0.5)	Other cCREs	non-CpG-ti	363707	363707	56670.072	12177.043898	362099	-54642.73195717414	558720.1261698776	7502	12897	20239
HepG2_skew	[0.2,0.5)	Other cCREs	non-CpG-tv	282523	282523	16758.067	1715.404581	280423	-13599.501948975836	411424.6608416675	6915	11147	15161
HepG2_skew	[0.2,0.5)	Other cCREs	unknown	514	0	0	0	371	-70.68299993872652	226.48560316914347	0	28	11
HepG2_skew	[0.2,0.5)	PLS	CpG-CGI	5128	5128	2393.085	1985.110557	5125	2703.674999074081	32145.94610835502	911	2123	2943
HepG2_skew	[0.2,0.5)	PLS	CpG-nonCGI	2698	2698	3572.36	6404.824712	2692	-960.7560005951669	13957.190357564104	217	785	948
HepG2_skew	[0.2,0.5)	PLS	non-CpG-ti	34956	34956	5082.483	947.5788749999999	34937	21172.658987898052	216921.67748086675	5951	12114	13138
