ccre_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	n_active	sum_mean_activity	sum_mean_activity_sq	sum_abs_mean_skew	sum_abs_mean_skew_sq
Other cCREs	29581770	29559181	8358708.713999998	12489311.299044028	29435801	-1825599.7597838843	47445784.5403052	839836	929217	1276402	5562807	12968747.683311695	15741408.6039283	1971258.3041620494	563928.9251693591
PLS	1852264	1844999	408327.51	384747.955956	1850778	849883.6227097734	10532941.777469411	273772	630473	720690	1394664	4275112.919825886	15507504.682793718	247806.6425653777	110639.4912763167
TOTAL	519120358	518841486	137535729.6920025	197416949.88864586	514073405	-46150497.846322745	733170173.3667884	11056684	18843284	14241496	57773513	174441873.97561494	180537351.44560134	27646813.092795685	6433796.548109536
dELS	73727418	73707992	21674161.567000013	32077137.74608898	73622746	1143025.415285314	174197728.43743092	3684061	5439935	8649053	17656074	37803993.43211721	46159788.935295	5530437.8620840795	1682517.8201036996
non-cCRE	403093634	402874611	104296991.16600119	148961438.82341018	398310246	-47108311.00267286	472392452.3765287	5611936	9414653	1819742	29652317	111897569.27456118	91029153.0985656	18997395.73202017	3786203.5276073627
pELS	10865272	10854703	2797540.735	3504314.064151	10853834	790503.8781389314	28601266.235049915	647079	2429006	1775609	3507651	7496450.665798929	12099496.125018833	899914.5519639988	290506.7839527958
