skew_type	skew_bin	ccre_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint
HepG2_skew	[0.5,1.0)	dELS	442302	442207	110288.955	144038.064811	441641	-43591.41194812929	1092499.429206778	20074	39990	76163
HepG2_skew	[0.5,1.0)	non-cCRE	1032679	1032136	225791.39	277192.447998	1023856	-189273.8086703789	1336241.2488612155	12058	39763	11818
HepG2_skew	[0.5,1.0)	pELS	76553	76474	15545.787	15486.504543000001	76437	10561.479004803234	251443.99671492144	6118	20107	18205
HepG2_skew	[1.0,1.5)	Other cCREs	23980	23962	5477.616	7281.892408	23794	-4692.3409932889035	37280.62124282405	423	953	1542
HepG2_skew	[1.0,1.5)	PLS	2692	2688	488.869	347.764275	2689	1894.591003714245	17310.657235781055	485	952	1051
HepG2_skew	[1.0,1.5)	dELS	77287	77274	18397.845	24134.581649	77154	-6414.3539848747905	187456.3188462464	3593	7140	13730
HepG2_skew	[1.0,1.5)	non-cCRE	168921	168840	30572.126	31758.94482	167473	-37063.622949160286	224996.98090202422	1736	7177	2116
HepG2_skew	[1.0,1.5)	pELS	14213	14189	2672.721	2473.408355	14198	1954.3809977447395	44222.40790512267	1111	3834	3534
HepG2_skew	[1.5,Inf)	Other cCREs	6762	6761	1132.686	968.847586	6730	-1333.9319966671756	10382.184587459966	120	242	391
HepG2_skew	[1.5,Inf)	PLS	639	635	106.196	58.20881	639	317.3670016091781	3351.6674273489966	97	223	242
HepG2_skew	[1.5,Inf)	dELS	21611	21606	3929.639	3882.779997	21582	-2220.4879932982144	50272.09318292966	918	1942	3552
HepG2_skew	[1.5,Inf)	non-cCRE	46278	46261	6368.042	3551.5909739999997	45866	-10798.993986487856	61756.16164819518	443	1747	545
HepG2_skew	[1.5,Inf)	pELS	3892	3887	632.638	443.430172	3889	425.8620030671591	11455.262548202392	290	1040	949
