skew_type	skew_bin	ccre_class	cell_line	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint
HepG2_skew	[-0.05,0.05)	Inactive cCRE	SK-N-SH	66314495	66278557	16715816.092999963	22463795.369907074	66165048	1941431.8768749528	133217516.6348869	2871840	4222303	4898661
HepG2_skew	[-0.05,0.05)	Other cCREs	H1	1793712	1793038	403276.025	426207.264609	1789936	41189.53172208751	5774566.687480475	115588	281051	475185
HepG2_skew	[-0.05,0.05)	Other cCREs	HCT116	1466548	1465692	309473.13300000003	323809.556173	1462578	-34797.741077250466	3431025.4731380777	66534	175273	355254
HepG2_skew	[-0.05,0.05)	Other cCREs	HepG2	1402081	1401614	313643.949	340647.712129	1399630	-44406.8330949161	3707324.4396037245	67984	203067	337420
HepG2_skew	[-0.05,0.05)	Other cCREs	K562	2030349	2029865	470291.698	526725.590818	2027473	-64587.12108784297	4777263.083821658	90785	285948	447303
HepG2_skew	[-0.05,0.05)	Other cCREs	MCF-7	1626221	1625512	440273.555	566255.682571	1625143	-235999.73406517613	4295891.064020979	71053	235007	319882
HepG2_skew	[-0.05,0.05)	Other cCREs	SK-N-SH	2263302	2262319	622225.872	764753.199964	2261679	141930.27838894198	7927393.344982501	177226	425809	499957
HepG2_skew	[-0.05,0.05)	PLS	H1	366355	366252	58941.888	22932.311188	366217	72839.1580300281	2155849.644724027	47932	151942	182881
HepG2_skew	[-0.05,0.05)	PLS	HCT116	342539	342429	55777.351	23132.205341	342460	51963.01302766577	1954872.394286846	42347	147094	172317
HepG2_skew	[-0.05,0.05)	PLS	HepG2	317940	317855	51853.004	22553.22982	317802	37206.59102876753	1864778.8813807508	38589	137794	158551
HepG2_skew	[-0.05,0.05)	PLS	K562	361353	361244	59471.346	25581.459968	361174	52827.44499663656	1981118.5425238032	43071	154186	177324
HepG2_skew	[-0.05,0.05)	PLS	MCF-7	366485	366360	60595.634	25130.305224	366347	75663.714054921307	2027482.8024592525	47149	155239	184565
HepG2_skew	[-0.05,0.05)	PLS	SK-N-SH	409019	408867	67321.96399999999	26985.277006	408809	103196.94301118879	2337187.0703912573	54793	169830	200676
HepG2_skew	[-0.05,0.05)	dELS	H1	299504	299475	71263.534	81195.444674	299365	65801.33896598314	1207724.09571224	27556	48700	85800
HepG2_skew	[-0.05,0.05)	dELS	HCT116	825545	825188	199305.809	240958.631607	824882	33523.41895039918	2543241.468723529	49077	135650	221002
HepG2_skew	[-0.05,0.05)	dELS	HepG2	746153	746088	183684.827	223225.377629	745789	74313.38087220732	2316193.7174151894	49985	127411	164508
HepG2_skew	[-0.05,0.05)	dELS	K562	954233	954122	232042.986	277245.889124	953460	15271.961907144658	2702428.4732907754	49073	149234	200352
HepG2_skew	[-0.05,0.05)	dELS	MCF-7	505376	505325	138758.942	177655.784148	504965	3803.1989525844	1785349.6587928685	34903	103042	147816
HepG2_skew	[-0.05,0.05)	dELS	SK-N-SH	296921	296912	74150.431	81736.361885	296741	92415.99385210728	1632555.2859409738	36725	58013	102043
HepG2_skew	[-0.05,0.05)	non-cCRE	H1	298342156	298179695	69826707.45299962	91479894.6860742	294785594	-29423331.298912425	335256834.6967356	4180676	6322109	1003583
HepG2_skew	[-0.05,0.05)	non-cCRE	HCT116	298342156	298179695	69826707.45299962	91479894.6860742	294785594	-29423331.298912425	335256834.6967356	4180676	6322109	1003583
HepG2_skew	[-0.05,0.05)	non-cCRE	HepG2	298342156	298179695	69826707.45299962	91479894.6860742	294785594	-29423331.298912425	335256834.6967356	4180676	6322109	1003583
HepG2_skew	[-0.05,0.05)	non-cCRE	K562	298342156	298179695	69826707.45299962	91479894.6860742	294785594	-29423331.298912425	335256834.6967356	4180676	6322109	1003583
HepG2_skew	[-0.05,0.05)	non-cCRE	MCF-7	298342156	298179695	69826707.45299962	91479894.6860742	294785594	-29423331.298912425	335256834.6967356	4180676	6322109	1003583
HepG2_skew	[-0.05,0.05)	non-cCRE	SK-N-SH	298342156	298179695	69826707.45299962	91479894.6860742	294785594	-29423331.298912425	335256834.6967356	4180676	6322109	1003583
HepG2_skew	[-0.05,0.05)	pELS	H1	260682	260605	42009.154	20767.886	260611	63226.41405215525	1215481.0474942478	27643	103179	106051
HepG2_skew	[-0.05,0.05)	pELS	HCT116	536098	535804	89735.848	54478.481582	536006	79450.13002917432	2034712.1119789903	44207	212484	188789
HepG2_skew	[-0.05,0.05)	pELS	HepG2	453360	453260	77968.474	50569.612428	453093	79319.24501888115	1754893.8949188513	39249	177429	154080
HepG2_skew	[-0.05,0.05)	pELS	K562	954312	954061	162809.84	102990.796596	953406	127145.13204428418	2964257.4716510344	67064	361578	269672
HepG2_skew	[-0.05,0.05)	pELS	MCF-7	486696	486563	84689.896	49757.229162	486696	107312.69902345879	1861504.7422484031	46025	200135	187049
HepG2_skew	[-0.05,0.05)	pELS	SK-N-SH	467273	467167	74064.39	31497.478634	467228	137850.25505099542	2022502.4875075838	50729	196143	189983
HepG2_skew	[-0.2,-0.05)	Inactive cCRE	H1	18099113	18089184	8182614.125999999	14906165.66466001	18052792	-816224.0007111998	41401223.79931517	808020	1510037	2182482
HepG2_skew	[-0.2,-0.05)	Inactive cCRE	HCT116	18037840	18028076	8154783.922999998	14838820.513225012	17991723	-758483.1566467574	41819207.02602807	820374	1494917	2161226
HepG2_skew	[-0.2,-0.05)	Inactive cCRE	HepG2	18011882	18001940	8133156.710999999	14799051.69309101	17965251	-763255.6895948228	41712903.11778671	818720	1487362	2204239
HepG2_skew	[-0.2,-0.05)	Inactive cCRE	K562	17578627	17568838	7981634.386	14597763.68434801	17532796	-763878.216801298	40661471.983255446	796597	1376068	2061525
HepG2_skew	[-0.2,-0.05)	Inactive cCRE	MCF-7	17985001	17975218	8083063.205999998	14705744.657842012	17937869	-695992.5976707948	41469399.928714864	814228	1458201	2186462
HepG2_skew	[-0.2,-0.05)	Inactive cCRE	SK-N-SH	17781847	17772083	8023999.885999999	14666671.524122013	17734857	-930418.444543865	39760102.523587614	761423	1387372	2108431
HepG2_skew	[-0.2,-0.05)	Other cCREs	H1	803626	803416	265058.504	362454.359366	802210	69475.07293486531	2873310.873104884	63342	140071	285114
HepG2_skew	[-0.2,-0.05)	Other cCREs	HCT116	565313	565096	186087.666	267996.957148	563870	16556.074925247805	1642157.7181917722	35187	74373	193836
HepG2_skew	[-0.2,-0.05)	Other cCREs	HepG2	625414	625245	215130.24599999998	311856.40856	624480	19875.643915782795	1921482.3663159292	39979	98355	200533
HepG2_skew	[-0.2,-0.05)	Other cCREs	K562	828363	828109	302155.165	445921.463125	827087	-1540.028989653108	2350016.000544255	48325	131199	258277
HepG2_skew	[-0.2,-0.05)	Other cCREs	MCF-7	690423	690114	283125.341	448943.246655	689916	-76800.08304907735	2127210.7561268406	38663	111612	188523
HepG2_skew	[-0.2,-0.05)	Other cCREs	SK-N-SH	1001923	1001559	400338.856	595642.079714	1001189	82367.01085065375	3792974.0751638776	86286	205214	292845
HepG2_skew	[-0.2,-0.05)	PLS	H1	233801	233732	41524.765	17530.948739	233688	150690.00502039405	1589200.1175502727	43762	97361	130201
HepG2_skew	[-0.2,-0.05)	PLS	HCT116	217082	217010	39400.68	18262.871732	217017	129127.04802679349	1419073.3064017051	39005	92926	121679
HepG2_skew	[-0.2,-0.05)	PLS	HepG2	202187	202130	37262.683	18809.149813	202074	113344.30399768805	1340135.7707440895	35759	87425	112129
HepG2_skew	[-0.2,-0.05)	PLS	K562	225835	225766	41670.866	20176.701898	225731	129788.35201514726	1431602.87014484	39457	96511	124884
HepG2_skew	[-0.2,-0.05)	PLS	MCF-7	235339	235264	43080.657999999996	19595.1028	235226	152240.48903801615	1532775.8637028735	43694	99499	131888
HepG2_skew	[-0.2,-0.05)	PLS	SK-N-SH	260372	260282	47452.778	20646.407316	260245	179056.20904070104	1718117.515816737	49502	108118	143325
HepG2_skew	[-0.2,-0.05)	dELS	H1	140446	140423	49178.217	70255.736825	140338	41372.82897022773	640914.3012920935	15312	25684	54309
HepG2_skew	[-0.2,-0.05)	dELS	HCT116	346031	345882	131859.518	205931.445042	345713	34483.77793121559	1227613.3620289434	26448	64279	129706
HepG2_skew	[-0.2,-0.05)	dELS	HepG2	352530	352493	130451.167	200953.199129	352349	59384.09693475789	1259190.5619457508	29403	65026	107124
HepG2_skew	[-0.2,-0.05)	dELS	K562	388911	388826	151751.11	235328.028532	388529	18997.42099667024	1255629.4482977681	24975	69405	119811
HepG2_skew	[-0.2,-0.05)	dELS	MCF-7	252550	252506	102334.008	158766.446598	252315	21610.214916469653	977998.7617973386	21355	54806	95137
HepG2_skew	[-0.2,-0.05)	dELS	SK-N-SH	137629	137623	49775.436	67159.892696	137512	52559.7489146177	784882.8983627079	18860	30153	60413
HepG2_skew	[-0.2,-0.05)	non-cCRE	H1	44212274	44186224	20108115.43099999	38852006.15403698	43677507	-7731343.610536332	59986480.17665458	651121	1322863	368472
HepG2_skew	[-0.2,-0.05)	non-cCRE	HCT116	44212274	44186224	20108115.43099999	38852006.15403698	43677507	-7731343.610536332	59986480.17665458	651121	1322863	368472
HepG2_skew	[-0.2,-0.05)	non-cCRE	HepG2	44212274	44186224	20108115.43099999	38852006.15403698	43677507	-7731343.610536332	59986480.17665458	651121	1322863	368472
HepG2_skew	[-0.2,-0.05)	non-cCRE	K562	44212274	44186224	20108115.43099999	38852006.15403698	43677507	-7731343.610536332	59986480.17665458	651121	1322863	368472
HepG2_skew	[-0.2,-0.05)	non-cCRE	MCF-7	44212274	44186224	20108115.43099999	38852006.15403698	43677507	-7731343.610536332	59986480.17665458	651121	1322863	368472
HepG2_skew	[-0.2,-0.05)	non-cCRE	SK-N-SH	44212274	44186224	20108115.43099999	38852006.15403698	43677507	-7731343.610536332	59986480.17665458	651121	1322863	368472
HepG2_skew	[-0.2,-0.05)	pELS	H1	139702	139679	27130.493	16927.453489	139670	76879.3460306572	745084.5211739108	20503	56082	68860
HepG2_skew	[-0.2,-0.05)	pELS	HCT116	250422	250370	53374.318	42322.375932	250375	100509.50800844454	1141682.1997858032	29925	102740	114519
HepG2_skew	[-0.2,-0.05)	pELS	HepG2	224675	224626	49505.298	42663.712486	224544	92844.89699153855	1016021.7956438273	27078	91067	96941
HepG2_skew	[-0.2,-0.05)	pELS	K562	394952	394895	88294.578	74144.285176	394555	138825.7250240781	1551013.3101939938	41585	156052	156469
HepG2_skew	[-0.2,-0.05)	pELS	MCF-7	253375	253332	53902.892	40284.709184	253372	121135.22901033054	1142348.3020944041	32999	105117	118956
HepG2_skew	[-0.2,-0.05)	pELS	SK-N-SH	234917	234887	43939.149	23214.259231	234895	138628.72798283788	1193656.5995053845	34868	98378	115952
HepG2_skew	[-0.5,-0.2)	Inactive cCRE	H1	3542806	3541198	1873632.303	3602210.761591	3532997	-239905.22601046396	9199721.383000812	176026	335389	676967
HepG2_skew	[-0.5,-0.2)	Inactive cCRE	HCT116	3525267	3523689	1863375.705	3575616.168251	3515484	-239793.33093884704	9222780.52195628	176409	333031	667485
