skew_type	skew_bin	ccre_class	af_class	mut_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint
HepG2_skew	(-Inf,-1.5)	dELS	LOW_FREQ	non-CpG-ti	251	251	34.507	5.879315	251	88.11999879754157	768.7366103433903	18	28	117
HepG2_skew	(-Inf,-1.5)	dELS	LOW_FREQ	non-CpG-tv	243	243	14.647	1.370413	243	-0.8930008737370537	662.5761843702326	15	27	100
HepG2_skew	(-Inf,-1.5)	dELS	RARE	CpG	1988	1988	4500.992	10911.619162	1985	-1716.5730017177975	7217.589437552179	44	193	644
HepG2_skew	(-Inf,-1.5)	dELS	RARE	non-CpG-ti	638	638	90.993	16.093573	637	441.8060019225813	2585.9827171450556	75	69	321
HepG2_skew	(-Inf,-1.5)	dELS	RARE	non-CpG-tv	557	557	34.107	3.421027	556	149.72000124119225	2084.984864959361	55	39	251
HepG2_skew	(-Inf,-1.5)	dELS	SINGLETON	CpG	2087	2087	4142.0960000000005	9232.922536	2084	-1380.537999760825	7150.787696806986	59	224	734
HepG2_skew	(-Inf,-1.5)	dELS	SINGLETON	non-CpG-ti	6275	6275	852.796	140.453772	6271	4201.739998494859	25112.13381434731	754	593	3144
HepG2_skew	(-Inf,-1.5)	dELS	SINGLETON	non-CpG-tv	6429	6429	371.128	36.298332	6420	1523.5999980316262	22396.525547553916	560	663	2962
HepG2_skew	(-Inf,-1.5)	dELS	SINGLETON	unknown	1	0	0	0	1	-0.244000002741814	0.0595360013380051	0	0	1
HepG2_skew	(-Inf,-1.5)	dELS	ULTRARARE	CpG	7984	7984	17301.249	40519.797641	7982	-6150.312000161972	28908.393272407662	217	817	2674
HepG2_skew	(-Inf,-1.5)	dELS	ULTRARARE	non-CpG-ti	4151	4151	574.153	97.583143	4146	2549.004996118602	15188.776322895459	480	367	2034
HepG2_skew	(-Inf,-1.5)	dELS	ULTRARARE	non-CpG-tv	3675	3675	230.204	24.502828	3674	459.46400098572514	13145.215962775552	283	347	1662
HepG2_skew	(-Inf,-1.5)	dELS	ULTRARARE	unknown	1	0	0	0	1	0.637000024318695	0.405769030982018	0	0	0
HepG2_skew	(-Inf,-1.5)	non-cCRE	COMMON	CpG	1263	1263	2707.159	6449.090001	1260	-1298.7589992792346	3672.5653143676395	3	59	18
HepG2_skew	(-Inf,-1.5)	non-cCRE	COMMON	non-CpG-ti	328	328	49.028	8.699324	324	-12.876999774831347	163.89805306722147	1	19	8
HepG2_skew	(-Inf,-1.5)	non-cCRE	COMMON	non-CpG-tv	298	298	21.365	2.520387	295	-166.86399965360758	511.064917848295	1	19	5
HepG2_skew	(-Inf,-1.5)	non-cCRE	COMMON	unknown	1	0	0	0	1	-2.88400006294251	8.31745636305237	0	0	0
HepG2_skew	(-Inf,-1.5)	non-cCRE	LOW_FREQ	CpG	1646	1646	3922.784	9815.264622	1644	-1775.6999968960897	5278.812689515138	2	54	23
HepG2_skew	(-Inf,-1.5)	non-cCRE	LOW_FREQ	non-CpG-ti	362	362	55.197	9.965185	358	35.63300067652016	270.72285603245666	6	11	9
HepG2_skew	(-Inf,-1.5)	non-cCRE	LOW_FREQ	non-CpG-tv	371	371	26.491	3.027041	368	-123.6040008254349	567.2281282106366	4	17	3
HepG2_skew	(-Inf,-1.5)	non-cCRE	LOW_FREQ	unknown	1	0	0	0	1	-4.7039999961853	22.1276159641113	0	0	0
HepG2_skew	(-Inf,-1.5)	non-cCRE	RARE	CpG	5039	5039	11960.92	29773.769574	5024	-5465.626992909704	16308.446285777016	11	171	75
HepG2_skew	(-Inf,-1.5)	non-cCRE	RARE	non-CpG-ti	952	952	153.895	29.994771	947	12.240000407677122	549.6976045521208	7	40	23
HepG2_skew	(-Inf,-1.5)	non-cCRE	RARE	non-CpG-tv	858	858	58.912	6.257574	850	-329.8650016309694	1585.1848041940398	11	35	25
HepG2_skew	(-Inf,-1.5)	non-cCRE	RARE	unknown	2	0	0	0	2	-1.081000052392481	1.3127051223200632	0	0	0
HepG2_skew	(-Inf,-1.5)	non-cCRE	SINGLETON	CpG	3861	3861	8041.1939999999995	18095.423222	3857	-3196.4199987122565	9907.566880125296	25	177	99
HepG2_skew	(-Inf,-1.5)	non-cCRE	SINGLETON	non-CpG-ti	8654	8654	1284.011	223.382405	8580	1032.6730066104792	6496.817071994167	124	352	249
HepG2_skew	(-Inf,-1.5)	non-cCRE	SINGLETON	non-CpG-tv	8815	8815	572.585	60.938148999999996	8753	-2745.025995326577	15288.487352483484	110	408	265
HepG2_skew	(-Inf,-1.5)	non-cCRE	SINGLETON	unknown	8	0	0	0	8	-2.629999935626983	4.518725879858984	0	0	0
HepG2_skew	(-Inf,-1.5)	non-cCRE	ULTRARARE	CpG	17086	17086	39057.53	94371.874692	17056	-16543.304980533427	48160.349998232385	53	693	254
HepG2_skew	(-Inf,-1.5)	non-cCRE	ULTRARARE	non-CpG-ti	5810	5810	912.519	171.822511	5745	462.58000663016	4019.003601066991	67	253	137
