skew_type	skew_bin	ccre_class	af_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint
HepG2_skew	[-0.05,0.05)	non-cCRE	COMMON	6730454	6723538	2390977.423	3947247.898775	6654534	-2384062.2222945234	10012494.011714824	63698	183846	21630
HepG2_skew	[-0.05,0.05)	non-cCRE	LOW_FREQ	7524544	7515183	3146392.608	5754219.295147998	7411526	-1662948.031210177	9913851.195678022	87630	162960	25765
HepG2_skew	[-0.05,0.05)	non-cCRE	RARE	18714082	18691766	8782787.537999999	16729551.423316007	18416353	-4143383.3254922954	25001147.145935852	223461	412533	65710
HepG2_skew	[-0.05,0.05)	non-cCRE	SINGLETON	157618909	157558731	21506633.794	12579748.530994153	155960320	-5983943.545565496	161614193.75984818	2379251	3244187	517826
HepG2_skew	[-0.05,0.05)	non-cCRE	ULTRARARE	107754167	107690477	33999916.09	52469127.53784195	106342861	-15248994.174349934	128715148.58355843	1426636	2318583	372652
HepG2_skew	[-0.05,0.05)	pELS	COMMON	122277	122161	37734.629	52525.789603	122106	-31414.15196676042	287861.8237707325	3884	28796	14872
HepG2_skew	[-0.05,0.05)	pELS	LOW_FREQ	143761	143640	52447.748999999996	80646.615163	143481	-14745.721995368942	350126.7021632462	5927	29347	18385
HepG2_skew	[-0.05,0.05)	pELS	RARE	367349	366746	145523.443	232026.271657	366809	-32098.218013120248	946209.5174725075	16572	76139	48059
HepG2_skew	[-0.05,0.05)	pELS	SINGLETON	3278547	3276663	497885.522	331163.795092	3276035	417621.9689013193	7406305.6130692465	181141	683562	415884
HepG2_skew	[-0.05,0.05)	pELS	ULTRARARE	2236171	2232666	695088.304	959031.956972	2233858	-4453.70389424603	5479313.871542762	111676	469112	289969
HepG2_skew	[-0.2,-0.05)	Other cCREs	COMMON	109501	109386	76623.003	157520.658435	108796	-48183.42396537227	216890.31651634385	1684	5034	5777
HepG2_skew	[-0.2,-0.05)	Other cCREs	LOW_FREQ	127587	127375	107772.934	237594.65028	126438	-43593.701965667555	251470.5118695932	2377	4926	6761
HepG2_skew	[-0.2,-0.05)	Other cCREs	RARE	330272	329754	311238.65499999997	697019.169533	327157	-118405.79888790182	664494.4954687061	6387	13087	17993
HepG2_skew	[-0.2,-0.05)	Other cCREs	SINGLETON	2140383	2139073	412878.49	469582.060388	2130403	538.7832756254544	3185496.1235726383	62037	70988	114138
HepG2_skew	[-0.2,-0.05)	Other cCREs	ULTRARARE	1694892	1693412	1088278.921	2206525.830821	1684040	-369239.1136220421	3064327.574693216	39163	62605	91746
HepG2_skew	[-0.2,-0.05)	PLS	COMMON	7104	7097	2452.234	3309.606234	7093	-925.6809985671424	29410.799329123827	567	2737	2672
HepG2_skew	[-0.2,-0.05)	PLS	LOW_FREQ	9881	9872	3884.7470000000003	5653.312671	9864	2063.2910044679875	51302.48459199344	1199	3403	4129
HepG2_skew	[-0.2,-0.05)	PLS	RARE	27486	27196	11190.877	16558.462709	27444	8804.805998380298	149489.2738542109	3741	9630	11569
HepG2_skew	[-0.2,-0.05)	PLS	SINGLETON	222483	222301	42083.55	28718.201344	222336	142796.77901673902	1277846.952968462	37333	78288	96661
HepG2_skew	[-0.2,-0.05)	PLS	ULTRARARE	164515	163853	54435.373999999996	68861.653042	164377	77202.92398605742	941086.2000076518	25217	57265	70991
HepG2_skew	[-0.2,-0.05)	dELS	COMMON	284805	284670	188365.78	367401.067698	284318	-109026.28498708106	727894.6101453378	8319	28227	41266
HepG2_skew	[-0.2,-0.05)	dELS	LOW_FREQ	345612	345437	275516.7	575665.2882140001	344970	-92320.69100862613	920460.3880109873	12971	28859	52883
HepG2_skew	[-0.2,-0.05)	dELS	RARE	905857	905385	802257.604	1704817.544022	904090	-249828.54797679157	2536591.3615290686	36203	76482	141000
HepG2_skew	[-0.2,-0.05)	dELS	SINGLETON	6142399	6141028	1254941.805	1458000.147975	6133830	798608.9655311593	14418747.3148789	351261	495715	897304
HepG2_skew	[-0.2,-0.05)	dELS	ULTRARARE	4914667	4913321	3197481.963	6249950.617365	4906689	-664372.8291616644	13059543.10034955	227933	412636	749124
HepG2_skew	[-0.2,-0.05)	non-cCRE	COMMON	1130833	1129860	795369.559	1668781.908111	1118384	-548307.3755248328	2048181.349622192	10108	42032	8136
HepG2_skew	[-0.2,-0.05)	non-cCRE	LOW_FREQ	1297229	1295715	1114447.093	2512460.455999	1278125	-496409.0504871728	2191933.35049696	13985	39348	10518
HepG2_skew	[-0.2,-0.05)	non-cCRE	RARE	3359382	3355710	3222420.824	7369165.1244	3308616	-1361420.9067222783	5889534.038029007	36461	105483	27553
HepG2_skew	[-0.2,-0.05)	non-cCRE	SINGLETON	21390793	21381443	3951040.099999994	4545442.435900003	21151938	-872034.3472903447	24247354.489497673	364837	610393	176721
HepG2_skew	[-0.2,-0.05)	non-cCRE	ULTRARARE	17034037	17023496	11024837.854999995	22756156.229627006	16820444	-4453171.930511702	25609476.94900868	225730	525607	145544
HepG2_skew	[-0.2,-0.05)	pELS	COMMON	40420	40381	20636.179	35145.021237	40349	-12058.653001234059	107515.5155115027	1469	10523	7460
HepG2_skew	[-0.2,-0.05)	pELS	LOW_FREQ	50502	50447	30939.058	57468.269872	50372	-7402.131987714907	149231.5602524753	2523	11793	10216
HepG2_skew	[-0.2,-0.05)	pELS	RARE	133907	133637	89366.603	169056.228093	133640	-17660.141999563206	408900.5813107269	7355	31112	27500
HepG2_skew	[-0.2,-0.05)	pELS	SINGLETON	1000314	999726	206269.775	202048.520641	999394	221753.24496510113	2806118.4812219674	74627	243261	211123
HepG2_skew	[-0.2,-0.05)	pELS	ULTRARARE	764101	763083	388891.853	662437.852505	763098	3441.458029639675	2282915.966353863	48573	182664	160653
HepG2_skew	[-0.5,-0.2)	Other cCREs	COMMON	20817	20799	17548.395	37710.706993	20645	-10769.417995445549	45004.9771944213	292	1093	1744
HepG2_skew	[-0.5,-0.2)	Other cCREs	LOW_FREQ	24987	24962	24818.455	56694.360047	24753	-10535.030991078238	51189.39005991286	392	1016	2233
HepG2_skew	[-0.5,-0.2)	Other cCREs	RARE	65394	65314	71351.72	165504.31284	64768	-28627.14797756239	139833.8223080052	1113	2886	5957
HepG2_skew	[-0.5,-0.2)	Other cCREs	SINGLETON	382360	382150	84352.815	106664.317955	380361	-14919.353940454552	604371.8659107591	10677	13956	36337
HepG2_skew	[-0.5,-0.2)	Other cCREs	ULTRARARE	322994	322781	242603.503	511445.117855	320815	-92899.58290041926	626081.703596195	6882	13345	29796
HepG2_skew	[-0.5,-0.2)	PLS	COMMON	2099	2092	747.931	1010.876259	2097	317.23899858584616	10352.228418959496	252	919	965
HepG2_skew	[-0.5,-0.2)	PLS	LOW_FREQ	3150	3148	1191.619	1719.647227	3149	2034.5690011613763	18467.091461977718	593	1145	1593
HepG2_skew	[-0.5,-0.2)	PLS	RARE	8911	8888	3633.262	5369.10449	8901	7970.0520058512975	69537.90400263574	1955	3334	4539
