vep_consequence	af_class	mut_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved
TF binding site variant	SINGLETON	CpG	22729	22729	34645.132	65222.565264	22520	-15604.679999059063	80555.39768461711	709
TF binding site variant	SINGLETON	non-CpG-ti	328324	328324	47673.866	8803.942456	322531	60255.67899111135	774294.5730537844	20060
TF binding site variant	SINGLETON	non-CpG-tv	247127	247127	15163.948	1686.416696	239905	32023.368978226194	605663.4539946511	14570
TF binding site variant	SINGLETON	unknown	1633	0	0	0	238	-6.2130002190824545	69.41574794434112	0
TF binding site variant	ULTRARARE	CpG	71167	71167	131892.791	278767.606363	69782	-55994.91299332143	256169.01086814672	1665
TF binding site variant	ULTRARARE	non-CpG-ti	215383	215383	33551.693	6880.190589	210122	27710.578952956123	522442.0832825869	12621
TF binding site variant	ULTRARARE	non-CpG-tv	144817	144817	10036.703	1423.066075	138582	13328.00900504005	355612.99279949645	8136
TF binding site variant	ULTRARARE	unknown	2035	0	0	0	206	-27.846000164747238	116.37475881787172	1
coding sequence variant	COMMON	CpG	2	2	0.8500000000000001	0.39878800000000003	2	0.9159999638795809	1.1637279109210954	0
coding sequence variant	COMMON	non-CpG-ti	4	4	0.322	0.027404	4	-0.506999984383586	4.3178828801078835	0
coding sequence variant	COMMON	non-CpG-tv	3	3	0.23399999999999999	0.032076	3	0.16499998793005982	0.1886249938309195	0
coding sequence variant	LOW_FREQ	non-CpG-ti	2	2	0.19	0.019018	2	0.250999927520752	5.97240507385254	0
coding sequence variant	LOW_FREQ	non-CpG-tv	1	1	0.117	0.013689	1	-2.125	4.515625	0
coding sequence variant	RARE	CpG	3	3	4.228	8.13753	3	6.06299984455109	29.046367045837464	1
coding sequence variant	RARE	non-CpG-ti	5	5	0.836	0.19082400000000002	5	3.1800001859664935	69.90330505051236	2
coding sequence variant	RARE	non-CpG-tv	9	9	0.788	0.10524	9	-1.562999874353408	22.124198216498844	1
coding sequence variant	RARE	unknown	4	0	0	0	4	0.784000009298325	0.2747680070467	0
coding sequence variant	SINGLETON	CpG	8	8	8.86	16.454424	8	-2.919999781996014	25.374552067444846	1
coding sequence variant	SINGLETON	non-CpG-ti	34	34	5.335	1.377429	34	17.797999853268276	101.2134139120852	4
coding sequence variant	SINGLETON	non-CpG-tv	34	34	2.464	0.353474	34	31.41399961709981	356.74006655880925	10
coding sequence variant	ULTRARARE	CpG	11	11	10.651	19.220001	11	1.5089998175390114	52.69796668774279	2
coding sequence variant	ULTRARARE	non-CpG-ti	31	31	4.429	0.768103	31	20.217999715357976	200.1377433853714	5
coding sequence variant	ULTRARARE	non-CpG-tv	20	20	1.56	0.188088	20	-3.1409999839961444	115.15452805610593	2
coding sequence variant	ULTRARARE	unknown	8	0	0	0	8	2.09299974143505	16.6884108730092	0
downstream gene variant	COMMON	CpG	72501	72501	143750.134	320820.059718	72177	-68398.98796760956	210954.58661819433	358
downstream gene variant	COMMON	non-CpG-ti	237583	237583	35067.387	6987.642095	236727	-76505.17094471995	384700.37839788065	3214
downstream gene variant	COMMON	non-CpG-tv	148374	148374	11380.332	4778.013	147735	-44470.73697437276	231565.37785200911	2059
downstream gene variant	COMMON	unknown	334	0	0	0	325	-184.70599952992058	686.9636203353344	1
downstream gene variant	LOW_FREQ	CpG	92521	92521	205153.644	486357.445282	92009	-84130.8999572464	262717.10198929725	568
downstream gene variant	LOW_FREQ	non-CpG-ti	249515	249515	38431.427	7921.527901	248656	-27280.18496673752	325786.60731295275	4277
downstream gene variant	LOW_FREQ	non-CpG-tv	159587	159587	12175.721	4120.862599	158812	-21275.040963972213	219621.0999843417	2756
downstream gene variant	LOW_FREQ	unknown	349	0	0	0	334	-151.2499995296821	437.47790757967095	0
downstream gene variant	RARE	CpG	269535	269535	600695.444	1427736.761666	268054	-245934.91988935365	773656.2520477973	1701
downstream gene variant	RARE	non-CpG-ti	597425	597425	92874.777	19465.726907	595238	-53540.72390221919	775875.6234764314	10710
downstream gene variant	RARE	non-CpG-tv	386370	386370	29003.834	8581.416496	384445	-42614.38289665419	536124.9779922136	6988
downstream gene variant	RARE	unknown	923	0	0	0	874	-365.0559987472372	1381.3594595240781	4
downstream gene variant	SINGLETON	CpG	232986	232986	441977.78	926584.533106	232188	-182523.39688627722	629262.8460199444	2549
downstream gene variant	SINGLETON	non-CpG-ti	5560459	5560459	797987.768	147511.206208	5545643	-60191.97409992454	6581058.288339069	110794
downstream gene variant	SINGLETON	non-CpG-tv	4046952	4046952	234923.825	25606.088915	4033030	-116112.84423327325	5078751.817706308	81799
downstream gene variant	SINGLETON	unknown	3243	0	0	0	3117	-636.3579992000015	2849.6661635176824	12
downstream gene variant	ULTRARARE	CpG	952996	952996	2018620.58	4580641.212168	949712	-832288.4325670612	2686452.957541235	7435
downstream gene variant	ULTRARARE	non-CpG-ti	3679338	3679338	568230.335	116730.265373	3667885	-215843.09145773214	4578974.898845738	68599
downstream gene variant	ULTRARARE	non-CpG-tv	2357973	2357973	156433.842	25393.979158000002	2348178	-151586.00248722616	3082631.59553098	45841
downstream gene variant	ULTRARARE	unknown	3061	0	0	0	2940	-788.8510011839679	3840.4299293294025	27
