vep_consequence	mut_class	n_COMMON	n_SINGLETON	sum_MR_COMMON	sum_MR_SINGLETON	sum_MR_sq_COMMON	sum_MR_sq_SINGLETON	n_phyloP_COMMON	n_phyloP_SINGLETON	sum_phyloP_COMMON	sum_phyloP_SINGLETON	sum_phyloP_sq_COMMON	sum_phyloP_sq_SINGLETON	n_conserved_COMMON	n_conserved_SINGLETON	gw_SINGLETON	gw_COMMON	odds	lci	uci	log2odds	log2lci	log2uci
intergenic variant	non-CpG transition	1586104	37038289	245227.98	5523819.262999992	51271.776892	1075171.6961950008	1548855	36153998	-499547.9315749792	-1385498.7139233686	2122547.9041614314	35647625.42027644	15369	549521	160782109	6484763	0.9244187821721047	0.9227653301503419	0.9261341403468973	-0.11338152236949119	-0.11596429433394503	-0.11070692775423566
intergenic variant	non-CpG transversion	1005046	27689052	76288.308	1680032.943000001	27242.372258	193281.97283699908	973712	26778155	-301430.102710954	-1319892.1426539416	1326253.9438026077	27577936.32174298	10005	414595	116922263	4010613	0.9279363772774261	0.9258349212299034	0.9300531621940831	-0.10790220260880455	-0.11117311474292652	-0.10461491131001105
intron variant	CpG transition	1069831	3702457	2127393.312	6966845.129	4743090.6462199995	14471740.122855004	1065297	3694232	-958530.2154581848	-2651217.7657051915	2973630.384101276	10142880.280662963	6226	57066	6454395	1815018	0.9371110588051651	0.9339863364274956	0.9402702102494435	-0.09370806035096887	-0.09852665042617388	-0.0888526838761907
intron variant	non-CpG transition	3811519	96340938	584251.884	13943259.525000058	133178.673578	2772224.351035028	3801918	96146669	-1127801.754400794	754212.4102364165	6293576.58365345	126652312.5256056	58803	2352097	160782109	6484763	1.0485214074772604	1.0469011339531202	1.0502135583880474	0.06835631698624431	0.06612520512424602	0.07068272627196512
intron variant	non-CpG transversion	2334067	69108333	172508.352	3825798.439999979	70726.145124	400074.643213999	2325990	68919102	-565586.4526379119	1127220.3405289506	3583395.962187134	93169304.6168806	38532	1774722	116922263	4010613	1.0382176847553308	1.0361157246305717	1.0402972113183317	0.05410896757895846	0.05118514783778348	0.05699576301787572
mature miRNA variant	CpG transition	47	370	82.688	536.397	178.164378	1034.274783	47	370	-45.779999613761895	509.10400008968986	136.92128907988135	5671.453435471106	0	102	6454395	1815018	2.173491763520345	1.6060325410348915	3.000842985403044	1.1200146285118497	0.6835011246821564	1.5853678340623123
mature miRNA variant	non-CpG transition	82	2876	11.808	412.263	2.220766	76.272173	80	2870	-12.605999324470764	3395.661985381856	235.6573573674251	27861.466553631977	4	619	160782109	6484763	1.3980477846805195	1.1239048103982985	1.76069600509267	0.48341367226088466	0.16851985105550438	0.8161458405693811
mature miRNA variant	non-CpG transversion	47	2111	3.617	126.544	0.631467	13.48249	41	2108	-9.188000171445315	2369.781000447228	157.85945956593764	21844.92608286991	2	456	116922263	4010613	1.5092817256893234	1.1341536985638652	2.0535498022926397	0.593862127480666	0.18161616508638384	1.0381199357023443
missense variant	CpG transition	11013	236500	20169.153	391597.406	42488.283249	782774.814676	11003	236420	10927.019966799657	1158997.7277289531	147176.77612234416	9158890.572659526	3253	168341	6454395	1815018	6.229970217508188	6.111130761249769	6.351216930270427	2.6392252664345186	2.61143935102795	2.667033047169563
missense variant	non-CpG transition	21456	1137702	3250.457	166665.054	762.600503	34850.123496	21429	1136796	29624.434964161243	4449177.282057075	239195.2588436468	30537798.99643987	6777	715570	160782109	6484763	2.146649029687701	2.1177525900546144	2.175959594586721	1.1020863344106846	1.0825340539429285	1.1216517674197881
