skew_type	skew_bin	ccre_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	prop	variant_type
mean_skew	[-0.05,0.05)	pELS	660704	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5806038876586171	Indel
mean_skew	[-0.2,-0.05)	PLS	39818	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.20821284584050156	Indel
mean_skew	[-0.2,-0.05)	dELS	1137608	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.16420723222688616	Indel
mean_skew	[-0.2,-0.05)	non-cCRE	5740538	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.12673414679021985	Indel
mean_skew	[-0.2,-0.05)	pELS	190899	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.16775545713381843	Indel
mean_skew	[-0.5,-0.2)	PLS	13376	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.06994462368683885	Indel
mean_skew	[-0.5,-0.2)	dELS	190066	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.02743494402327985	Indel
mean_skew	[-0.5,-0.2)	non-cCRE	528657	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.011671187237098205	Indel
mean_skew	[-0.5,-0.2)	pELS	36263	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.03186667369679075	Indel
mean_skew	[-1.0,-0.5)	PLS	3995	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.02089030888374112	Indel
mean_skew	[-1.0,-0.5)	dELS	39115	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.005646027356132035	Indel
mean_skew	[-1.0,-0.5)	non-cCRE	54911	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0012122729149075856	Indel
mean_skew	[-1.0,-0.5)	pELS	7617	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.006693556891279131	Indel
mean_skew	[-1.5,-1.0)	PLS	925	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.004836930091980108	Indel
mean_skew	[-1.5,-1.0)	dELS	8254	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0011914178652055174	Indel
mean_skew	[-1.5,-1.0)	non-cCRE	9427	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.0812035418830125e-4	Indel
mean_skew	[-1.5,-1.0)	pELS	1592	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0013989946922563182	Indel
mean_skew	[0.05,0.2)	PLS	37849	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.19791672113660014	Indel
mean_skew	[0.05,0.2)	dELS	1087839	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.157023360681767	Indel
mean_skew	[0.05,0.2)	non-cCRE	5357920	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.11828706991753295	Indel
mean_skew	[0.05,0.2)	pELS	194111	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.17057805195261697	Indel
mean_skew	[0.2,0.5)	PLS	11061	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.057839225672856195	Indel
mean_skew	[0.2,0.5)	dELS	179671	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.02593448500840084	Indel
mean_skew	[0.2,0.5)	non-cCRE	524651	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.011582746573167121	Indel
mean_skew	[0.2,0.5)	pELS	37291	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.03277004464128792	Indel
mean_skew	[0.5,1.0)	PLS	2307	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.012063565105079038	Indel
mean_skew	[0.5,1.0)	dELS	32085	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.004631286916055128	Indel
mean_skew	[0.5,1.0)	non-cCRE	66340	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0014645915240110222	Indel
mean_skew	[0.5,1.0)	pELS	7208	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0063341417976027275	Indel
mean_skew	[1.0,1.5)	PLS	359	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0018772517870495771	Indel
mean_skew	[1.0,1.5)	dELS	5996	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.654884322476718e-4	Indel
mean_skew	[1.0,1.5)	non-cCRE	10087	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.2269120745702713e-4	Indel
mean_skew	[1.0,1.5)	pELS	1365	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0011995149214383634	Indel
mean_skew	[1.5,Inf)	PLS	84	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.3924554348792334e-4	Indel
mean_skew	[1.5,Inf)	dELS	1730	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.4971564172589596e-4	Indel
mean_skew	[1.5,Inf)	non-cCRE	2987	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.594414956618816e-5	Indel
mean_skew	[1.5,Inf)	pELS	397	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.4886990755386834e-4	Indel
