skew_type	ccre_class	skew_bin_coarse	COMMON	SINGLETON	gw_COMMON	gw_SINGLETON	odds	lci	uci
mean_skew	PLS	< -0.5	64	2999	3204935	25747115	5.745669153523374	4.494553032736582	7.4642170747328525
mean_skew	PLS	[-0.5,-0.2)	266	6894	3204935	25747115	3.21509773410115	2.84455028973893	3.6465136309493724
mean_skew	PLS	[-0.2,-0.05)	1310	19287	3204935	25747115	1.8319891627891778	1.7321975474548315	1.9389082518990428
mean_skew	PLS	[-0.05,0.05)	4065	38175	3204935	25747115	1.1690103087606452	1.1317414017141196	1.207690517938287
mean_skew	PLS	[0.05,0.2)	1344	17975	3204935	25747115	1.6641116836571936	1.5742715430895386	1.7602623850988708
mean_skew	PLS	[0.2,0.5)	303	5519	3204935	25747115	2.26052111559733	2.0135826437196025	2.545672596804987
mean_skew	PLS	> 0.5	46	1453	3204935	25747115	3.8510192608216274	2.8807267692835583	5.2651437606938
mean_skew	pELS	< -0.5	182	5394	3204935	25747115	3.670266235131937	3.1670573990485402	4.276404205177354
mean_skew	pELS	[-0.5,-0.2)	906	19015	3204935	25747115	2.610964334111307	2.4424576736129096	2.7936731360657268
mean_skew	pELS	[-0.2,-0.05)	7502	92823	3204935	25747115	1.5419371950839942	1.5059716455566896	1.5789073083898029
mean_skew	pELS	[-0.05,0.05)	36858	309577	3204935	25747115	1.046040849220943	1.034745326378693	1.057500743444913
mean_skew	pELS	[0.05,0.2)	8127	92824	3204935	25747115	1.4231077692430163	1.391158146229135	1.4559496295028949
mean_skew	pELS	[0.2,0.5)	994	19253	3204935	25747115	2.4097892454699075	2.2609952899792547	2.570980079982244
mean_skew	pELS	> 0.5	156	4804	3204935	25747115	3.8101713662399104	3.249570763083666	4.4954616516069645
mean_skew	dELS	< -0.5	968	27944	3204935	25747115	3.5926229515282424	3.369330077146107	3.834426536287203
mean_skew	dELS	[-0.5,-0.2)	5026	101069	3204935	25747115	2.5085974053661815	2.438555165767817	2.5813131306891983
mean_skew	dELS	[-0.2,-0.05)	44366	560167	3204935	25747115	1.5843375792403467	1.5690040254779498	1.5999178167887849
mean_skew	dELS	[-0.05,0.05)	234189	2021042	3204935	25747115	1.0805802873276504	1.0757158578301578	1.0853578984113288
mean_skew	dELS	[0.05,0.2)	46496	522894	3204935	25747115	1.4081347181539792	1.394791056779298	1.4216821377642361
mean_skew	dELS	[0.2,0.5)	4877	93543	3204935	25747115	2.3921286825419084	2.324055274851801	2.462429218550603
mean_skew	dELS	> 0.5	951	20851	3204935	25747115	2.727876498468531	2.556117848608414	2.914084518166701
mean_skew	non-cCRE	< -0.5	1605	37047	3204935	25747115	2.874206643737549	2.733867213579585	3.023485241865558
mean_skew	non-cCRE	[-0.5,-0.2)	15850	265447	3204935	25747115	2.0958524153776907	2.0623361810691514	2.1299138519197185
mean_skew	non-cCRE	[-0.2,-0.05)	268424	2614919	3204935	25747115	1.2366585011377247	1.2315747123744747	1.241807165225865
mean_skew	non-cCRE	[-0.05,0.05)	2048413	14734004	3204935	25747115	0.7553496414833143	0.7535213157449855	0.7571962348648854
mean_skew	non-cCRE	[0.05,0.2)	281445	2405818	3204935	25747115	1.070666754743523	1.0662950478011912	1.0750385374115798
mean_skew	non-cCRE	[0.2,0.5)	15584	270906	3204935	25747115	2.176113012088026	2.1411662545669605	2.2118719838915597
mean_skew	non-cCRE	> 0.5	1915	42057	3204935	25747115	2.735234082390247	2.6125923529919657	2.8650443208060636
mean_skew	Other cCREs	< -0.5	385	8571	3204935	25747115	2.7648924696632493	2.496483333679462	3.069725981242616
mean_skew	Other cCREs	[-0.5,-0.2)	1879	33604	3204935	25747115	2.226637895042882	2.1254435696609573	2.333751597774987
mean_skew	Other cCREs	[-0.2,-0.05)	20450	213630	3204935	25747115	1.3027904543983009	1.2841989062119832	1.3217982908979806
mean_skew	Other cCREs	[-0.05,0.05)	126481	897108	3204935	25747115	0.8786824225295701	0.8734310421518856	0.883936629493185
mean_skew	Other cCREs	[0.05,0.2)	21319	202705	3204935	25747115	1.1850011201715782	1.1682968766512092	1.2018995704493807
mean_skew	Other cCREs	[0.2,0.5)	1869	31481	3204935	25747115	2.096955140302217	2.0012786305593417	2.1982854490511183
mean_skew	Other cCREs	> 0.5	320	6316	3204935	25747115	2.4499658729081375	2.1896412503863107	2.749283254115309
