emvar_class	ccre_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	total	prop	variant_type
K562	pELS	13198	NA	NA	NA	NA	NA	NA	NA	NA	NA	37331	0.35353995338994404	Indel
K562+HepG2	PLS	706	NA	NA	NA	NA	NA	NA	NA	NA	NA	14693	0.048050091880487304	Indel
K562+HepG2	dELS	11211	NA	NA	NA	NA	NA	NA	NA	NA	NA	192265	0.05831014485215718	Indel
K562+HepG2	non-cCRE	20009	NA	NA	NA	NA	NA	NA	NA	NA	NA	355218	0.056328789644668906	Indel
K562+HepG2	pELS	2299	NA	NA	NA	NA	NA	NA	NA	NA	NA	37331	0.06158420615574188	Indel
K562+HepG2+SKNSH	PLS	4561	NA	NA	NA	NA	NA	NA	NA	NA	NA	14693	0.31041992785680256	Indel
K562+HepG2+SKNSH	dELS	47867	NA	NA	NA	NA	NA	NA	NA	NA	NA	192265	0.24896366993472552	Indel
K562+HepG2+SKNSH	non-cCRE	74963	NA	NA	NA	NA	NA	NA	NA	NA	NA	355218	0.21103378770219977	Indel
K562+HepG2+SKNSH	pELS	10240	NA	NA	NA	NA	NA	NA	NA	NA	NA	37331	0.2743028582143527	Indel
K562+SKNSH	PLS	1322	NA	NA	NA	NA	NA	NA	NA	NA	NA	14693	0.08997481794051589	Indel
K562+SKNSH	dELS	9918	NA	NA	NA	NA	NA	NA	NA	NA	NA	192265	0.0515850518815177	Indel
K562+SKNSH	non-cCRE	18832	NA	NA	NA	NA	NA	NA	NA	NA	NA	355218	0.05301533143027662	Indel
K562+SKNSH	pELS	2105	NA	NA	NA	NA	NA	NA	NA	NA	NA	37331	0.056387452787227774	Indel
SKNSH	PLS	2028	NA	NA	NA	NA	NA	NA	NA	NA	NA	14693	0.1380249098210032	Indel
SKNSH	dELS	29497	NA	NA	NA	NA	NA	NA	NA	NA	NA	192265	0.15341845889787534	Indel
SKNSH	non-cCRE	64351	NA	NA	NA	NA	NA	NA	NA	NA	NA	355218	0.18115917549223293	Indel
SKNSH	pELS	4769	NA	NA	NA	NA	NA	NA	NA	NA	NA	37331	0.12774905574455547	Indel
