skew_type	skew_bin	ccre_class	indel_class	n
HepG2_skew	(-Inf,-1.5)	pELS	del_8	13
HepG2_skew	(-Inf,-1.5)	pELS	del_9	9
HepG2_skew	(-Inf,-1.5)	pELS	ins_1	28
HepG2_skew	(-Inf,-1.5)	pELS	ins_10plus	6
HepG2_skew	(-Inf,-1.5)	pELS	ins_2	16
HepG2_skew	(-Inf,-1.5)	pELS	ins_3	6
HepG2_skew	(-Inf,-1.5)	pELS	ins_4	2
HepG2_skew	(-Inf,-1.5)	pELS	ins_5	3
HepG2_skew	(-Inf,-1.5)	pELS	ins_6	1
HepG2_skew	(-Inf,-1.5)	pELS	ins_7	1
HepG2_skew	(-Inf,-1.5)	pELS	ins_9	2
HepG2_skew	[-0.05,0.05)	Other cCREs	del_1	512081
HepG2_skew	[-0.05,0.05)	Other cCREs	del_10plus	50110
HepG2_skew	[-0.05,0.05)	Other cCREs	del_2	247693
HepG2_skew	[-0.05,0.05)	Other cCREs	del_3	132940
HepG2_skew	[-0.05,0.05)	Other cCREs	del_4	145785
HepG2_skew	[-0.05,0.05)	Other cCREs	del_5	45172
HepG2_skew	[-0.05,0.05)	Other cCREs	del_6	31576
HepG2_skew	[-0.05,0.05)	Other cCREs	del_7	15879
HepG2_skew	[-0.05,0.05)	Other cCREs	del_8	24885
HepG2_skew	[-0.05,0.05)	Other cCREs	del_9	8146
HepG2_skew	[-0.05,0.05)	Other cCREs	ins_1	311884
HepG2_skew	[-0.05,0.05)	Other cCREs	ins_10plus	48277
HepG2_skew	[-0.05,0.05)	Other cCREs	ins_2	114158
HepG2_skew	[-0.05,0.05)	Other cCREs	ins_3	49046
HepG2_skew	[-0.05,0.05)	Other cCREs	ins_4	74855
HepG2_skew	[-0.05,0.05)	Other cCREs	ins_5	22391
HepG2_skew	[-0.05,0.05)	Other cCREs	ins_6	25547
HepG2_skew	[-0.05,0.05)	Other cCREs	ins_7	12817
HepG2_skew	[-0.05,0.05)	Other cCREs	ins_8	29313
HepG2_skew	[-0.05,0.05)	Other cCREs	ins_9	6737
HepG2_skew	[-0.05,0.05)	PLS	del_1	22247
HepG2_skew	[-0.05,0.05)	PLS	del_10plus	2622
HepG2_skew	[-0.05,0.05)	PLS	del_2	8712
HepG2_skew	[-0.05,0.05)	PLS	del_3	4045
HepG2_skew	[-0.05,0.05)	PLS	del_4	3447
HepG2_skew	[-0.05,0.05)	PLS	del_5	1271
HepG2_skew	[-0.05,0.05)	PLS	del_6	1227
HepG2_skew	[-0.05,0.05)	PLS	del_7	676
HepG2_skew	[-0.05,0.05)	PLS	del_8	748
HepG2_skew	[-0.05,0.05)	PLS	del_9	464
HepG2_skew	[-0.05,0.05)	PLS	ins_1	17015
HepG2_skew	[-0.05,0.05)	PLS	ins_10plus	3517
HepG2_skew	[-0.05,0.05)	PLS	ins_2	4954
HepG2_skew	[-0.05,0.05)	PLS	ins_3	2571
HepG2_skew	[-0.05,0.05)	PLS	ins_4	2372
HepG2_skew	[-0.05,0.05)	PLS	ins_5	1558
HepG2_skew	[-0.05,0.05)	PLS	ins_6	1866
HepG2_skew	[-0.05,0.05)	PLS	ins_7	867
HepG2_skew	[-0.05,0.05)	PLS	ins_8	969
HepG2_skew	[-0.05,0.05)	PLS	ins_9	526
HepG2_skew	[-0.05,0.05)	dELS	del_1	1144543
HepG2_skew	[-0.05,0.05)	dELS	del_10plus	87206
HepG2_skew	[-0.05,0.05)	dELS	del_2	563262
HepG2_skew	[-0.05,0.05)	dELS	del_3	275448
HepG2_skew	[-0.05,0.05)	dELS	del_4	265227
HepG2_skew	[-0.05,0.05)	dELS	del_5	87071
HepG2_skew	[-0.05,0.05)	dELS	del_6	63050
HepG2_skew	[-0.05,0.05)	dELS	del_7	32300
HepG2_skew	[-0.05,0.05)	dELS	del_8	38526
HepG2_skew	[-0.05,0.05)	dELS	del_9	15746
HepG2_skew	[-0.05,0.05)	dELS	ins_1	734380
HepG2_skew	[-0.05,0.05)	dELS	ins_10plus	76015
HepG2_skew	[-0.05,0.05)	dELS	ins_2	248449
HepG2_skew	[-0.05,0.05)	dELS	ins_3	100160
HepG2_skew	[-0.05,0.05)	dELS	ins_4	125181
HepG2_skew	[-0.05,0.05)	dELS	ins_5	44585
HepG2_skew	[-0.05,0.05)	dELS	ins_6	53076
HepG2_skew	[-0.05,0.05)	dELS	ins_7	24708
HepG2_skew	[-0.05,0.05)	dELS	ins_8	40554
HepG2_skew	[-0.05,0.05)	dELS	ins_9	11844
HepG2_skew	[-0.05,0.05)	non-cCRE	del_1	8922120
HepG2_skew	[-0.05,0.05)	non-cCRE	del_10plus	630107
HepG2_skew	[-0.05,0.05)	non-cCRE	del_2	3876630
HepG2_skew	[-0.05,0.05)	non-cCRE	del_3	2257328
HepG2_skew	[-0.05,0.05)	non-cCRE	del_4	2379482
HepG2_skew	[-0.05,0.05)	non-cCRE	del_5	904891
HepG2_skew	[-0.05,0.05)	non-cCRE	del_6	549340
HepG2_skew	[-0.05,0.05)	non-cCRE	del_7	249000
HepG2_skew	[-0.05,0.05)	non-cCRE	del_8	304204
HepG2_skew	[-0.05,0.05)	non-cCRE	del_9	128704
HepG2_skew	[-0.05,0.05)	non-cCRE	ins_1	5634341
HepG2_skew	[-0.05,0.05)	non-cCRE	ins_10plus	737905
HepG2_skew	[-0.05,0.05)	non-cCRE	ins_2	2001464
HepG2_skew	[-0.05,0.05)	non-cCRE	ins_3	831140
HepG2_skew	[-0.05,0.05)	non-cCRE	ins_4	1055976
HepG2_skew	[-0.05,0.05)	non-cCRE	ins_5	390746
HepG2_skew	[-0.05,0.05)	non-cCRE	ins_6	459941
HepG2_skew	[-0.05,0.05)	non-cCRE	ins_7	210653
HepG2_skew	[-0.05,0.05)	non-cCRE	ins_8	371314
HepG2_skew	[-0.05,0.05)	non-cCRE	ins_9	127450
HepG2_skew	[-0.05,0.05)	pELS	del_1	165009
HepG2_skew	[-0.05,0.05)	pELS	del_10plus	14752
HepG2_skew	[-0.05,0.05)	pELS	del_2	90458
HepG2_skew	[-0.05,0.05)	pELS	del_3	42676
HepG2_skew	[-0.05,0.05)	pELS	del_4	41478
HepG2_skew	[-0.05,0.05)	pELS	del_5	13584
HepG2_skew	[-0.05,0.05)	pELS	del_6	10066
HepG2_skew	[-0.05,0.05)	pELS	del_7	5378
HepG2_skew	[-0.05,0.05)	pELS	del_8	6217
HepG2_skew	[-0.05,0.05)	pELS	del_9	2645
HepG2_skew	[-0.05,0.05)	pELS	ins_1	121318
HepG2_skew	[-0.05,0.05)	pELS	ins_10plus	13142
HepG2_skew	[-0.05,0.05)	pELS	ins_2	39623
HepG2_skew	[-0.05,0.05)	pELS	ins_3	16557
HepG2_skew	[-0.05,0.05)	pELS	ins_4	19599
HepG2_skew	[-0.05,0.05)	pELS	ins_5	7253
HepG2_skew	[-0.05,0.05)	pELS	ins_6	8873
HepG2_skew	[-0.05,0.05)	pELS	ins_7	4320
HepG2_skew	[-0.05,0.05)	pELS	ins_8	6239
HepG2_skew	[-0.05,0.05)	pELS	ins_9	2086
HepG2_skew	[-0.2,-0.05)	Other cCREs	del_1	165518
