skew_type	skew_bin	ccre_class	af_class	n
HepG2_skew	[-0.5,-0.2)	non-cCRE	RARE	51040
HepG2_skew	[-0.5,-0.2)	non-cCRE	SINGLETON	278554
HepG2_skew	[-0.5,-0.2)	non-cCRE	ULTRARARE	194023
HepG2_skew	[-0.5,-0.2)	pELS	COMMON	974
HepG2_skew	[-0.5,-0.2)	pELS	LOW_FREQ	1360
HepG2_skew	[-0.5,-0.2)	pELS	RARE	2806
HepG2_skew	[-0.5,-0.2)	pELS	SINGLETON	19992
HepG2_skew	[-0.5,-0.2)	pELS	ULTRARARE	12960
HepG2_skew	[-1.0,-0.5)	Other cCREs	COMMON	299
HepG2_skew	[-1.0,-0.5)	Other cCREs	LOW_FREQ	339
HepG2_skew	[-1.0,-0.5)	Other cCREs	RARE	852
HepG2_skew	[-1.0,-0.5)	Other cCREs	SINGLETON	6827
HepG2_skew	[-1.0,-0.5)	Other cCREs	ULTRARARE	4182
HepG2_skew	[-1.0,-0.5)	PLS	COMMON	34
HepG2_skew	[-1.0,-0.5)	PLS	LOW_FREQ	74
HepG2_skew	[-1.0,-0.5)	PLS	RARE	203
HepG2_skew	[-1.0,-0.5)	PLS	SINGLETON	1782
HepG2_skew	[-1.0,-0.5)	PLS	ULTRARARE	1098
HepG2_skew	[-1.0,-0.5)	dELS	COMMON	713
HepG2_skew	[-1.0,-0.5)	dELS	LOW_FREQ	1018
HepG2_skew	[-1.0,-0.5)	dELS	RARE	2438
HepG2_skew	[-1.0,-0.5)	dELS	SINGLETON	22609
HepG2_skew	[-1.0,-0.5)	dELS	ULTRARARE	13529
HepG2_skew	[-1.0,-0.5)	non-cCRE	COMMON	1314
HepG2_skew	[-1.0,-0.5)	non-cCRE	LOW_FREQ	1619
HepG2_skew	[-1.0,-0.5)	non-cCRE	RARE	3646
HepG2_skew	[-1.0,-0.5)	non-cCRE	SINGLETON	30585
HepG2_skew	[-1.0,-0.5)	non-cCRE	ULTRARARE	18725
HepG2_skew	[-1.0,-0.5)	pELS	COMMON	132
HepG2_skew	[-1.0,-0.5)	pELS	LOW_FREQ	191
HepG2_skew	[-1.0,-0.5)	pELS	RARE	432
HepG2_skew	[-1.0,-0.5)	pELS	SINGLETON	3979
HepG2_skew	[-1.0,-0.5)	pELS	ULTRARARE	2423
HepG2_skew	[-1.5,-1.0)	Other cCREs	COMMON	66
HepG2_skew	[-1.5,-1.0)	Other cCREs	LOW_FREQ	49
HepG2_skew	[-1.5,-1.0)	Other cCREs	RARE	144
HepG2_skew	[-1.5,-1.0)	Other cCREs	SINGLETON	1308
HepG2_skew	[-1.5,-1.0)	Other cCREs	ULTRARARE	817
HepG2_skew	[-1.5,-1.0)	PLS	COMMON	3
HepG2_skew	[-1.5,-1.0)	PLS	LOW_FREQ	9
HepG2_skew	[-1.5,-1.0)	PLS	RARE	39
HepG2_skew	[-1.5,-1.0)	PLS	SINGLETON	373
HepG2_skew	[-1.5,-1.0)	PLS	ULTRARARE	207
HepG2_skew	[-1.5,-1.0)	dELS	COMMON	159
HepG2_skew	[-1.5,-1.0)	dELS	LOW_FREQ	191
HepG2_skew	[-1.5,-1.0)	dELS	RARE	429
HepG2_skew	[-1.5,-1.0)	dELS	SINGLETON	4454
HepG2_skew	[-1.5,-1.0)	dELS	ULTRARARE	2776
HepG2_skew	[-1.5,-1.0)	non-cCRE	COMMON	223
HepG2_skew	[-1.5,-1.0)	non-cCRE	LOW_FREQ	258
HepG2_skew	[-1.5,-1.0)	non-cCRE	RARE	579
HepG2_skew	[-1.5,-1.0)	non-cCRE	SINGLETON	5401
HepG2_skew	[-1.5,-1.0)	non-cCRE	ULTRARARE	3209
HepG2_skew	[-1.5,-1.0)	pELS	COMMON	31
HepG2_skew	[-1.5,-1.0)	pELS	LOW_FREQ	37
HepG2_skew	[-1.5,-1.0)	pELS	RARE	91
HepG2_skew	[-1.5,-1.0)	pELS	SINGLETON	776
HepG2_skew	[-1.5,-1.0)	pELS	ULTRARARE	482
HepG2_skew	[0.05,0.2)	Other cCREs	COMMON	23732
HepG2_skew	[0.05,0.2)	Other cCREs	LOW_FREQ	24367
HepG2_skew	[0.05,0.2)	Other cCREs	RARE	46443
HepG2_skew	[0.05,0.2)	Other cCREs	SINGLETON	215155
HepG2_skew	[0.05,0.2)	Other cCREs	ULTRARARE	161665
HepG2_skew	[0.05,0.2)	PLS	COMMON	1433
HepG2_skew	[0.05,0.2)	PLS	LOW_FREQ	1590
HepG2_skew	[0.05,0.2)	PLS	RARE	3560
HepG2_skew	[0.05,0.2)	PLS	SINGLETON	18533
