cell_line	assay	rho	n	log10_p
K562	DNase	0.7709103123716009	16680	-3269.298789890533
HepG2	DNase	0.7301125157124737	16680	-2760.1376526775775
SK-N-SH	DNase	0.6899499883742536	16680	-2342.7585491554764
K562	H3K27ac	0.7091911421644521	16680	-2533.794802897786
HepG2	H3K27ac	0.7058208480538627	16680	-2499.210522505931
SK-N-SH	H3K27ac	0.6448141519426965	16680	-1948.5706361961168
K562	H3K4me3	0.6961326836092618	16680	-2402.484599404203
HepG2	H3K4me3	0.630014319468913	16680	-1833.4502655242172
SK-N-SH	H3K4me3	0.6140628192830492	16680	-1716.1868056668159
